sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
The results of a recent international survey measuring the performance of junior high school students in natural sciences and math show that Taiwan kids finished first in the former and third ( behind only Singapore and Korea ) in the latter.,measure,7,1,measure.v.01;measure.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1042.sense,72,1,False
"Among the things I learned covering the World Series these past few weeks is that the Richter scale, which measures earthquakes, is n't like the one in your bathroom.",measure,20,1,measure.v.01;measure.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0561.sense,0,1,False
"Increasingly careful attempts to measure neutrons, which would be strong evidence of fusion reactions, continue to be negative.",measure,4,1,measure.v.01;measure.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1550.sense,41,1,False
The little girl measured only to her father's waist.,measure,,,,,Measurement,,ontonotes (measure-v sense 3),,,
"All year, energy prices have skewed the producer price index, which measures changes in the prices producers receive for goods.",measure,13,1,measure.v.01;measure.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2358.sense,12,1,False
San Francisco Mayor Art Agnos estimated that damages to the city total $ 2 billion.,total,11,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1699.sense,22,1,False
"Volume totaled 132.1 million shares, which is about average for the year.",total,1,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1055.sense,4,1,False
"Large cross-border deals numbered 51 and totaled $ 17.1 billion in the second quarter, the firm added.",total,6,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0401.sense,7,1,False
"The Canadian pig herd totaled 10,674,500 at Oct. 1, down 3 % from a year earlier, said Statistics Canada, a federal agency.",total,4,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0545.sense,0,1,False
"In fact, regarding Putin 's visit to Japan this time, the media earlier predicted, among other things, that when the time came, there would be more than %pw 60 groups totaling more than 700 people, along with more than 200 propaganda trucks, hey, more than 200 propaganda trucks on the streets of downtown Tokyo, to protest against Putin 's visit to Japan.",total,35,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0003.sense,289,1,False
Bids totaling $ 515 million were submitted.,total,1,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/02/wsj_0256.sense,1,1,False
The assistant totaled the invoices Friday evening.,total,2,,,,Counting,synthetic,,,,False
"Previously, regulators insisted that franchisers pre-register such changes with the state -- a costly process taking at least six weeks.",take,16,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1270.sense,37,1,False
"But the longer it takes us to understand the new landscape of this war, the more costly and painful the victory will be.",take,4,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0000.sense,263,1,False
And investors and traders alike say the current turmoil could take years to resolve.,take,10,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1375.sense,4,1,False
"All of this is in the works now, but I think it 's going to take quite a few years to develop it.",take,16,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0424.sense,32,1,False
"Generally, it takes five business days to transfer stock and to take the other steps necessary to settle a trade.",take,3,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1140.sense,5,1,False
The fuel held out for another forty miles.,hold_out,2,,,,Measurement,synthetic,,,,False
The gauge reads thirty-two pounds per square inch.,read,2,,,,Measurement,synthetic,,,,False
Ah my head! I got a headache while I was reading I do not believe it at all.,read,11,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0015.sense,136,1,False
I have read a lot of proverbs that belittle women...,read,2,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0001.sense,9,1,False
Some of those who said that he was always praying and reading the Koran are the Christians who visited him in his prison cell.,read,11,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0019.sense,19,1,False
"They read Scripture as though it were poetry, and they learned from it accordingly.",read,1,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/14/sel_1469.sense,0,1,False
I weighed the package.,weigh,,,,,Measurement,,"Levin 1993, Register-54.1",,,
The package weighed ten pounds.,weigh,,,,,Measurement,,"Levin 1993, Register-54.1",,,
The suitcase weighed forty-two pounds at the counter.,weigh,2,,,,Measurement,synthetic,,,,False
The book costs $10.,cost,,,,,Measurement,,"Levin 1993, Cost-54.2",,,
The ignitor for the gas range that costs 25 % of what the range cost.,cost,14,1,cost.v.01;cost.v.02,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0001.sense,89,1,False
Myth 4: Tankless water heating systems cost more to operate.,cost,7,1,cost.v.01;cost.v.02,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/04/sel_0408.sense,0,1,False
"In his first state of the nation address, Salinas pledged to continue his program of modernization and warned opposition politicians that impeding progress could cost them popular support.",cost,25,1,cost.v.01;cost.v.02,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0174.sense,26,1,False
