sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Look at the leaves plastered to the road.,plaster,4,2,plaster.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/78/sel_7812.sense,0,1,False
"Suddenly, it is night, and a tarp - covered, skyscraper - sized structure looms over the poor nation as choppers spray spotlights across it.",spray,23,1,spray.v.01;spray.v.02;spray.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0009.sense,289,1,False
"At these words, the samurai, perceiving the discipline of the master, sheathed his sword and bowed.",sheathe,14,1,sheathe.v.01;sheathe.v.02,pocket-9.10,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/96/sel_9624.sense,0,1,False
"Currently, the Ministry of Agriculture and Forestry and the local government of Chungcheongnam - Do had already sealed off and had restricted access to the four major roads surrounding the avian flu - infected duck farm.",seal,18,5,seal.v.02,tape-22.4,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0085.sense,5,1,False
"Mr. Fischer plows his own fields, sows his own corn and sunflowers, and feeds his own sheep.",sow,7,1,sow.v.01;sow.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/17/wsj_1760.sense,25,1,False
"Close the lid and seal it up, and let it sit for about 5 minutes.",seal,4,1,seal.v.02;seal.v.01,tape-22.4,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/29/sel_2965.sense,0,1,False
"If you can only get L-section, you can do this with a center plate and weld or rivet each side to it.",rivet,18,2,rivet.v.02,tape-22.4,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/91/sel_9156.sense,0,1,False
"In mountain regions where the rainfall is most abundant, the geology most fragile and erosive forces most powerful, the false cypresses, with their massive trunks and mighty root systems, cling tightly to the frail earth.",cling,33,1,cling.v.01;cling.v.03,cling-22.5,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1070.sense,30,1,False
""" Nobody seems to care about our Pali, and we are very remote, so people just dump what they do n't want out here.",dump,18,2,dump.v.01;dump.v.03,funnel-9.3,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1050.sense,63,1,False
"Radiation signs plastered all over the door, nobody should have been surprised at any detecto-noises.",plaster,2,2,plaster.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/78/sel_7813.sense,0,1,False
"Still bleeding, he ran downstairs and scooped up the baby and took the baby to the hospital.",scoop,7,1,scoop.v.01,funnel-9.3,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0242.sense,22,1,False
