sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
The city that staged the summer games in 1932 and 1984 is hoping to host the summer games in 2012.,host,14,1,host.v.01,captain-29.8,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0141.sense,1,1,False
Egypt condemned Israel 's attacks today and said it has the approval of other Arab states to host a summit with the Palestinians and Israelis only if the violence stops.,host,17,1,host.v.01,captain-29.8,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0017.sense,5,1,False
Coming up is the Focus Today program hosted by Wang Shilin.,host,7,1,host.v.01,captain-29.8,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0005.sense,6,1,False
It 's the petulant complaint of an impudent American whom Sony hosted for a year while he was on a Luce Fellowship in Tokyo -- to the regret of both parties.,host,11,1,host.v.01,captain-29.8,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0037.sense,27,1,False
"Most of them trying to find their way in life by serving their country, and we should all be very, very grateful to them.",serve,11,3,serve.v.02;serve.v.07;serve.v.10;serve.v.13,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0036.sense,10,1,False
He was a father of seven and had served as the Director of Palestinian Television since its inception in 1994 and later founded the Palestinian satellite channel.,serve,8,3,serve.v.02;serve.v.07;serve.v.10;serve.v.13,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/02/voa_0242.sense,8,1,False
"People of all ages and all classes should be encouraged to serve, but there are many ways for middle - class kids, and their elders, to serve at little public cost.",serve,11,3,serve.v.02;serve.v.07;serve.v.10;serve.v.13,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2412.sense,64,1,False
"To serve on a jury, to serve on a jury.",serve,7,3,serve.v.02;serve.v.07;serve.v.10;serve.v.13,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0051.sense,12,1,False
""" Without it, Macau would n't exist, "" says Carlos Marreiros, who once served as director of the Macau government 's bureau of culture, and now works as an architect, painter, author and poet.",serve,16,3,serve.v.02;serve.v.07;serve.v.10;serve.v.13,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1002.sense,10,1,False
"It was also for men in the Russian Navy it was a great source of pride to serve in the submarine fleet, and then of course you have the feelings of the relatives to take into account.",serve,17,3,serve.v.02;serve.v.07;serve.v.10;serve.v.13,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/01/pri_0106.sense,37,1,False
"In February 1969, Arafat began to serve as the chairman of the PLO Executive Committee and since 1971 had concurrently served as the commander - in - chief of the Palestinian Revolutionary Forces.",serve,7,3,serve.v.02;serve.v.07;serve.v.10;serve.v.13,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0061.sense,5,1,False
He serves as trustee of the estate.,serve,1,,,,Membership,synthetic,,,,False
Dina masqueraded as a lawyer.,masquerade,,,,,Participation,,"Kalm 2022, p. 99ff",,,
"There is Jiakun Liu who was accredited as an "" excellent member of the Communist Party "" of the province and a "" labor model of the entire country "", acting as the Party branch secretary.",act,31,2,act.v.01;act.v.02;act.v.07;act.v.08,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0197.sense,7,1,False
"Secretary of State Colin Powell acted like a prosecutor, pointing out Iraq 's failures.",act,5,2,act.v.01;act.v.02;act.v.07;act.v.08,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0246.sense,5,1,False
"And some people do think that acting out scripts is n't worthy of CBS News, which once lent prestige to the network and set standards for the industry.",act,6,1,act.v.03;act.v.04;act.v.05;act.v.06;act.v.09;act.v.10,masquerade-29.6,Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0633.sense,65,1,False
"What does a man do when he feels, acts and responds like a woman trapped in a man 's body?",act,9,2,act.v.01;act.v.02;act.v.07;act.v.08,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0013.sense,56,1,False
Dina acted like a cretin.,act,,,,,Participation,,"Kalm 2022, p. 99ff",,,
"Psychologically they feel that once they 've got these four, then it 's as Chief Editor Chen said just now: I slap on a coat of gold paint, then at least when the wolf comes, this first layer should be able to act, to a limited extent, to act as a little protection.",act,46,1,act.v.03;act.v.04;act.v.05;act.v.06;act.v.09;act.v.10,masquerade-29.6,Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0007.sense,9,1,False
"This is a man who still behaves like a KGB operator rather than a... which, of course, he was.",behave,6,1,behave.v.01;behave.v.02;behave.v.03,masquerade-29.6,Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0066.sense,11,1,False
The detective posed as a buyer.,pose,,,,,Participation,,verbnet (masquerade-29.6),,,
Sony 's lawyer insists that the company 's tactics -- including the use of a private detective posing as a buyer -- are routine in such matters.,pose,17,3,pose.v.03;pose.v.04,masquerade-29.6,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2418.sense,48,1,False
"The photo shows mainland actress Zhao Wei ( left ), who became popular throughout the Chinese world after starring in a Chiung Yao series, pictured with former child star Su You - peng of Taiwan.",star,19,1,star.v.01;star.v.02,captain-29.8,Participation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1006.sense,210,1,False
Miriam tutored her brother.,tutor,,,,,Participation,,"Kalm 2022, p. 99ff",,,
Her cousin clerked for Judge Davis.,clerk,,,,,Participation,,"Kalm 2022, p. 99ff",,,
Managing partners who responded to the survey typically spend over half their time supervising their firms ' day - to - day operations and just a little more than a third of their time practicing law.,manage,0,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1470.sense,45,1,False
"Salim said that he had suffered a shortfall of 36,000 Riyals in the course of just one week as a result of the lack of customers buying vegetables following the price increase, in addition to having to pay out 100 Riyals in daily wages to five Saudi workers and 100 to foreign workers who carry the goods and are employed by the company which manages the market.",manage,65,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0024.sense,6,1,False
"As well as encouraging the local people to constantly enhance their tea growing and processing skills, he devotes even more energy to managing the "" tea culture "" to which tea has given rise, including by - products such as tea pastries and similar light refreshments.",manage,23,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1076.sense,77,1,False
She manages the clinic's billing department.,manage,1,,,,Membership,synthetic,,,,False
President Clinton plans to attend.,attend,4,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0036.sense,5,1,False
"The Vice Premier of the State Council, Jiahua Zou, attended the ribbon cutting ceremony held today for the start of operations.",attend,11,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0038.sense,2,1,False
Thus we gained a great deal from attending.,attend,7,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1032.sense,19,1,False
There is a scene at the end of the first week 's show where Mancuso attends the unveiling of the memorial to his dead partner David.,attend,15,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1397.sense,56,1,False
