sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"When I saw these six cachets, my first reaction is that it is absolutely hopeless to rely on the government itself to control institutional thickening.",control,23,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0051.sense,14,1,False
"Before the war, China 's steel production was less than 200,000 tons ( steel production in China was centered mainly in the northeast, and it was controlled by the Japanese ).",control,28,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0026.sense,13,1,False
"General Zinni said all her ports, from the Suez Canal to the Persian Gulf, had their own problems, either credible terrorists threats, unstable governments, or harbors jammed with small boats, plus, the government of Yemen wanted better relations with the U.S. and had begun taking steps to control local terrorist activity, but improved relations, Zinni said, did not blind the U.S. to the risks.",control,54,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0016.sense,10,1,False
"It claimed that it would show it to us soon, especially the representative of the municipality of Riyadh who apparently was the one who held and controlled the documents of the proceedings.",control,27,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0015.sense,74,1,False
"This morning, the entire world was the witness of a cold - blooded brutal lynch of two or three Israelis within a Palestinian police station in Ramallah in the Palestinian - controlled territories.",control,32,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0029.sense,2,1,False
It landed at a base controlled by the coalition.,control,5,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0278.sense,23,1,False
"The other part of the transaction will see Beghin - Say sell its 50 % stake in its Kaysersberg paper affiliate to an unspecified unit of the petrochemical group Montedison S.p. A., which is also controlled by Ferruzzi.",control,37,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1032.sense,5,1,False
He said that one of the important tasks for Jordan at present is to assist the Maliki administration in controlling the turmoil.,control,19,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0070.sense,3,1,False
She controls the flow of information from the department.,control,1,,,,Enforcement,synthetic,,,,False
Rebels controlled the supply routes for months.,control,1,,,,Enforcement,synthetic,,,,False
