sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Chang deeply regretted that he was unable to examine the Shangqiu site in eastern Henan.,regret,2,1,regret.v.02;regret.v.03;regret.v.04,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1060.sense,43,1,False
Do not misunderstand me; I support democracy.,support,6,2,support.v.01;support.v.02;support.v.03;support.v.06;support.v.08;support.v.09;support.v.10,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0024.sense,26,1,False
and we just can tolerate this /.,tolerate,4,1,tolerate.v.01;tolerate.v.03;tolerate.v.04,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0008.sense,112,1,False
"Once the Zhuhai - Hong Kong - Macao bridge is built, it will no longer be a dream of tourists to enjoy gourmet food in Macao before having fun at Disneyland just an hour later.",enjoy,22,1,enjoy.v.01;enjoy.v.03;enjoy.v.05,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0000.sense,181,1,False
"According to the poll, 49 percent of those interviewed said they would vote for Mr. Sharon while 27 percent would support Mr. Barak.",support,21,2,support.v.01;support.v.02;support.v.03;support.v.06;support.v.08;support.v.09;support.v.10,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/02/voa_0263.sense,3,1,False
"In addition, there is a great deal of shallow water, which is tailor - made for snorkeling, so that even tourists who are not particularly at home in the water can enjoy the magnificence of the ocean.",enjoy,34,1,enjoy.v.01;enjoy.v.03;enjoy.v.05,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1022.sense,51,1,False
Well I I I 'm concerned that they 're thinking that we 're giving a new meaning to the word intolerable Because they keep doing things that we say are intolerable and then we tolerate them /.,tolerate,34,1,tolerate.v.01;tolerate.v.03;tolerate.v.04,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0007.sense,512,1,False
When you -- and you 'll have to trust me on this one when you know some of the things that I know that I probably should n't know uh that take me in this direction you will understand why I have said with fear and trepidation why I have um said that I believe Harriet Miers will be a good justice /.,trust,8,1,trust.v.01;trust.v.02;trust.v.03;trust.v.04,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0001.sense,306,1,False
"From the parts of the transcript read by Mr. Lang, it was unclear what exactly Mr. Lorin feared might happen.",fear,18,2,fear.v.01;fear.v.02;fear.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1065.sense,31,1,False
"After the man delivered his address at the "" International Leadership "" conference, a lady in the audience stood up and told him: "" I represent those who respect America and the Americans, but do not respect the current President or his foreign policy. """,respect,39,1,respect.v.01;respect.v.02,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_a2e/00/p2.5_a2e_0002.sense,2,1,False
"Actually, I 'm enjoying it.",enjoy,4,1,enjoy.v.01;enjoy.v.03;enjoy.v.05,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0008.sense,38,1,False
"As Elian looks up speechlessly, Castro tells him to take care of the book because he will enjoy it for the rest of his life.",enjoy,18,1,enjoy.v.01;enjoy.v.03;enjoy.v.05,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0077.sense,9,1,False
"Unlike Mr. Honecker, who tended to lecture people about socialist values, Mr. Krenz enjoys asking questions.",enjoy,15,1,enjoy.v.01;enjoy.v.03;enjoy.v.05,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1549.sense,19,1,False
You can expect that it wo n't be long before you can admire some guy on the street wearing a skirt.,admire,12,1,admire.v.01;admire.v.02,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1018.sense,110,1,False
"Like it or not, the Qatari people are the twin of the Saudi people.",like,0,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0025.sense,146,1,False
"Nobody is going to like Bolton a year from now, are they /?",like,4,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0003.sense,368,1,False
Few of us would likely support that.,support,5,2,support.v.01;support.v.02;support.v.03;support.v.06;support.v.08;support.v.09;support.v.10,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0007.sense,88,1,False
I want to tell them that I miss them very much.,miss,7,4,miss.v.02,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0003.sense,269,1,False
Do you think they would like Hillary Clinton the cut of her jib out there /?,like,5,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0004.sense,576,1,False
Some say they now fear a racial backlash because Davis the suspect was black and the officers appear white mistrust that may threaten the fragile recovery in a town that has already been through enough /.,fear,4,2,fear.v.01;fear.v.02;fear.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0001.sense,5,1,False
"( 4 ) I agree with and support, however we may have already sucked much of the juice out of that orange",support,7,2,support.v.01;support.v.02;support.v.03;support.v.06;support.v.08;support.v.09;support.v.10,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0004.sense,93,1,False
"But they had better bring an argument that is supportable as in ""prioritize transportation projects based on what expenditures would produce the most improvement in traffic flow"" and not as in ""its was the taxpayers ' job to pay for the infrastructure to support whatever he built"", and not as in ""new roads will do nothing for 99 % of the drivers"".",support,46,2,support.v.01;support.v.02;support.v.03;support.v.06;support.v.08;support.v.09;support.v.10,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0003.sense,232,1,False
"The problem is not in a speech here or there, but we are absolutely convinced that speeches and lots of speeches in the Palestinian street have come to complicate the situation, and we fear that these speeches ah could increase the tension in the situation.",fear,35,2,fear.v.01;fear.v.02;fear.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_a2e/00/p2.5_a2e_0020.sense,8,1,False
"Mr. Thal says that Elizabeth Taylor, a client, ""hates being called ` Liz. '...",hate,11,1,hate.v.01,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1376.sense,55,1,False
"Hsueh Chih - yang, who studied under Wang and is a master in his own right, recalls how Wang liked to open a bottle at lunchtime, and in fact produced much of his best work when he was half - cut.",like,21,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1063.sense,9,1,False
"At the same time, according to public opinion surveys, an extremely high percentage of NP members support Soong.",support,18,2,support.v.01;support.v.02;support.v.03;support.v.06;support.v.08;support.v.09;support.v.10,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1014.sense,131,1,False
"In any case, cable - TV - system operators have reason to fear any tinkering with CNN 's format.",fear,13,2,fear.v.01;fear.v.02;fear.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2351.sense,53,1,False
Let 's hope they 'll feel completely at ease speaking English and enjoy the learning process.,enjoy,12,1,enjoy.v.01;enjoy.v.03;enjoy.v.05,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1075.sense,157,1,False
The document stated that the implementation of the plan was later abandoned because Britain feared it might backfire violently on the Egyptian side.,fear,14,2,fear.v.01;fear.v.02;fear.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_a2e/00/p2.5_a2e_0017.sense,5,1,False
"""Those that pulled out ( of stocks ) regretted it,"" he said, ""so I doubt you 'll see any significant changes"" in institutional portfolios as a result of Friday 's decline.",regret,9,2,regret.v.01,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2381.sense,21,1,False
"He does n't like to have the spotlight on him, he does n't think of himself as a star, and he does n't want to put on a show. """,like,3,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1013.sense,79,1,False
City officials feared widespread gridlock on the first day that normal business operations were resumed following last Tuesday 's earthquake.,fear,2,2,fear.v.01;fear.v.02;fear.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1271.sense,2,1,False
and a lot of people like to shop at Wal - Mart /.,like,5,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,206,1,False
You have to trust people and nail those attempts to control and hypercontrol this case /.,trust,3,1,trust.v.01;trust.v.02;trust.v.03;trust.v.04,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,315,1,False
"An unsigned email from the embassy commended Allen --"" I know that your Iraqi friends appreciate your friendship"" -- but noted that U.S. visas are ""quite difficult"" for Iraqis to get.",appreciate,16,2,appreciate.v.01;appreciate.v.03,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0015.sense,97,1,False
"He favors a form of commercial rent control, which the financial community believes would make it more difficult to attract investment in the city.",favor,1,1,favor.v.01;favor.v.02;favor.v.04,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0765.sense,76,1,False
"This campaign was about Hillary Clinton, do you like her or do you not.",like,9,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0011.sense,28,1,False
I ca n't stand throwing something away.,stand,3,4,stand.v.04;stand.v.05;stand.v.08,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0001.sense,70,1,False
"Senior administration officials are now saying privately that if Milosevic never comes to trial, the U.S. might not like it, but could live with it, as long as the man is gone.",like,19,2,like.v.02;like.v.03;like.v.04,admire-31.2,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0004.sense,6,1,False
"Because of your replies to the participants, I respected you and I still respect you.",respect,9,1,respect.v.01;respect.v.02,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0025.sense,217,1,False
"His wife was a universally admired beauty, the envy of all.",admire,5,1,admire.v.01;admire.v.02,admire-31.2,Emotion (exp. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1019.sense,33,1,False
Dismissing the trade group 's numbers left traders plenty of time to worry anew about the latest reports on OPEC production.,worry,12,1,worry.v.01;worry.v.02;worry.v.03;worry.v.04,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1026.sense,9,1,False
But transportation officials worry that such extraordinary measures and cooperation may not last.,worry,3,1,worry.v.01;worry.v.02;worry.v.03;worry.v.04,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1271.sense,35,1,False
"Tmac gets the highest salary in the team, so he should n't care too much about himself.",care,13,1,care.v.01;care.v.05,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0044.sense,4,1,False
The story describes an unexpected conflict that arises out of a misunderstanding between a child and a grandfather who care deeply for one another.,care,19,1,care.v.01;care.v.05,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1005.sense,72,1,False
"The Chicago Board of Trade, the No. 1 U.S. grain market, had long chafed under the attention won by its innovative archrival, the livestock - dealing Mercantile Exchange.",chafe,15,2,chafe.v.02;chafe.v.03,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/17/wsj_1737.sense,4,1,False
Which worries some who think it 's important people know if creating supersalmon to feed human appetites could threaten normal salmon.,worry,1,1,worry.v.01;worry.v.02;worry.v.03;worry.v.04,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0017.sense,20,1,False
"Meanwhile, business and government leaders rebuked the computer makers, and fretted about the broader statement the companies ' actions make about Japanese cutthroat pricing.",fret,12,1,fret.v.01;fret.v.02;fret.v.05;fret.v.06,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0051.sense,1,1,False
"In the past, too much emphasis on schoolwork and good grades encouraged the development of a society in which many are crudely obsessed with personal gain.",obsess,23,1,obsess.v.01;obsess.v.02,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1053.sense,58,1,False
"But, counters Chen Tsai - ching, director of guidance counseling at the Lungshan Middle School, it is in the nature of young people in whatever era to worry about their looks.",worry,30,1,worry.v.01;worry.v.02;worry.v.03;worry.v.04,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1018.sense,146,1,False
"Laura Bush could be a big help with that, not like Hillary Clinton with health care, but a symbol with teachers, librarians, people who care about reading and believe every American should be able to read and put clout behind it.",care,28,1,care.v.01;care.v.05,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0023.sense,43,1,False
""" Miss Chen "" of Pingtung worries that her father, soon to retire at age 60, does n't think much about money, and his expected retirement plus savings will be less than NT$ 4 million ( about US$ 120,000 ).",worry,6,1,worry.v.01;worry.v.02;worry.v.03;worry.v.04,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1028.sense,126,1,False
"Yet the heavy - handedness of the satire also can be effective in a book like this: If the head of AIW were not portrayed as an utterly contemptible, malicious dolt, we would not much care whether his schemes were defeated, and would not be so diverted in the process.",care,38,1,care.v.01;care.v.05,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1473.sense,30,1,False
"Moody 's Investors Service Inc., fretting about increasing competitive pressure on Ryder, placed about $ 2.8 billion in company securities under review for possible downgrade.",fret,6,1,fret.v.01;fret.v.02;fret.v.05;fret.v.06,marvel-31.3,Emotion (exp. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2046.sense,0,1,False
