sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
There is no small irony in the fact that some of the most - jingoistic advertising comes courtesy of -- you guessed it -- outsiders.,guess,21,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/17/wsj_1705.sense,10,1,False
"""You get equity - like returns"" from bonds if you guess right on rates, says James E. Wilson, a Columbia, S.C., planner.",guess,12,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0689.sense,35,1,False
"There is much room for change and flexibility, and no one can guess how much the market might change, "" says 1111 public relations manager Linda Miao.",guess,13,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1052.sense,41,1,False
We could n't have guessed that Martine would treasure her just as much as my wife does.,guess,4,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1027.sense,15,1,False
"Other's find that NT$ 20,000 is more than enough to support the family.",find,1,1,find.v.01;find.v.02;find.v.03;find.v.06;find.v.07;find.v.08;find.v.09;find.v.12;find.v.13;find.v.14;find.v.15;find.v.16,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1069.sense,112,3,True
"Coming up, a new gallop poll shows a big lead for both John McCain and Rudy Giuliani in presidential matchups with guess who Hillary Rodham Clinton /.",guess,22,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0004.sense,414,1,False
I guess at least one IRS investigation about this.,guess,1,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0432.sense,34,1,False
Who would have guessed that my husband would be strongly opposed.,guess,3,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0001.sense,148,1,False
"In 1896, a Japanese biologist collected the first specimen of Taiwan red cypress on Yushan, and before long the Taiwan yellow cypress was found there too.",find,25,1,find.v.01;find.v.02;find.v.03;find.v.06;find.v.07;find.v.08;find.v.09;find.v.12;find.v.13;find.v.14;find.v.15;find.v.16,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1070.sense,47,3,True
"I imagine the locals could be kind of swooning for quite a while because Sting, who I guess might be singing at the wedding, his wife introduced the couple.",guess,18,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0094.sense,31,1,False
Yutaka Kawashima also suggested that the Universe Development Undertaking Group organize an inspection team to thoroughly ascertain the reason why the satellite could not enter geosynchronous orbit.,ascertain,16,1,ascertain.v.01;ascertain.v.03;ascertain.v.04,discover-84,Discovery,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0214.sense,4,1,False
"Anyway, there 's no harm in giving it a try yourself, and you may find your own answer.",find,16,1,find.v.01;find.v.02;find.v.03;find.v.06;find.v.07;find.v.08;find.v.09;find.v.12;find.v.13;find.v.14;find.v.15;find.v.16,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1056.sense,38,3,True
"Former Rep. Fernand St Germain, brought down by the savings - and - loan crisis, now represents -- you guessed it -- savings - and - loans associations.",guess,21,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/09/wsj_0909.sense,88,1,False
"Historians will only guess at the rancor building in these two deeply ambitious, deeply disappointed figures at the president they had, George W. Bush, whom they no doubt saw as manifestly, maddeningly inferior.",guess,3,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0016.sense,83,1,False
and we are considering the possible return of the verification team to ascertain what 's going on /.,ascertain,12,1,ascertain.v.01;ascertain.v.03;ascertain.v.04,discover-84,Discovery,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0005.sense,462,1,False
"Though he had no news of me whatsoever, he guessed correctly that I would n't wait in the rear area with the other military families, and would n't go back to my parents ' home either.",guess,10,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1063.sense,33,1,False
