sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Mr. Jobs said the changes were prompted by requests from customers who are frustrated with the performance of the optical device, which is n't offered as standard equipment by any rivals.",prompt,6,1,prompt.v.01;prompt.v.02,stimulate-59.4,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/19/wsj_1971.sense,12,1,False
"The prices of cattle and hog futures contracts dropped sharply because traders speculated that the stock market plunge Friday will linger in the minds of U.S. consumers long enough to prompt them to rein in their spending at the supermarket, which would hurt demand for beef and pork.",prompt,30,prompt-v 1,prompt.v.01;prompt.v.02,,Induction,pos_fill,nw/wsj/22/wsj_2265.sense,71,,False
The campaign prompted him to run for office.,prompt,2,,,,Induction,synthetic,,,,False
"Regarding the phenomenon where some funds from inside and outside the border utilize unlawful channels to enter China to cheat on profits, cheat on arbitrage and cheat on exchange, relevant personnel in charge at the National Foreign Exchange Management Bureau expressed recently that the Foreign Exchange Management Department will strengthen the investigation of foreign exchange and the extent of supervision, severely punish unlawful capital flow inside and outside the border, and uphold the stability of the financial order.",cheat,27,2,cheat.v.02;cheat.v.03;cheat.v.04,trick-59.2,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0137.sense,1,1,False
"Large, heterogeneous election districts would encourage good government, said Madison, because a representative would be compelled to serve the interests of all his constituents and be servile to none.",compel,18,1,compel.v.01;compel.v.02,compel-59.1,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1137.sense,39,1,False
"Thus, in a criminal case, a prosecutor can not comment on a defendant 's failure to testify nor can the defendant be compelled to take the stand as a witness, thus forcing him to ""take the Fifth.""",compel,24,1,compel.v.01;compel.v.02,compel-59.1,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2377.sense,45,1,False
"It was all too mellow to be believed, but they probably would have gotten away with it, had they not felt compelled to add Ms. Collins 's signature tune, ""Amazing Grace,"" and ask for audience participation.",compel,23,1,compel.v.01;compel.v.02,compel-59.1,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/02/wsj_0207.sense,22,1,False
"Israel has launched a new effort to prove the Palestine Liberation Organization continues to practice terrorism, and thus to persuade the U.S. to break off talks with the group.",persuade,20,1,persuade.v.01;persuade.v.02,compel-59.1,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1101.sense,0,1,False
"And has he truly persuaded the Communist Party to accept economic change of a kind that will, sooner or later, lead to its demise?",persuade,4,1,persuade.v.01;persuade.v.02,compel-59.1,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0439.sense,7,1,False
"Joan Chen, who plays two characters and actually shaved her head for the film, seduced audiences with her performances, appearing naked in several scenes.",seduce,16,1,seduce.v.01;seduce.v.02,lure-59.3,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1077.sense,99,1,False
"There would be a charioteer, and he, in those ancient times, in order to goad the horses to pull the chariot, would make a sound like ra.",goad,17,1,goad.v.01;goad.v.02;goad.v.03;goad.v.04,bully-59.5,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/56/sel_5685.sense,0,1,False
"Needless to say, this means that Richardson is still, after 5 years, sitting on his hands waiting for someone else to do his work for him, while shamelesasly trying to goad others into this by preposterous bluster.",goad,34,1,goad.v.01;goad.v.02;goad.v.03;goad.v.04,bully-59.5,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/56/sel_5688.sense,0,1,False
"Last year, he goaded Bill Clinton into an angry outburst during a discussion of Osama bin Laden.",goad,4,1,goad.v.01;goad.v.02;goad.v.03;goad.v.04,bully-59.5,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/56/sel_5682.sense,0,1,False
"I 'm willing to accept that you mean well, and are trying to goad Habari development to pay close attention to an area that you feel is of utmost importance.",goad,14,1,goad.v.01;goad.v.02;goad.v.03;goad.v.04,bully-59.5,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/56/sel_5679.sense,0,1,False
"The reason the resolution matters is not because of its impact on the president, but on Congress; not because it will goad the president into action, but because it will force Congress to face its own fears.",goad,23,1,goad.v.01;goad.v.02;goad.v.03;goad.v.04,bully-59.5,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/56/sel_5689.sense,0,1,False
"You lured me into a job, and then you fired me.",lure,,,,,Induction,,"Kalm 2022, p. 242f",,,
Leslie blackmailed the watch out of John.,blackmail,,,,,Induction,,"Kalm 2022, p. 242f",,,
"Here we get nothing in advance, just a political support which consists of nothing, and which is mostly used and abused and manipulated by the regime, saying they are just NATO parties, as is often said by regime, they are not having their own policy.",manipulate,24,1,manipulate.v.01;manipulate.v.05,trick-59.2,Induction,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0010.sense,37,1,False
Access to the roof is limited to employees.,limit,,,,,Limitation,,framenet (Limiting),,,
I limit you to two visits to the pub a day.,limit,,,,,Limitation,,framenet (Limiting),,,
Ongoing rains have limited drivers to a small number of roads.,limit,,,,,Limitation,,framenet (Limiting),,,
The University of California at San Francisco is also circulating a memo among its scientific faculty that will restrict contact with the world of business.,restrict,18,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/09/wsj_0975.sense,46,1,False
"A recent agreement between the recording industry and electronics manufacturers requires that any digital audio tape, or DAT, recorder sold in the U.S. have a built - in device that restricts its ability to make second copies from DAT tape copies of digital compact disks.",restrict,32,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0563.sense,10,1,False
The ordinance restricts idling to three minutes.,restrict,2,,,,Limitation,synthetic,,,,False
"Even brief conversations can show caring and trust, and need not restrict the efficiency of the communication or restrain the doctor 's earnings.",restrict,12,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0434.sense,3,1,False
"Moreover, other officials noted, snafus in transportation funding that the state has experienced over the years may have restricted the availability of funds for such a retrofitting, even if it were technologically feasible.",restrict,20,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1667.sense,9,1,False
"Influential members of the House Ways and Means Committee introduced legislation that would restrict how the new savings - and - loan bailout agency can raise capital, creating another potential obstacle to the government 's sale of sick thrifts.",restrict,13,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2200.sense,0,1,False
The new policy restricts overtime to emergencies.,restrict,3,,,,Limitation,synthetic,,,,False
"The host, Costa Rican President Oscar Arias, did not invite Chile, Cuba, Panama or Haiti to the summit, which was to be restricted to democracies.",restrict,27,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1657.sense,10,1,False
"Among the souped - up indexing strategies: Indexed portfolios can be built around thousands of stocks, or just a few dozen, rather than being restricted to the S&P 500 companies.",restrict,27,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1600.sense,15,1,False
"I think that both Governor Bush and I should recognize an obligation during this time when the votes are still being -- are still to be counted, to try to restrain the passions of our partisan supporters.",restrain,31,2,restrain.v.01;restrain.v.04;restrain.v.05,limit-76,Limitation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0114.sense,4,1,False
"At the same time, we should also restrain our administrative power and give the judiciary room to operate independently and without interference.",restrain,8,restrain-v 2,restrain.v.01;restrain.v.04;restrain.v.05,limit-76,Limitation,pos_fill,mz/sinorama/10/ectb_1026.sense,85,,False
"According to reports, Bush, Rumsfeld, and Powell repeatedly expressed their strong displeasure with al - Jazeera TV station directly to the Qatari leaders, demanding its government to restrain it more firmly.",restrain,31,restrain-v 2,restrain.v.01;restrain.v.04;restrain.v.05,limit-76,Limitation,pos_fill,bc/cctv/00/cctv_0004.sense,322,,False
"9.82 %, standard conventional fixed - rate mortgages; 8.25 %, 2 % rate capped one - year adjustable rate mortgages.",cap,16,cap-v 2,cap.v.02,NM,Limitation,pos_fill,nw/wsj/01/wsj_0110.sense,26,,False
They say China 's trade deficit is widening and the country is too short of foreign exchange for it to hamper production in Guangdong.,hamper,20,hamper-v 1,hamper.v.01;hamper.v.02,NP,Limitation,pos_fill,nw/wsj/24/wsj_2448.sense,40,,False
And will economic and trade exchange between Russia and Japan be hampered because of this?,hamper,11,hamper-v 1,hamper.v.01;hamper.v.02,NP,Limitation,pos_fill,bc/cctv/00/cctv_0003.sense,6,,False
A small yield premium over comparable Treasurys and a lack of liquidity is hampering dealers ' efforts to drum up interest in the so - called bailout bonds.,hamper,13,hamper-v 1,hamper.v.01;hamper.v.02,NP,Limitation,pos_fill,nw/wsj/12/wsj_1213.sense,44,,False
