sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Dice the butter and rub into the flour until it resembles fine breadcrumbs.,dice,,,,,Cause Change of State,,framenet,,,
Dice up the leaves and feed only as much as the fish will consume in ten minutes.,dice,,,,,Cause Change of State,,framenet,,,
"Mark started gingerly dicing the carrots, then the Brussels sprouts, removing the outer layer before cutting a firm cross in the stalk.",dice,,,,,Cause Change of State,,framenet,,,
"""I don't like vegetable soup -- the carrots are diced too neatly.""",dice,,,,,Cause Change of State,,framenet,,,
"More than 70 % of the buildings collapsed or were seriously damaged; the power grid, the transport system and mineshaft elevators, ventilation and drainage facilities were severely damaged.",damage,11,1,damage.v.01,destroy-44,Cause Change of State,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0002.sense,154,1,False
Some legislators expressed concern that a gas - tax increase would take too long and possibly damage chances of a major gas - tax - increasing ballot initiative that voters will consider next June.,damage,16,damage-v 1,damage.v.01,destroy-44,Hurt,pos_fill,nw/wsj/02/wsj_0291.sense,6,,False
David - who gets really annoyed when the volts drop so low his microwave can hardly boil water Esther & Fester Bestertester wrote: I 've got a 240 v. electric water heater and a need for a 208 v ( single - phase ) one.,boil,16,1,boil.v.01;boil.v.03,cooking-45.3,Cause Change of State,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/35/sel_3559.sense,0,1,False
The town was baking in the sun.,bake,,,,,Cause Change of State,,ontonotes,,,
The sun bakes the valley in the summer.,bake,,,,,Cause Change of State,,ontonotes,,,
Jennifer baked the potatoes.,bake,,,,,Cause Change of State,,"Croft et al 2021, p. 61",,,
"The heat of the humid, hazy afternoon baked the churchgoers.",bake,,,,,Cause Change of State,,ontonotes,,,
"Many larger egg producers are also egg processors, who crack, inspect, and sanitize billions of eggs, turning them into powdered, liquified or frozen egg products.",crack,10,1,crack.v.01;crack.v.06;crack.v.07;crack.v.11,break-45.1,Cause Change of State,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/18/wsj_1830.sense,11,1,False
The bomb destroyed the building.,destroy,,,,,Cause Change of State,,"Croft et al 2021, p. 61",,,
Claire painted the wall.,paint,,,,,Cause Change of State,,"Croft et al 2021, p. 61",,,
The knife cut the envelope open.,cut,,,,,Cause Change of State,,verbnet,,,
Carol cut the envelop open.,cut,,,,,Cause Change of State,,verbnet,,,
Carol cut the envelope open with the knife.,cut,,,,,Cause Change of State,,verbnet,,,
Carol cut the bread.,cut,,,,,Cause Change of State,,"Croft et al 2021, p. 61",,,
Carol cut the envelope into pieces with a knife.,cut,,,,,Cause Change of State,,verbnet,,,
Carol cut through the bread.,cut,,,,,Cause Change of State,,verbnet,,,
Carol cut the bread with a knife.,cut,,,,,Cause Change of State,,verbnet,,,
The knife cut the envelope into pieces.,cut,,,,,Cause Change of State,,verbnet,,,
Carol cut the envelope into pieces.,cut,,,,,Cause Change of State,,verbnet,,,
"Basically, most people 's idea of an operation is nothing but that you give the patient an anesthetic, ah, cut him open, take out the bad bits, sew him up, and it 's over.",cut,22,1,cut.v.01;cut.v.04;cut.v.16;cut.v.24;cut.v.25;cut.v.26;cut.v.28;cut.v.29;cut.v.30;cut.v.32;cut.v.41,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0049.sense,1,5,True
Cut off his head /.,cut,0,1,cut.v.01;cut.v.04;cut.v.16;cut.v.24;cut.v.25;cut.v.26;cut.v.28;cut.v.29;cut.v.30;cut.v.32;cut.v.41,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0002.sense,636,5,True
"""There 's more noise out there, and the consumer may have to work harder to cut through it,"" says Vincent P. Barabba, executive director of market research and planning at General Motors Corp.",cut,17,cut-v 1,cut.v.01;cut.v.04;cut.v.16;cut.v.24;cut.v.25;cut.v.26;cut.v.28;cut.v.29;cut.v.30;cut.v.32;cut.v.41;cut.v.02;cut.v.03;cut.v.02;cut.v.04;cut.v.05;cut.v.06;cut.v.01;cut.v.05;cut.v.01;cut.v.03;cut.v.05;cut.v.06;cut.v.01;cut.v.02;cut.v.03;cut.v.04;cut.v.01,braid-41.2.2;cut-21.1-1;hurt-40.8.3-2;split-23.2,Hurt,pos_fill,nw/wsj/13/wsj_1377.sense,18,,False
