sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Captain Marlon Defillo spokesman for the New Orleans police department joins me uh now by phone /.,join,10,4,join.v.03,cooperate-73.1,Collective,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0001.sense,11,1,False
"As more and more Asian immigrants arrived, members of Parliament - vying for votes - began participating enthusiastically in the Association 's events.",participate,17,1,participate.v.01;participate.v.02,cooperate-73.1,Collective,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1058.sense,20,1,False
He joins us now from Washington.,join,1,4,join.v.03,cooperate-73.1,Collective,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0226.sense,2,1,False
She joins us now by phone /.,join,1,4,join.v.03,cooperate-73.1,Collective,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,502,1,False
"A university student got eight years for participating in the rallies, sources in Beijing said, while an 18 - year - old worker got 10 years.",participate,7,1,participate.v.01;participate.v.02,cooperate-73.1,Collective,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/09/wsj_0931.sense,23,1,False
There are 12 teams totally participating in the competition.,participate,5,1,participate.v.01;participate.v.02,cooperate-73.1,Collective,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/03/chtb_0325.sense,8,1,False
"They can volunteer at any of thousands of non-profit institutions, or participate in service programs required by high schools or encouraged by colleges or employers.",participate,12,1,participate.v.01;participate.v.02,cooperate-73.1,Collective,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2412.sense,65,1,False
"The statement requested that the British government give serious thought to the responsibilities it has taken upon itself, and urge all relevant parties to face the new situation brought about by this cease - fire with determination and patience, and hold extensive negotiations with British and Irish governments and various major parties of Northern Ireland participating so as to finally resolve the Northern Ireland conflict.",participate,57,1,participate.v.01;participate.v.02,cooperate-73.1,Collective,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0231.sense,3,1,False
"Abather joined U.S. ""democratization"" efforts, such as a project to create a governing council for his neighborhood, and he occasionally ended up in the good - news Iraq stories that still seemed plausible in those days;",join,1,3,join.v.03,cooperate-73.1,Collective,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0015.sense,16,1,False
He 'll join Israeli Prime Minister Ehud Barak and Palestinian Authority President Yasser Arafat tomorrow at what 's expected to be a one - day meeting.,join,2,3,join.v.03,cooperate-73.1,Collective,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0038.sense,2,1,False
