sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Please bring your own parts and tools.,bring,1,1,bring.v.01;bring.v.02;bring.v.03;bring.v.04;bring.v.05;bring.v.06;bring.v.10,bring-11.3,Carrying,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/01/sel_0153.sense,0,1,False
"He then hung a rope out a third - floor window and lowered himself to safety, injuring his hands slightly in the process.",lower,12,1,lower.v.01,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1011.sense,16,2,True
"And she adds, "" It 's more natural just to exercise when and where you can in daily life - take a walk in the park, climb the stairs.... """,climb,28,1,climb.v.01;climb.v.03;climb.v.05;climb.v.06,run-51.3.2,Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1055.sense,95,1,False
"He appeared late one night in the bedroom of the new defense secretary, Dick Cheney.",appear,1,2,appear.v.02;appear.v.03;appear.v.05,appear-48.1.1,Location,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2112.sense,55,1,False
"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance.",wheel,15,3,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1049.sense,71,1,False
Palestinian leaders accused Israel of choosing a path of war by launching the strikes and called for international intervention.,launch,11,2,launch.v.01;launch.v.03;launch.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0110.sense,9,1,False
"Some Palestinians are used to shooting in the air during their celebrations, especially weddings, as an expression of their happiness, in spite of the repeated warnings the Ministry of Interior has launched to chase those who take part in this practice.",launch,34,2,launch.v.01;launch.v.03;launch.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0000.sense,16,1,False
"The lowly agent, Abel Lamb, who as you might guess, is being led to the slaughter, is ordered to take over the studio.",lead,15,5,lead.v.01,accompany-51.7,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/19/wsj_1984.sense,15,1,False
"However, I 'm not sure I can hoist him long enough to get him out of the house, and get him into the SUV.",hoist,8,2,,carry-11.4,Carrying,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/61/sel_6176.sense,0,1,False
Who was the first guy in supply to have uttered that or more coloful descriptives as they hoisted them onto 6x6 trucks some place in the pacific.,hoist,17,2,,carry-11.4,Carrying,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/62/sel_6214.sense,0,1,False
"There are still more than 100 bodies which have n't been recovered, so at least raising the vessel and being able to return the bodies of the dead sailors to their loved ones might go some small way towards redressing their grief.",raise,16,2,raise.v.02;raise.v.08;raise.v.20;raise.v.24,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/01/pri_0106.sense,38,3,True
"At the level of the other factions, supporters of six factions demonstrated, raising the Palestinian flag only, calling for Fatah and Hamas to abide by the truce agreement, to end the security chaos syndrome, and return to the negotiations table in order to activate the talks to form a national unity government.",raise,14,2,raise.v.02;raise.v.08;raise.v.20;raise.v.24,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_a2e/00/p2.5_a2e_0037.sense,9,3,True
"A plan was announced today to raise the Russian nuclear submarine ` Kursk ', next summer, almost a year after it hit the bottom of the Barents Sea following a mysterious accident.",raise,6,2,raise.v.02;raise.v.08;raise.v.20;raise.v.24,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/01/pri_0106.sense,2,3,True
We had heard a few months ago about some theories on how the submarine could be raised.,raise,16,2,raise.v.02;raise.v.08;raise.v.20;raise.v.24,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/01/pri_0106.sense,21,3,True
"Officials go out to travel, while the people go out to make a living.",go,9,2,go.v.03;go.v.05;go.v.09;go.v.13;go.v.28,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0013.sense,13,1,False
Italy borders France.,border,,,,,Location,,"Croft et al 2021, p. 86f",,,
Thus began an era in which great ships sailed in and out of Pali.,sail,8,1,sail.v.01;sail.v.03;sail.v.04,vehicle_path-51.4.3,Vehicular_Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1050.sense,23,1,False
"Yet, while these tourists bring a human touch to the streets on weekends and holidays, on ordinary weekdays the silence is accompanied only by leftover garbage, empty shops, and those Huwei people who refuse to leave their old homes.",leave,39,1,leave.v.01;leave.v.05;leave.v.08,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1049.sense,20,1,False
Witnesses say the shots came from the Palestinian international airport.,come,4,5,come.v.05;come.v.07;come.v.08;come.v.18,appear-48.1.1,Location,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0019.sense,2,1,False
"When Dad came back in the evening, Qingqing was running around holding Mom 's cell phone, talking to Uncle over the phone.",come,2,1,come.v.01;come.v.02;come.v.11;come.v.16,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0011.sense,34,1,False
"Maybe God wanted a good end for him, and a good reputation, when He induced one of them to record what America and the government of sects wanted to hide, by means of the video of the last moments, which created a historic turning point that will perhaps shape the history of the region, and the nature of events in it for decades to come.",come,69,2,come.v.03;come.v.13;come.v.15;come.v.17;come.v.19,appear-48.1.1,Location,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0020.sense,26,1,False
The only humans who entered there were the aboriginal people who came to hunt and to collect wild fruit and berries.,come,11,1,come.v.01;come.v.02;come.v.11;come.v.16,escape-51.1,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1070.sense,40,1,False
Flute player Shamus Eagan comes from Pennsylvania.,come,4,5,come.v.05;come.v.07;come.v.08;come.v.18,appear-48.1.1,Location,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0037.sense,11,1,False
I have navigated the depths of this sea for seven years.,navigate,2,1,navigate.v.01;navigate.v.02,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0001.sense,17,1,False
"Shortly after the ceasefire agreement took effect, Palestinian militants fired three missiles from Gaza toward Sderot and other areas of Israel.",fire,10,1,fire.v.01;fire.v.02;fire.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0068.sense,3,1,False
"Grace Energy just two weeks ago hauled a rig here 500 miles from Caspar, Wyo., to drill the Bilbrey well, a 15,000 - foot, $ 1 - million - plus natural gas well.",haul,6,1,haul.v.01,carry-11.4,Carrying,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0725.sense,114,1,False
Karl hauled the books from the library to the office.,haul,,,,,Carrying,,framenet,,,
"There was one wave that I paddled really hard for but at the end stopped because I did n't think I had it, and then, a voice in my head said & quot; Just stand up, just stand up! & quot;",paddle,6,1,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7581.sense,0,1,False
I paddled counter-clockwise to make the best use of the tides.,paddle,1,1,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7546.sense,0,1,False
"When we paddled passed there back to Dohles Rocks the other night there was a boat ramp, lights, a BBQ area, shelter and loos - http: www.brisbane.qld.gov.auBCC: BASE: 381973466:",paddle,2,1,,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7592.sense,0,1,False
"He would subsequently paddle home at the end of his day, and then carry the boat on his head back to his house.",paddle,3,1,,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7567.sense,0,1,False
"and brought their young son in a small raft, while,, and I paddled inflatable kayaks.",paddle,15,1,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7558.sense,0,1,False
I paddled the Grand in one.,paddle,1,1,,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7550.sense,0,1,False
It has been some time since I paddled a surf-ski but will give one a go shortly.,paddle,7,1,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7575.sense,0,1,False
Steve tossed John the ball.,toss,,,,,Throwing,,verbnet (throw-17.1),,,
"Most significant, demonstrators who had been throwing stones this week, today turned to gasoline bombs.",throw,7,1,throw.v.01;throw.v.02;throw.v.04;throw.v.05;throw.v.08;throw.v.10;throw.v.13;throw.v.14,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0019.sense,13,1,False
I 'm certain that neither a.m. or myself will ever lose the sharp frozen second as 'Nita put her head under water and then threw it back with her long hair and an arc of water saying youth and grace in perfect agreement.,throw,24,1,throw.v.01;throw.v.02;throw.v.04;throw.v.05;throw.v.08;throw.v.10;throw.v.13;throw.v.14,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,43,1,False
"Then the day after I took a kitchen knife and ran over to their home, that research institute, the doorway and vowed that I 'd hack the guy up.",take,5,4,take.v.03;take.v.07;take.v.27;take.v.30,bring-11.3,Carrying,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0000.sense,159,1,False
"He takes his wash to the laundromat, where he meets a punky French girl who dupes him into providing a home for her pet piranha and then promptly steals his car and dumps it in Dieppe.",take,1,4,take.v.03;take.v.07;take.v.27;take.v.30,bring-11.3,Carrying,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2402.sense,33,1,False
Karl took the books to the library in his car.,take,,,,,Carrying,,framenet,,,
The books were taken to the library by helicopter deliveries.,take,,,,,Carrying,,framenet,,,
I remember the first day we took Chien - chien to Martine 's place.,take,6,4,take.v.03;take.v.07;take.v.27;take.v.30,bring-11.3,Carrying,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1027.sense,18,1,False
The person who lifted the cover off his face kissed him ( may God have mercy on him ).,lift,3,1,lift.v.01;lift.v.02;lift.v.03;lift.v.08;lift.v.10;lift.v.12;lift.v.19,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0014.sense,3,2,True
""" People over 50 or under 16 can easily hurt themselves lifting heavy weights, so I tell people not to be foolhardy, "" she says.",lift,11,1,lift.v.01;lift.v.02;lift.v.03;lift.v.08;lift.v.10;lift.v.12;lift.v.19,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1055.sense,91,2,True
"Tugs push the Cole into position over the deck and the Marlin rises to lift the 8,000 - ton warship out of the water.",lift,14,1,lift.v.01;lift.v.02;lift.v.03;lift.v.08;lift.v.10;lift.v.12;lift.v.19,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0006.sense,6,2,True
"For a late update, live from the campaign trail we 're joined by NBC News correspondent Campbell Brown Ho who 's traveling with the Bush effort, and NBC News correspondent Chip Reid travel traveling with the Gore campaign in Kansas City Missouri.",travel,35,1,travel.v.01;travel.v.02;travel.v.03;travel.v.05;travel.v.06,run-51.3.2,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0004.sense,0,1,False
He reached the summit of the mountain.,reach,,,,,Motion,,"Croft et al 2021, p. 69",,,
"In the harbor area a railway of 14 kilometers has been built, and the Nanning - Fangchenggang railway can reach the dock directly.",reach,20,1,reach.v.01;reach.v.02;reach.v.05;reach.v.06;reach.v.07,reach-51.8,Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0120.sense,8,1,False
