sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"In April 2004, Shi Tao attended an internal meeting of the Contemporary Business Daily.",attend,6,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_c2e/00/p2.5_c2e_0054.sense,2,1,False
Beneta Tikong belongs to a party called Democratic Action.,belong,2,2,belong.v.02;belong.v.03;belong.v.04;belong.v.05;belong.v.06,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0045.sense,17,1,False
"Everyone who has attended can clearly remember the unique flavors and ingredients used by the Beijing Association, and is full of praise.",attend,3,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0038.sense,10,1,False
"The Vice Premier of the State Council, Jiahua Zou, attended the ribbon cutting ceremony held today for the start of operations.",attend,11,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0038.sense,2,1,False
Kyrgyzstan President Bakiyev and Prime Minister Kulov attended the signing ceremony.,attend,7,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0033.sense,1,1,False
"As you watch the children laughing and arguing and playing, you can think back to the time when the Japanese government did not allow Taiwanese and Japanese to attend school together.",attend,29,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1049.sense,45,1,False
"At the same time as this, the fast - growing strong "" three - capital "" enterprises and people - managed and privately managed economies will also maintain rapid growth.",manage,24,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0043.sense,13,1,False
"Therefore when Professor Peng invited me to attend, I agreed to join the delegation as an advisor to the league.",attend,7,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1032.sense,15,1,False
"Based on winter training and this league match, the national team will determine 26 team members of the first group to attend the training camp.",attend,22,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/03/chtb_0307.sense,5,1,False
never really felt like I belonged in the college drama department /.,belong,5,2,belong.v.02;belong.v.03;belong.v.04;belong.v.05;belong.v.06,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0003.sense,73,1,False
"""Only two classes of minds would think of this -- very weak human players, and computers,"" said Edmar Mednis, the expert commentator for the match, which was attended by hundreds of chess fans.",attend,33,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1272.sense,22,1,False
"Leaders, experts and users attending the conference gave a very high appraisal of the decision of the Wangma Computer Company to selflessly contribute.",attend,5,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0189.sense,6,1,False
Well not only is that false and President Clinton has said so but everybody at the meeting who attended the meeting not including Louis Freeh says it 's false /.,attend,18,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0008.sense,266,1,False
Mr. Fried also is the managing partner of Albert Fried & Co.,manage,5,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1224.sense,2,1,False
"Comrades attending the symposium deeply expressed condolences and cherished the brave revolutionary martyrs that sacrificed themselves in the Southern Anhui Incident, passionately sang praises for the New Fourth Army for the great achievements made in the liberation of the race and the creation of a new China, practically and realistically reflected on the experience and lessons from the Southern Anhui Incident, denouncing the crimes of the creator of this tragedy.",attend,1,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0190.sense,4,1,False
Managing partners who responded to the survey typically spend over half their time supervising their firms ' day - to - day operations and just a little more than a third of their time practicing law.,manage,0,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1470.sense,45,1,False
Thus we gained a great deal from attending.,attend,7,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1032.sense,19,1,False
"But membership in the International Association of Financial Planners ( IAFP ), the industry 's biggest trade group, is still nearly triple what it was in 1980, and it 's believed that the ranks of planners who do n't belong to any group have soared as well.",belong,42,2,belong.v.02;belong.v.03;belong.v.04;belong.v.05;belong.v.06,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1567.sense,27,1,False
Queen Elizabeth and Prime Minister Tony Blair attended as did relatives to those who died and emergency workers who responded to the terrorist attacks /.,attend,7,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0000.sense,483,1,False
"The Beijing Association warmly welcomes all members, along with any friends who love Beijing and love the Beijing Association, to attend the "" Golden Pig Good Luck "" Spring Festival Party.",attend,22,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0038.sense,17,1,False
"Even if she has no classes to attend, leaving the office at 8:00 PM is no different from the perspective of her family life than the extra hour she spends attending classes until 9:00 PM.",attend,31,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1016.sense,79,1,False
There is a scene at the end of the first week 's show where Mancuso attends the unveiling of the memorial to his dead partner David.,attend,15,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1397.sense,56,1,False
"As well as encouraging the local people to constantly enhance their tea growing and processing skills, he devotes even more energy to managing the "" tea culture "" to which tea has given rise, including by - products such as tea pastries and similar light refreshments.",manage,23,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1076.sense,77,1,False
"The Palestinians attended this funeral here in Ramallah and came down to this particular point where there was another confrontation with security forces, one that has occurred numerous times over the past 13 days.",attend,2,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0025.sense,18,1,False
and I have never heard anybody verbalize and articulate exactly the way I have felt since I was a child different like I have n't belonged different from everybody else in school and everything /.,belong,25,2,belong.v.02;belong.v.03;belong.v.04;belong.v.05;belong.v.06,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0003.sense,575,1,False
"Under such circumstances, these self - proclaimed, so - called elites, graduates of China 's "" famous "" universities ( Note, I mean China 's, there are n't many of those braggarts attending the famous US universities in which their departments are the top ten ), instead of thinking about how to get united, are getting themselves disabled first.",attend,37,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0034.sense,9,1,False
"By contrast Castro has strictly limited the media 's access to the boy, but that policy seems to have changed now with foreign reporters invited to attend Elian 's birthday party today in his hometown of Cardinas, Cuba.",attend,27,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0077.sense,12,1,False
More than 200 domestic and foreign reporters attended the news conference today.,attend,7,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/03/chtb_0317.sense,7,1,False
"Japanese managers ca n't expect Americans to behave as if they were Japanese; instead, they must manage Americans as Americans.",manage,18,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1092.sense,3,1,False
President Clinton plans to attend.,attend,4,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0036.sense,5,1,False
"Standing Committee Member of the CCP Politburo, Ruihuan Li, State Council member, Junsheng Chen and Minister of Central Propaganda Ministry Renzhi Wang, Minister of Agriculture Ministry Zhongyi Liu, etc. attended the meeting and presented prizes to representatives of advanced units.",attend,34,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0194.sense,2,1,False
"The meeting was attended by His Excellency Mr. Ahmed bin Abdullah Aal Mahmoud, the Minister of state for Foreign Affairs, His Excellency Sheikh Abd al - Rahman bin Saud al - Thani, Head of the government building, and Ambassador Ali Fahd al - Hajiri, the Head of the European and American Affairs Department in the Foreign Ministry.",attend,3,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0022.sense,45,1,False
"His son is treated as a PRC citizen, and attends university in Shanghai.",attend,10,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1051.sense,14,1,False
"Meanwhile, American Health Partners, publisher of American Health magazine, is deep in debt, and Owen Lipstein, founder and managing partner, is being forced to sell the magazine to Reader 's Digest Association Inc.",manage,23,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1264.sense,17,1,False
I expect she would govern Qatar --,govern,4,1,govern.v.01;govern.v.03,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0021.sense,47,1,False
"A number of victims and their family members also attended the ceremony, at which they presented a petition on behalf of more than 10,000 victims of political terror whose names can not be inscribed on the wall because of lack of official documentation of their cases.",attend,9,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1045.sense,13,1,False
"Huaqing Liu, vice president of the Military Commission of the CCP, Wannian Zhang, Military Commission member, Yongbo Yu, Quanyou Fu and leaders of the three headquarters of the PLA and the Central Office of the Military Commission attended the meeting.",attend,42,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0290.sense,7,1,False
This year too it was planning to attend the millennium edition of the conference.,attend,7,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1032.sense,14,1,False
