sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Wal - Mart I think does n't do a good enough job telling its story /.,tell,12,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,55,1,False
They should be told that we will have to reconsider our position if you do n't live up to your time table including including the withdrawal of American forces /.,tell,3,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0005.sense,331,1,False
I frankly tell you that it took over my heart and came to rest in it.,tell,2,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0038.sense,5,1,False
"Mark Rengav, a spokesman for the Israeli embassy in Washington told VOA, the security of the Israeli state is key to reaching a settlement with the Palestinians.",tell,11,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0180.sense,5,1,False
"I told them, "" Inform the search point to check them. """,tell,1,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0005.sense,22,1,False
Can any one tell me the ID of the Infosys Campus Connect portal.,tell,3,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/20/sel_2053.sense,0,1,False
I I 'd like to know that though I g- -- I got to tell you /.,tell,14,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0001.sense,390,1,False
Ivanov says he told Milosevic Yugoslavia needs a peaceful transition of power.,tell,3,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0013.sense,7,1,False
"Well, when someone does n't read the newspapers and does n't know anything about the wider world, and just accepts whatever close aides tell him, then he might easily believe 10 impossible things before breakfast.",tell,25,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/20/sel_2058.sense,0,1,False
"Even though cooperation from Yemen is at a stand still, U.S. officials tell NBC News they 're making substantial progress in the investigation and are fully confident they 'll eventually gather enough evidence to retaliate against those responble.",tell,13,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0007.sense,15,1,False
