sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
He could n't stop smoking /.,smoke,4,1,smoke.v.01,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0004.sense,649,1,False
Our Gulf brothers are afraid to eat in Shiite restaurants.,eat,6,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0003.sense,10,1,False
Dad had to put away Qingqing 's sticker book and asked Qingqing to eat well.,eat,13,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0010.sense,38,1,False
They must have been smoking hashish because their eyes were mad,smoke,4,1,smoke.v.01,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,223,1,False
"A guy is sitting up in an office deciding what you 're going to eat.""",eat,14,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1128.sense,62,1,False
"This is because you hope the Kitchen God will eat his fill of sweets and then "" tell good things in Heaven and bring good fortune when he returns. """,eat,9,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0047.sense,15,1,False
"Tolstoy 's characters eat, Pushkin 's, Gogol 's.""",eat,3,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1367.sense,55,1,False
"Some get angry if the slaughtered animal which they have been honored with contains certain parts such as the neck, for example, or that you eat the tongue of the slaughtered animal.",eat,27,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0007.sense,4,1,False
The fact that infants under the age of one can drink milk on empty stomach and absorb nutrients proves that milk contains a variety of nutrients that can be fully used by the human body.,drink,10,1,drink.v.01;drink.v.02,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0007.sense,7,1,False
Two goats grazed by the roadside and smoke hung above the road.,graze,2,1,graze.v.01;graze.v.03;graze.v.05,dine-39.5,Ingestion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,284,1,False
11 members had been charged with negligent homicide for forcing 18 - year - old pledge Walter Dean Jenning to drink an excessive amount of water.,drink,20,1,drink.v.01;drink.v.02,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0329.sense,13,1,False
"They eat ""sinful and sensual things"" -- and explain their clips.",eat,1,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1367.sense,40,1,False
