sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
A peddler surnamed Li hawked a pedicab of withered bananas at half-price.,hawk,,,,,Selling,,ontonotes,,,
"Others, like broker John Mitchell, hawked a humidor bearing Madoff's name.",hawk,,,,,Selling,,ontonotes,,,
"Under the new Northeast Utilities plan, it would pay $ 1.65 billion in cash to creditors and assume $ 100 million in pollution control bonds.",pay,9,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1145.sense,5,1,False
"Nevertheless, they must pay a hefty price to be able to study in the first place.",pay,4,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1016.sense,64,1,False
"Earlier this year, Cordis, a maker of medical devices, agreed to plead guilty to felony and misdemeanor charges related to the pacemakers and to pay the government about $ 5.7 million in fines and other costs.",pay,27,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1544.sense,2,1,False
He paid 500 pounds to the seller.,pay,,,,,Payment,,"Kalm 2022, p. 152ff",,,
"Without them, paying for central imports such as fuel and electricity will become even more difficult.",pay,3,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0030.sense,31,1,False
He paid me 500 pounds for the car.,pay,,,,,Payment,,"Kalm 2022, p. 152ff",,,
"For the past 15 years, while the whole province still has over 40 poor counties still receiving government financed subsidies, it has paid a cumulative total of 260 million yuan specially for the refugees to resolve of birth and life difficulties.",pay,24,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0255.sense,5,1,False
"Owners of intellectual property rights, when requesting Customs to investigate and deal with goods that violate rights, should bear responsibility for reporting, assist Customs to develop investigation work and pay the appraisal and investigation of the related goods and other related expenses.",pay,32,1,pay.v.01;pay.v.05;pay.v.09;pay.v.03;pay.v.11;pay.v.10,pay-68,Payment,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0289.sense,7,1,False
