sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Ordinary people, family people but everybody of you want to know about President Milosevic, and strangely enough the young people of Serbia do n't seem to care about their former President.",seem,26,seem-v 1,seem.v.01;seem.v.02;seem.v.03;seem.v.04,,Perception_(stim._subj.),pos_fill,bn/pri/00/pri_0093.sense,12,no copular/attributive marker,True
"Some of it was necessary to get federal help flowing to victims, but some seemed designed mostly to project an image of a White House in action.",seem,15,seem-v 1,seem.v.01;seem.v.02;seem.v.03;seem.v.04,,Perception_(stim._subj.),pos_fill,nw/wsj/19/wsj_1920.sense,2,no copular/attributive marker,True
The news seems unlikely given the circumstances.,seem,2,,,,Perception_(stim._subj.),synthetic,,,,False
"No matter how much I cleaned the litterboxes, the litterboxes still reeked.",reek,12,reek-v 2,reek.v.02,smell_emission-43.3,Perception_(stim._subj.),pos_fill,wb/sel/87/sel_8791.sense,0,no copular/attributive marker,True
"So, to me, this episode absolutely reeks of the theme.",reek,8,reek-v 1,reek.v.01,NM,Perception_(stim._subj.),pos_fill,wb/sel/87/sel_8780.sense,0,no copular/attributive marker,True
"But, it reeks of urban legend to me.",reek,3,reek-v 1,reek.v.01,NM,Perception_(stim._subj.),pos_fill,wb/sel/87/sel_8794.sense,0,no copular/attributive marker,True
EA 's suckage still reeks even after he left the team.,reek,4,reek-v 2,reek.v.02,smell_emission-43.3,Perception_(stim._subj.),pos_fill,wb/sel/87/sel_8768.sense,0,no copular/attributive marker,True
Simba Makoni looks and sounds like an opposition politician.,sound,4,1,sound.v.01;sound.v.03,stimulus_subject-30.4,Perception_(stim._subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0030.sense,23,1,False
"It sounds like it negates everything, but in fact it does n't negate anything at all!",sound,1,sound-v 1,sound.v.01;sound.v.03,,Perception_(stim._subj.),pos_fill,wb/p2.5_c2e/00/p2.5_c2e_0057.sense,7,,False
Uh yeah you sound like Barbara Boxer now Chris /.,sound,3,sound-v 1,sound.v.01;sound.v.03,,Perception_(stim._subj.),pos_fill,bc/msnbc/00/msnbc_0003.sense,116,,False
E- exactly it it sounds kind of like a a BS session /.,sound,4,sound-v 1,sound.v.01;sound.v.03,,Perception_(stim._subj.),pos_fill,bc/cnn/00/cnn_0007.sense,60,no copular/attributive marker,True
The soup tastes too salty tonight.,taste,2,,,,Perception_(stim._subj.),synthetic,,,,False
The tea tastes bitter without honey.,taste,2,,,,Perception_(stim._subj.),synthetic,,,,False
"Some say they feel worse after flying than they did before, but is ""bad air"" to blame?",feel,3,feel-v 1,feel.v.01;feel.v.03;feel.v.04;feel.v.05;feel.v.06;feel.v.07;feel.v.12;feel.v.01;feel.v.01;feel.v.01;feel.v.01,marvel-31.3-3;see-30.1-1;stimulus_subject-30.4,Perception_(stim._subj.),pos_fill,bn/cnn/01/cnn_0158.sense,1,,False
"By doing this you are transmitting an aversion, which you might not feel; and aversion between all the Saudis and Hamas and Palestine.",feel,13,feel-v 1,feel.v.01;feel.v.03;feel.v.04;feel.v.05;feel.v.06;feel.v.07;feel.v.12;feel.v.01;feel.v.01;feel.v.01;feel.v.01,marvel-31.3-3;see-30.1-1;stimulus_subject-30.4,Perception_(stim._subj.),pos_fill,wb/a2e/00/a2e_0011.sense,45,no copular/attributive marker,True
"And the "" minorities "" can only feel deeply grateful, how will they dare discuss equality!!",feel,7,feel-v 1,feel.v.01;feel.v.03;feel.v.04;feel.v.05;feel.v.06;feel.v.07;feel.v.12;feel.v.01;feel.v.01;feel.v.01;feel.v.01,marvel-31.3-3;see-30.1-1;stimulus_subject-30.4,Perception_(stim._subj.),pos_fill,wb/c2e/00/c2e_0027.sense,51,no copular/attributive marker,True
The fabric feels rough to the touch.,feel,2,,,,Perception_(stim._subj.),synthetic,,,,False
Well I think the best uh that that anybody can do and I sort of offer this to anyone is to just start the dialog with your children um talk to them about their moods and how they really feel /.,feel,39,feel-v 1,feel.v.01;feel.v.03;feel.v.04;feel.v.05;feel.v.06;feel.v.07;feel.v.12;feel.v.01;feel.v.01;feel.v.01;feel.v.01,marvel-31.3-3;see-30.1-1;stimulus_subject-30.4,Perception_(stim._subj.),pos_fill,bc/cnn/00/cnn_0003.sense,474,no copular/attributive marker,True
The child's forehead felt warm.,feel,3,,,,Perception_(stim._subj.),synthetic,,,,False
