sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Moreover, this corporation is also planning to construct an ethylene factory with natural gas as its raw material through co-operating with foreign companies, and will annually produce 300,000 tons of ethylene.",construct,8,1,construct.v.01;construct.v.02;construct.v.04;construct.v.05,create-26.4,Cause Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0118.sense,16,1,False
I played her in a film with Mickey /.,play,1,5,play.v.04;play.v.08;play.v.14;play.v.25;play.v.26,performance-26.7,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0003.sense,91,1,False
"When functioning normally, they make proteins that hold a cell 's growth in check.",make,5,2,make.v.03;make.v.05;make.v.06;make.v.09;make.v.15;make.v.17;make.v.18;make.v.23;make.v.39;make.v.38,build-26.1,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0465.sense,9,1,False
"To overcome this, Mr. Codover 's team injected a gene to make GDNF right into the monkey 's brains.",make,12,2,make.v.03;make.v.05;make.v.06;make.v.09;make.v.15;make.v.17;make.v.18;make.v.23;make.v.39;make.v.38,build-26.1,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0061.sense,14,1,False
"The Peugeot metalworkers began filing out of the shop, which makes auto parts, at the plant in Mulhouse after voting 589 to 193 to abandon the occupation.",make,11,2,make.v.03;make.v.05;make.v.06;make.v.09;make.v.15;make.v.17;make.v.18;make.v.23;make.v.39;make.v.38,build-26.1,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2427.sense,2,1,False
"By the side, Dad listened to Qingqing playing,",play,8,4,play.v.03;play.v.06;play.v.07;play.v.13;play.v.18,performance-26.7,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0013.sense,12,1,False
"Among other services, the firm provides pre-trial opinion polls, creates profiles of ""ideal"" jurors, sets up mock trials and ""shadow"" juries, coaches lawyers and witnesses, and designs courtroom graphics.",design,35,1,design.v.03;design.v.04;design.v.05,create-26.4,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1267.sense,9,1,False
"If we choose to have a successful transportation plan then we should design the plan to meet the needs which will occur as a result of what is happening, rather than to meet the needs of what we wish would happen.",design,12,1,design.v.03;design.v.04;design.v.05,create-26.4,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0007.sense,133,1,False
Italy 's Foreign Ministry said it is investigating exports to the Soviet Union by an Ing. C. Olivetti & Co. subsidiary called OCN - PPL that makes numerically controlled machine tools.,make,27,2,make.v.03;make.v.05;make.v.06;make.v.09;make.v.15;make.v.17;make.v.18;make.v.23;make.v.39;make.v.38,build-26.1,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1250.sense,16,1,False
"Today, though the public is barely aware, much of U.S. industry, particularly companies manufacturing or selling overseas, have made metrics routine.",manufacture,16,1,manufacture.v.01;manufacture.v.04,create-26.4,Cause Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0676.sense,12,1,False
"Innovations that are improvements require less money for R&D, and do not require genius-like creativity, but can be made primarily by devoting more attention to a specific problem.",make,20,2,make.v.03;make.v.05;make.v.06;make.v.09;make.v.15;make.v.17;make.v.18;make.v.23;make.v.39;make.v.38,build-26.1,Cause Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1042.sense,106,1,False
