sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Dice the butter and rub into the flour until it resembles fine breadcrumbs.,dice,,,,,Cause Change of State,,framenet,,,
"More than 70 % of the buildings collapsed or were seriously damaged; the power grid, the transport system and mineshaft elevators, ventilation and drainage facilities were severely damaged.",damage,11,1,damage.v.01,destroy-44,Cause Change of State,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0002.sense,154,1,False
David - who gets really annoyed when the volts drop so low his microwave can hardly boil water Esther & Fester Bestertester wrote: I 've got a 240 v. electric water heater and a need for a 208 v ( single - phase ) one.,boil,16,1,boil.v.01;boil.v.03,cooking-45.3,Cause Change of State,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/35/sel_3559.sense,0,1,False
"You say spot diameter dist to moon x wavelength of light mirror size Your formula boils down to spot size lambda / theta, the cone angle.",boil,15,boil-v 5,boil.v.01,NM,Cause_Change_of_State,pos_fill,wb/sel/35/sel_3583.sense,0,,False
"The instructions are tie up the fabic with the cords, you can use plain string or rubber bands to isolate colors more or complexify the pattern if you wish, and drop it into simmering salted water then boil covered for half an hour.",boil,39,boil-v 2,boil.v.02,cooking-45.3;preparing-26.3-2,Cause_Change_of_State,pos_fill,wb/sel/35/sel_3564.sense,0,,False
He boiled the potatoes for the salad.,boil,1,,,,Cause_Change_of_State,synthetic,,,,False
The town was baking in the sun.,bake,,,,,Cause Change of State,,ontonotes,,,
The sun bakes the valley in the summer.,bake,,,,,Cause Change of State,,ontonotes,,,
"The churchgoers baked in the heat of the humid, hazy afternoon.",bake,,,,,Change of State,,ontonotes,,,
"They say the plane took off, clicking the construction equipment, slamming into the ground and then breaking up.",break,18,16.1,,break-45.1,Change of State,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0009.sense,11,1,False
"But it could also accelerate ""marketization"" by reinforcing industrial accountability, breaking up state monopolies, giving managers a stake in solutions, and ensuring that modernization is not reversible for failure to address environmental effects.",break,13,break-v 16.1,break.v.02;break.v.07;break.v.03;break.v.04;break.v.05;break.v.01;break.v.02;break.v.01;break.v.03;break.v.04;break.v.06;break.v.08;break.v.09;break.v.10;break.v.11;break.v.12;break.v.16;break.v.17;break.v.18,break-45.1,Cause_Change_of_State,pos_fill,nw/wsj/12/wsj_1284.sense,28,,False
"Ko Ching - ming, a professor of Chinese at National Taiwan University who is in his fifties, says, "" I grew up with compulsory haircuts and school uniforms. """,grow,23,3,grow.v.05;grow.v.09,other_cos-45.4,Change of State,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1018.sense,150,1,False
"However, as Lin grew up, her mother would call her and the other girls to her side to watch and help out.",grow,4,3,grow.v.05;grow.v.09,other_cos-45.4,Change of State,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1007.sense,45,1,False
"As the sky darkens, we 'll see fireflies by the hundreds light up the surrounding fields.",darken,3,1,,other_cos-45.4,Change of State,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/38/sel_3814.sense,0,1,False
The painter darkened the sky with deep blue.,darken,2,,,,Cause_Change_of_State,synthetic,,,,False
London share prices closed sharply lower Tuesday on the back of Wall Street 's steep drop and renewed fears over U.K. economic fundamentals.,close,3,close-v 3,close.v.04;close.v.05;close.v.07;close.v.17;close.v.02;close.v.03,NM,Change_of_State,pos_fill,nw/wsj/11/wsj_1187.sense,0,,False
South African gold stocks closed moderately lower.,close,4,close-v 3,close.v.04;close.v.05;close.v.07;close.v.17;close.v.02;close.v.03,NM,Change_of_State,pos_fill,nw/wsj/15/wsj_1505.sense,53,,False
Israeli Prime Minister Ehud Barak closed down the two - year - old airport in response to the incident.,close,5,close-v 1,close.v.03;close.v.14;close.v.09;close.v.01;close.v.01,crane-40.3.2;other_cos-45.4,Cause_Change_of_State,pos_fill,bn/cnn/00/cnn_0019.sense,3,,False
"Start with them and harmonize the scale in parallel motion and you might find some sounds that you like over: B7b9, D7b9, F7b9, Ab7b9, Cdim7, Ebdim7, Gbdim7 and Adim7.",harmonize,4,harmonize-v 2,harmonize.v.02;harmonize.v.03,other_cos-45.4,Change_of_State,pos_fill,wb/sel/58/sel_5886.sense,0,,True
The milk curdled when left out too long.,curdle,2,,,,Change_of_State,synthetic,,,,False
