sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
It did not happen because clearly Judy Miller is protecting another source that she still has not revealed to the American public /.,protect,9,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0008.sense,132,2,True
"Recently the PRC has begun to limit the number of people who can work in cooperative projects in order to protect its own TV industry, and sudden changes such as this will inevitably have an impact.",protect,20,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1006.sense,175,2,True
It could tip the balance for a generation in another direction on critical issues women 's rights and workers ' rights the right of privacy uh protecting the environment human rights civil rights /.,protect,26,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,383,2,True
"Do we also need to consider, um, whether the department in question can use some method to protect drivers somewhat.",protect,19,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0004.sense,2,2,True
"The Control Yuan ordered major corrective measures regarding the project three times in 1999 alone, finding that the construction permit was improperly issued, that the environmental impact assessment was made on an incorrect basis, and that proper provision had not been made for safeguarding a Ketagalan aboriginal archaeological site.",safeguard,46,1,safeguard.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1073.sense,18,2,True
1. You have to be able both to describe your innovation and protect your own intellectual property.,protect,12,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1035.sense,95,2,True
"I finished, and Hua Guofeng then said the, uh, the Party Central Committee 's State Council does not hold you comrades in earthquake prediction, earthquake industry responsible, we hope you will continue to do your monitoring and forecasting work to protect the Party Central Committee and protect Chairman Mao.",protect,45,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0002.sense,21,2,True
I had to protect the source /.,protect,3,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0007.sense,179,2,True
"To assure the livelihood of the local Atayal aborigines of Chilan, when the cypress national park is set up consideration will have to be given to how to balance the need to protect the forests with the demand for sustainable tourism.",protect,33,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1070.sense,106,2,True
And they adjust their tactics in order to find out what we are protecting and therefore what they want to uh change to uh to to attack a softer kind of target that is n't protected /.,protect,13,1,protect.v.01,defend-72.3,Protection,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0006.sense,246,2,True
