sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Finally, of course, the boss gives in, but he 's still yelling: ""I find myself explaining anything to Teddy Kennedy, you 'll be chasing stolen cars in Anchorage.""",chase,29,1,chase.v.01,chase-51.6,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1397.sense,38,1,False
"The authorities have steered foreign reporters to her office to see an example of ""the new way of thinking.""",steer,3,1,steer.v.01;steer.v.03,accompany-51.7,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1603.sense,75,1,False
"But allow me to say: you did not ask about this, but what gave us the ability to pursue the terrorists, and specifically those who are foreigners or from neighboring countries, is the feeling and awareness among many Iraqis who, uh, apparently out of well - meaning and good intentions, joined these organizations -- or out of carelessness.",pursue,20,2,pursue.v.02,chase-51.6,Pursuit,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_a2e/00/p2.5_a2e_0025.sense,6,1,False
"If there was a hunter around, misdirect to the tank.",misdirect,7,2,misdirect.v.02;misdirect.v.03,accompany-51.7,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/70/sel_7070.sense,0,1,False
"Although the outdoor temperature in Beijing has fallen to minus 3 degrees, the traffic police deployed additional manpower on the roads to direct traffic, ah, and guide drivers in making detours.",guide,29,1,guide.v.01;guide.v.02;guide.v.04;guide.v.05,accompany-51.7,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0005.sense,201,1,False
"See, the other rule of thumb about ballooning is that you ca n't steer.",steer,14,1,steer.v.01;steer.v.03,accompany-51.7,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/02/wsj_0239.sense,34,1,False
"Its leader, al - Ahnaf ibn Qays ( may Allah be pleased with him ), chased their king until he was killed, exiled and homeless.",chase,17,1,chase.v.01,chase-51.6,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0002.sense,5,1,False
I led Chen Long/Zhou Wenlong in practice.,lead,1,5,lead.v.01,accompany-51.7,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0043.sense,2,1,False
"He and his little friends went fishing, raised dogs, hunted sparrows, chased ducks, and many years later these supremely happy memories are all preserved in his movies and plays.",chase,14,1,chase.v.01,chase-51.6,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0000.sense,28,1,False
"Prince William is chasing a polo ball, such of what has become of the British monarchy over time.",chase,3,1,chase.v.01,chase-51.6,Pursuit,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0423.sense,5,1,False
