sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"good for you, but hardly worth writing, or reading.",read,10,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,18,1,False
"Now in many European and American countries, some intellectuals including young college students like to read psychological books.",read,16,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0042.sense,21,1,False
"If only you had acquired part of the characteristics of Abu Muaz Al - Khaledi... if you do n't know him, learn about him.",learn,23,2,learn.v.02;learn.v.06,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0012.sense,61,1,False
"Investment letters now abound, I really like to read them; If I peruse enough, I 've found I 've no time left to heed them!",read,9,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1398.sense,3,1,False
"Rosa Tam, who heads the recruitment and selection division of the directorate 's human resources department, introduces many of her colleagues with the remark that he or she "" studied in Taiwan too. """,study,31,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1001.sense,17,1,False
"Jintao Hu, member of the Standing Committee of the CCP Central Committee Politburo, Secretary of the Secretary 's Office and President of the Party School of the Central Committee, stressed in his speech delivered at the autumn opening ceremony of the Party School of the Central Committee today, that leaders of all levels should thoroughly study Xiaoping Deng 's theory of building socialism with Chinese characteristics more consciously, diligently master new knowledge, continuously strengthen the Party spirit, comprehensively improve their own quality and level of leadership, so as to better fulfill their duties.",study,59,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0292.sense,1,1,False
I have read a lot of proverbs that belittle women...,read,2,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0001.sense,9,1,False
Qianqian how did you study English by yourself.,study,4,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0055.sense,18,1,False
Law says that from a young age all Hong Kongers learned that they were living in a borrowed place on borrowed time.,learn,10,2,learn.v.02;learn.v.06,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1077.sense,51,1,False
"She hit the jackpot, because Liu happened to have a good friend named Cheng Yung - gwo, a ceramic artist, who had also studied in the Department of Archeology and Anthropology at NTU.",study,26,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1064.sense,46,1,False
Taiwan can learn from this experience.,learn,2,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1006.sense,167,1,False
"Laura Bush could be a big help with that, not like Hillary Clinton with health care, but a symbol with teachers, librarians, people who care about reading and believe every American should be able to read and put clout behind it.",read,39,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0023.sense,43,1,False
The move stems from lessons learned in Japan where local competitors have had phenomenal success with concentrated soapsuds.,learn,5,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2320.sense,2,1,False
"They read Scripture as though it were poetry, and they learned from it accordingly.",read,1,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/14/sel_1469.sense,0,1,False
"Even though Ban Ki - moon had exerted some prior efforts in learning French, still during the first press conference after he was sworn in, when questioned for quite some time by a Canadian reporter in French, and after he heard out the question, Ban said with a tinge of embarrassment that if spoken slowly, he could handle French, but he definitely could not handle the reporter 's question.",learn,12,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0022.sense,4,1,False
Perhaps there are more lessons to be learned from Kailuan than from Qinglong.,learn,7,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0002.sense,126,1,False
Girls who grew up reading Non-no can accept the consumer attitude of the Men 's Non-no crowd.,read,4,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1018.sense,123,1,False
"This is a student at Xinjiang Education Institute, wrapped in a comforter and reading a book in the dormitory.",read,14,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_c2e/00/p2.5_c2e_0009.sense,3,1,False
"Most readers do not aim to become counsellors, but to learn psychological knowledge to help personal growth.",learn,11,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0042.sense,23,1,False
"But although he did not study at NTNU, he went to teach there, and has been there for over 20 years.",study,5,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1068.sense,150,1,False
"Perhaps the whole reason Mao did his thing was because he was against what he learnt from ""Yale in China"".",learn,15,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0010.sense,231,1,False
""" It does n't matter where you studied and where you graduated, "" says Chen Mingying, a senior official in the Macau government 's news department.",study,7,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1001.sense,35,1,False
"When the day comes that they go to high school, and they have to settle down and read an essay, they could well find that really boring.",read,18,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1075.sense,139,1,False
I ask you to go to London and read the records of the British Foreign Office to find out some of the characteristics of the struggle of the Iraqi people against your British friends whose mistakes you are repeating and making them participate with you.,read,8,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0009.sense,118,1,False
"Hiring someone to help with housework, Lee is a model for the children when it comes to studying, even taking them to the library on breaks to conduct research.",study,18,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1016.sense,81,1,False
Some of those who said that he was always praying and reading the Koran are the Christians who visited him in his prison cell.,read,11,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0019.sense,19,1,False
"But when something is inevitable, you learn to live with it,"" he said.",learn,7,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2363.sense,15,1,False
The only solution seemed to be to have her learn French.,learn,9,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1027.sense,8,1,False
"The junk market 's ""yield hogs are learning a real painful lesson,"" he says.",learn,8,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1375.sense,32,1,False
But maybe the work that I 'm doing now will be able to take other people down avenues to explore with more tools with more ability to experiment with more ability to study on a hands - on basis /.,study,32,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0007.sense,7,1,False
"As a result, this, this, this mother sent these, these, these brother and sister to martial arts school, to martial arts school to study.",study,29,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0003.sense,58,1,False
She basically has to rely on herself to study English.,study,8,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0055.sense,17,1,False
Now you discover that you never learned the most important lesson: How to send your kids to college.,learn,6,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1569.sense,1,1,False
Has she ever even read Hamlet?,read,4,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/14/sel_1455.sense,0,1,False
"Studying at Chienkuo High in 1949, he was arrested on false charges of having participated in the April 6 Incident.",study,0,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1060.sense,29,1,False
"I joined the army after I studied for two and a half years in middle school, er, we had not covered math, physics, and chemistry yet at that time.",study,6,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0055.sense,6,1,False
Are you suggesting corporate America has not learned its lesson yet?,learn,7,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0349.sense,4,1,False
"Research does n't tell us whether people actually do read the magazines they subscribe to.""",read,9,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1123.sense,6,1,False
Ah my head! I got a headache while I was reading I do not believe it at all.,read,11,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0015.sense,136,1,False
"Otherwise, he would not have chosen to study Taiwanese history to begin with.",study,8,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1060.sense,62,1,False
"We should also study the theory of the socialist market economy and related knowledge, and study modern scientific and technological knowledge.",study,3,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0292.sense,6,1,False
"There was a famous British psychologist named Ellis in the last century, who encouraged people to learn a special, reasonable and healthy way of thinking by reading professional books, organizing group discussions and doing specific training in thinking, in order to deal with emotional problems caused by stresses.",learn,17,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0042.sense,8,1,False
So in the interest of full disclosure what I know about forensics is basically what I 've learned on CSI /.,learn,17,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0000.sense,117,1,False
"But legal professionals who have studied in Taiwan, where legal concepts are closer to those that hold in Macau, can play an important role in this localization process.",study,5,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1001.sense,75,1,False
"Even if you wanted to, you wo n't be reading Jermaine 's account now.",read,10,1,read.v.01;read.v.11,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0009.sense,33,1,False
