sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Some of those who said that he was always praying and reading the Koran are the Christians who visited him in his prison cell.,pray,9,1,pray.v.01,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0019.sense,19,1,False
"Hoping to stay ahead of the pack, the company is emphasizing innovation.",hope,0,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/03/wsj_0367.sense,27,1,False
"Of course, according to the guardian, she 's very worried about that, too, and she has warned the court that she hopes the mother will be placed in a better home when all of this is over, one where she is far better protected than she was by the state in a home where police say she was raped.",hope,25,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0431.sense,24,1,False
"Nearby, a neighbor hopes all will be well.",hope,4,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0313.sense,5,1,False
"It hopes to speak to students at theological colleges about the joys of bell ringing and will shortly publish a booklet for every vicar in the country entitled, ""The Bells in Your Care.""",hope,1,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0089.sense,50,1,False
And it 's very clear eh as I reported again that when Bill Keller took her off her WMD beat they were all hoping she would resign /.,hope,23,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0008.sense,154,1,False
"He said: "" We hope that the Macao government will continue to give their attention to these three problems, in order to achieve final proper resolution. """,hope,5,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0284.sense,10,1,False
Hope you all have a nice Sunday.,hope,0,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0028.sense,4,1,False
Bear in mind that many have said that Saddam prayed regularly especially after he was put in prison by the Rafida and their masters.,pray,9,1,pray.v.01,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0019.sense,18,1,False
"""What I hope to bring to this is another word: process.",hope,3,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/03/wsj_0367.sense,16,1,False
"He feels that the cooperative relationship and emotional ties that have been forged between Peipu and Shihkang ought to be kept alive, and he hopes that the people of Ta Ai will be able to share their know - how in community activism with other localities so that Taiwan can recover the vibrant communities that it lost in the earthquake.",hope,25,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1017.sense,141,1,False
"""I would hope very much that we would n't end up in a kind of situation where you have a bidding war and then a veto threat.""",hope,3,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1349.sense,12,1,False
"More broadly, Mr. Boren hopes that Panama will shock Washington out of its fear of using military power.",hope,5,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0771.sense,44,1,False
"Fabrics treated by G - Fun are currently a third cheaper than the same grades of fabric from Japan, and Tsai hopes he can attract Taiwanese firms to make greater use of them.",hope,22,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1003.sense,101,1,False
"Second, the People 's Liberation Army hopes to parlay the Taiwan issue into increased influence in domestic politics.",hope,7,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1020.sense,45,1,False
"""Many people in Poland hope this government will break down,"" says Mr. Niciporuk, who belongs to the local council and to Rural Solidarity.",hope,5,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1146.sense,157,1,False
"At best, she realizes, they will rise more slowly -- more slowly, she hopes, than her family 's income.",hope,16,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0761.sense,47,1,False
Coors is hoping to become one of the first companies to distribute bottled water nationwide.,hope,2,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/09/wsj_0941.sense,2,1,False
but then I hope they listened to me and to reason /.,hope,3,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,313,1,False
"So when they pray to the Kitchen God, people place sweets, fresh water, black beans, and hay on a table in front of the Kitchen God 's image; the last three of these are for the horse that the Kitchen God rides to Heaven.",pray,3,1,pray.v.01,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0047.sense,13,1,False
"I hope this is not -- these events are not going to derail the crucial peace talks, and that despite this major hiccup and serious incident, the process will continue.",hope,1,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0001.sense,9,1,False
Uh I hope it 's realistic /.,hope,2,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0005.sense,283,1,False
"He hoped that the Macao government would further strengthen the consultations and co-operation with the Chinese side on the major issues regarding the stable transition of Macao and the smooth handing over of political power, in a way that would be beneficial to the stability and development of Macao.",hope,1,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0284.sense,14,1,False
"Many parents begin sending their children to "" bilingual "" kindergartens, or to private English schools long before, hoping to provide them with an English - speaking environment from an early age to prepare them to compete in modern society.",hope,20,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1075.sense,5,1,False
"Mitchell said he hoped his work would reduce the level of violence, but his task is going to be difficult amid the mutual accusations and the rising death toll.",hope,3,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0084.sense,27,1,False
but Nelson and other Democrats are targets of opportunity for the White House which hopes to pad Republican support for Alito with enough Democrats to discourage and if needed defeat a filibuster /.,hope,14,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,377,1,False
"For that purpose, it is now seriously investigating the news about the US plan to bomb the al - Jazeera headquarters in reported by the US newspaper, ah, the British newspaper, and it hopes that the British government can explain this.",hope,37,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0004.sense,448,1,False
"Now Mr. Phillips says he hopes to have the new system in place for several clients -- including American Express, American Telephone & Telegraph and Ryder -- by year 's end.",hope,5,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0554.sense,16,1,False
"As he stands on a hill at the beginning of a six - day motor expedition from Oxfordshire to Cornwall, where a former housekeeper resides, perhaps the victim of an unhappy 20 - year marriage, perhaps ( he hopes with more fervor than he will ever acknowledge ) not disinclined to return to domestic service, Stevens surveys the view and thereby provides a self - portrait, a credo and the author 's metaphor for the aesthetic of the novel we 're reading:",hope,41,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2149.sense,8,1,False
Some patent lawyers had hoped that such a specialty court would be filled with experts in the field.,hope,4,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0601.sense,7,1,False
"I want to say in the most forceful way I can: I certainly hope so.""",hope,14,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2446.sense,4,1,False
"""We hope to sensitize employers"" to recognize the problems so they can do something about them, Dr. Warshaw said.",hope,2,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1582.sense,10,1,False
"If we where he s and be an emergency third, that would probably be the best we could hope for.",hope,19,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0095.sense,5,1,False
"In the history of the world I do n't think a little girl 's been prayed for more than Elizabeth Smart, and we thank you for answering those prayers.",pray,15,1,pray.v.01,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0250.sense,26,1,False
I I hope to never ever see him again /.,hope,2,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,567,1,False
"We pray for the prosperity of the Republic of China, and for the health and happiness of all compatriots and all our distinguished guests!",pray,1,1,pray.v.01,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1026.sense,153,1,False
