sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
It ruled that recounts submitted to state officials after a filing deadline had passed had to be counted.,count,17,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0113.sense,21,1,False
But I never did count them all carefully.,count,4,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0000.sense,34,1,False
"Going to the well of the chamber, Mr. Panetta demanded the costs be fully counted.",count,15,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1147.sense,4,1,False
Court had the final laugh though making the guy wait at court until every was counted offsite at a bank /.,count,15,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,665,1,False
"With all the votes counted, a government spokesman said Prime Minister Gonzalez 's party won 176 seats in the 350 - seat Cortes, or lower house of parliament.",count,4,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0587.sense,12,1,False
Ninety - nine percent of the vote counted now in Virginia /.,count,7,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0002.sense,700,1,False
"""I did n't learn to count until I got to Juilliard.""",count,6,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1388.sense,16,1,False
"They have been counted on election night -- they 've been counted in the recounts, and it simply happens to be not -- not the case that those ballots have failed to be counted by anyone.",count,11,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0020.sense,19,1,False
"The bottom line, this court rules unanimously the right of the people to have the votes counted is paramount, thus, the amended certifications to include the hand counts must be accepted by November 26.",count,17,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0019.sense,22,1,False
The process stopped before a single ballot was counted.,count,8,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0042.sense,7,1,False
There are some votes that apparently were counted wrong.,count,7,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0015.sense,6,1,False
A vote shall be counted where there is a clear indication of the intent of the voter.,count,4,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0041.sense,16,1,False
We do n't know who will count them.,count,6,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0041.sense,19,1,False
We do n't know whether or not she will be counted in time for them to count in the Electoral College.,count,10,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0041.sense,20,1,False
"Because abroad are n't counted in our census, no one knows how many, and no one knows how many voted.",count,4,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0053.sense,4,1,False
"Grandma also came over to listen to Qingqing play, and also counted the beat,",count,12,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0013.sense,13,1,False
"He is going to order a major hearing on Saturday to review all the legal and evidentiary issues, look at evidence, perhaps hear from witnesses and after that the judge will decide if there are any ballots to count.",count,40,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0066.sense,14,1,False
"I think that both Governor Bush and I should recognize an obligation during this time when the votes are still being -- are still to be counted, to try to restrain the passions of our partisan supporters.",count,26,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0114.sense,4,1,False
"After counting eighty percent of the votes, the Venezuelan people reelected President Hugo Chavez for a third six - year term, after he led, with sixty - one percent of the votes, his competitor Manuel Rosales, who received thirty - eight percent, in the presidential elections in Venezuela.",count,1,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_a2e/00/p2.5_a2e_0028.sense,0,1,False
