sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
I expect she would govern Qatar --,govern,4,1,govern.v.01;govern.v.03,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0021.sense,47,1,False
"And Peter, he 'll need them when he begins to govern.",govern,11,1,govern.v.01;govern.v.03,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0055.sense,33,1,False
"With membership of the Church of England steadily dwindling, strong - willed vicars are pressing equally strong - willed and often non-religious ringers to attend services.",attend,25,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0089.sense,37,1,False
"Even if she has no classes to attend, leaving the office at 8:00 PM is no different from the perspective of her family life than the extra hour she spends attending classes until 9:00 PM.",attend,31,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1016.sense,79,1,False
"Therefore when Professor Peng invited me to attend, I agreed to join the delegation as an advisor to the league.",attend,7,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1032.sense,15,1,False
"Even though the fees for his two children to attend a bilingual kindergarten came to NT$ 80,000 for just one term, Chen considers it "" money well spent. """,attend,9,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1075.sense,41,1,False
"Under such circumstances, these self - proclaimed, so - called elites, graduates of China 's "" famous "" universities ( Note, I mean China 's, there are n't many of those braggarts attending the famous US universities in which their departments are the top ten ), instead of thinking about how to get united, are getting themselves disabled first.",attend,37,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0034.sense,9,1,False
"Everyone who has attended can clearly remember the unique flavors and ingredients used by the Beijing Association, and is full of praise.",attend,3,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0038.sense,10,1,False
"He happily told the overseas Chinese attending the reception that the past year is a year when China has overcome a series of difficulties, making remarkable, internationally recognized achievements in domestic construction and international affairs.",attend,6,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0182.sense,4,1,False
"Today, Brown separately attended the signing of a 20 - year joint investment agreement between a world famous power plant equipment manufacturer -- the US 's Westinghouse Company and the Shanghai Electric Group; and the signing of a joint investment agreement between the US 's General Electric Capital Company and the Shanghai Electricity Company to jointly invest in and establish a combustible engine electric power generation company.",attend,4,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0299.sense,5,1,False
"His son is treated as a PRC citizen, and attends university in Shanghai.",attend,10,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1051.sense,14,1,False
There is a scene at the end of the first week 's show where Mancuso attends the unveiling of the memorial to his dead partner David.,attend,15,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1397.sense,56,1,False
President Clinton plans to attend.,attend,4,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0036.sense,5,1,False
The children attend a Montessori school.,attend,2,,,,Membership,synthetic,,,,False
She attends the downtown synagogue every week.,attend,1,,,,Membership,synthetic,,,,False
"The Vice Premier of the State Council, Jiahua Zou, attended the ribbon cutting ceremony held today for the start of operations.",attend,11,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0038.sense,2,1,False
"The Beijing Association warmly welcomes all members, along with any friends who love Beijing and love the Beijing Association, to attend the "" Golden Pig Good Luck "" Spring Festival Party.",attend,22,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0038.sense,17,1,False
"Standing Committee Member of the CCP Politburo, Ruihuan Li, State Council member, Junsheng Chen and Minister of Central Propaganda Ministry Renzhi Wang, Minister of Agriculture Ministry Zhongyi Liu, etc. attended the meeting and presented prizes to representatives of advanced units.",attend,34,1,attend.v.01,attend-107.4,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0194.sense,2,1,False
"Peng Li stressed, Customs is a work unit that manages money and manages materials, a work unit that executes laws, and this then requires that National Customs cadres and employees should improve political qualities, professional qualities, as well as level of professional ethics.",manage,10,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0107.sense,9,1,False
"Japanese managers ca n't expect Americans to behave as if they were Japanese; instead, they must manage Americans as Americans.",manage,18,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1092.sense,3,1,False
"Before the ban, the Vocational Assistance Commission for Retired Servicemen ( VACRS ), which manages Chilan, had already cut down almost 6,000 hectares.",manage,16,2,manage.v.02;manage.v.04,supervision-95.2.2,Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1070.sense,99,1,False
