sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
His offhand comment embarrassed the hostess.,embarrass,3,,,,Emotion_(stim. subj.),synthetic,,,,False
"The revelations embarrassed town officials, although they argued that the problems were n't as severe as the media suggested.",embarrass,2,embarrass-v 1,embarrass.v.01,amuse-31.1,Emotion_(stim. subj.),pos_fill,nw/wsj/23/wsj_2367.sense,17,,False
The speech inspired the delegates.,inspire,2,,,,Emotion_(stim. subj.),synthetic,,,,False
Better to look in the corners for performances that inspire or amuse.,inspire,9,inspire-v 1,inspire.v.01;inspire.v.02;inspire.v.03;inspire.v.04;inspire.v.05,amuse-31.1,Emotion_(stim. subj.),pos_fill,nw/wsj/11/wsj_1163.sense,32,,False
We have shown they have a tremendous potential to upset the balance of nature.,upset,9,upset-v 1,upset.v.01,NM,Emotion_(stim. subj.),pos_fill,bn/abc/00/abc_0017.sense,21,,False
"Indeed, concerned that Sony sales personnel were threatening legal action or other retaliation -- such as withholding desirable Sony products -- against Justin 's customers, Mr. Baxley fired off a letter to Sony in April.",concern,2,concern-v 2,concern.v.02,amuse-31.1,Emotion_(stim. subj.),pos_fill,nw/wsj/24/wsj_2418.sense,40,,False
"The charges are the culmination of weeks of rumors concerning CDL that have depressed the company 's share price and to a lesser extent the shares of all companies owned by CDL 's controlling Quek family, brokers in Singapore say.",concern,9,concern-v 1,concern.v.01,relate-86.2,Emotion_(stim. subj.),pos_fill,nw/wsj/18/wsj_1875.sense,128,,False
"The scandal has faded and flared, but recent disclosures propelled it back onto the front pages, and that has helped galvanize the opposition, which last week blocked passage of two constitutional amendment bills.",galvanize,22,1,galvanize.v.01,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2041.sense,36,1,False
"The defending champion Pete Sampras, who was troubled by a sore left ankle for more than one month, recovered to easily beat his opponent in 3 sets to progress to the men 's second round.",trouble,8,trouble-v 1,trouble.v.01;trouble.v.03,,Emotion_(stim. subj.),pos_fill,nw/xinhua/03/chtb_0311.sense,2,,False
"Comments one Taiwanese businessman, "" You worry that your kid is going to become a communist. """,worry,7,1,worry.v.01;worry.v.02;worry.v.03;worry.v.04,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1010.sense,34,1,False
