sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"You used the washbasin to wash your feet, used the washbasin to hold your meal, used the washbasin to wash your face, and sometimes used the same washbasin to boil water.",use,17,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0001.sense,189,1,False
Merrill Lynch & Co. and Shearson Lehman Hutton Inc. say they use voice - activated systems to record and verify orders between salesmen and traders.,use,11,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1058.sense,17,1,False
"When stamps have risen in value to a certain degree, even if you ask someone to, he wo n't use stamps that are worth more than their face value as postage.",use,21,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0043.sense,72,1,False
"Also such location devices, some ships have smoke floats they can toss out so the man overboard will be able to use smoke signals as a way of trying to find or locate, let the rescuer locate them.",use,22,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0360.sense,16,1,False
"288, for those of us that actually use it, is wonderful - instead of Powhatan and Western Chesterfield being bottlenecked by lack of roads,",use,8,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0003.sense,83,1,False
"Concerned about shrinking landfills and the safety of chemicals used in super-absorbent disposables, parents are returning to the cloth diaper.",use,9,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0120.sense,38,1,False
I used the shovel.,use,,,,,Manipulation,,"Croft et al 2021, p. 92f",,,
"that and no more than a minute later, as i attempted to slither between two of those big open stake trucks they use to haul live cattle, there was yet another mighty blast of lightning close by.",use,23,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,166,1,False
"U.S. officials report the suspect is providing explicit details how the attack was planned for more than a year then executed with deadly precision, how one safe house and the suicide boat used in the attack were acquired months before the attack, that two other suspects, an explosives expert believed to be Iraqi, and another perhaps a Saudi, supervised the operation then left Aden before the bombing.",use,33,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0025.sense,5,1,False
"Officials in East Berlin, responding to complaints from opposition groups, admitted police used excessive force in dispersing protesters this month.",use,14,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1216.sense,5,1,False
"Currently, this type of medicine has been produced in quantity and is widely used in clinicals.",use,14,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0224.sense,6,1,False
"Fourthly, to improve cotton supply methods, and to allow prices to fluctuate 6 %, and for exporting products using Xinjiang cotton to replace imported cotton, a zero tax rate will be implemented.",use,21,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0142.sense,22,1,False
Security officials also linked documents found in the vehicle believed to be used by the attackers to the region.,use,12,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0028.sense,9,1,False
"It has been used successfully in physician offices, schools, and in sensory function laboratories for over 35 years.",use,,,,,Manipulation,,framenet (Using),,,
"It is estimated that before the high tide on August 3rd of the lunar calendar, the vast majority of the city 's water damaged dike can hopefully, using earth building methods, receive emergency repairs.",use,29,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0221.sense,7,1,False
I used the shovel well.,use,,,,,Manipulation,,"Croft et al 2021, p. 92f",,,
The evidence is accumulating that Iraq may be planning to use chemical weapons.,use,10,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0255.sense,6,1,False
I went and used that ball yesterday and I bowled 5 games.,use,,,,,Manipulation,,framenet (Using),,,
Our grandmothers ' generation uses it to wash their hair and faces.,use,4,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0051.sense,1,1,False
He drove the car.,drive,,,,,Manipulation,,"Croft et al 2021, p. 92f",,,
"One of its futuristic concepts is the bubblelike Sneaker, which seats just one person in front and could hold a small child and bag of groceries in the rear.",hold,19,6,hold.v.11;hold.v.12;hold.v.18;hold.v.17;hold.v.32,contain-15.4,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/09/wsj_0956.sense,40,1,False
The guard held the suspect until backup arrived.,hold,2,,,,Constrain,synthetic,,,,False
The bailiff held the defendant in the holding cell.,hold,2,,,,Constrain,synthetic,,,,False
He held the dog firmly by the collar.,hold,1,,,,Constrain,synthetic,,,,False
She held the baby against her shoulder.,hold,1,,,,Constrain,synthetic,,,,False
"I believe they ought to, the, have held a meeting, and maybe reduced the losses.",hold,9,hold-v 8,hold.v.03,NM,Capacity,pos_fill,bc/phoenix/00/phoenix_0002.sense,223,,True
The opera house holds two thousand people.,hold,,,,,Capacity,,ontonotes,,,
Topic: Re: What shoes to wear for badminton -LSB- ZT -RSB-.,wear,7,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0036.sense,58,1,False
Her mother was wearing those sunglasses in court that you just saw her wearing just now /.,wear,13,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0002.sense,105,1,False
"In spite of the excitement that she remembered feeling, as a child, about getting to wear new clothes and new hats, Yang later began to question this way of spending New Year.",wear,17,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1007.sense,128,1,False
"On the next flight, passengers wear masks and their temperatures are taken for signs of SARS.",wear,6,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0411.sense,48,1,False
"When Sun wore a long jacket while shooting a music video, people could tell how excited she was at wearing a winter coat for the first time.",wear,20,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1078.sense,82,1,False
"With one she is pregnant, with Major Battle she is knitting an American flag, and as the vice president 's wife she rushes in with white hair, wearing a tailored suit and pearls, imitating Barbara Bush 's gestures down to the last detail.",wear,30,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/19/wsj_1984.sense,21,1,False
The headgear worn by this figure indicates that he is a general.,wear,2,1,wear.v.01;wear.v.02;wear.v.03;wear.v.05;wear.v.09,simple_dressing-41.3.1,Constrain,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1047.sense,89,1,False
