sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
There are some votes that apparently were counted wrong.,count,7,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0015.sense,6,1,False
"As you know, the Democratic line throughout is they wo n't be happy until every vote is counted, and we could n't help but notice, should we call it a rhetorical device you used when talking to reporters this afternoon.",count,18,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0020.sense,12,1,False
That 's when the overseas ballots will be counted and factored into the candidates ' final totals.,count,8,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0053.sense,1,1,False
A vote shall be counted where there is a clear indication of the intent of the voter.,count,4,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0041.sense,16,1,False
"According to statistics, by the end of last year, import and export trade of the Ningbo Bonded Area added up to 812 million US dollars.",add,20,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0019.sense,4,1,False
"So in the end, Brian, I think official the official numbers will be the numbers that apply but we 'll have to wait and see when all 67 are counted by both.",count,31,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0013.sense,31,1,False
"I think that both Governor Bush and I should recognize an obligation during this time when the votes are still to be counted, to try to restrain the passions of our partisan supporters.",count,22,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0070.sense,13,1,False
"With all the votes counted, a government spokesman said Prime Minister Gonzalez 's party won 176 seats in the 350 - seat Cortes, or lower house of parliament.",count,4,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0587.sense,12,1,False
Then add and subtract two standard deviations to get a wider range.,add,1,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1564.sense,34,1,False
"In order to make sure no child gets left behind, we must understand whether or not each child is learning to read and write and add and subtract.",add,26,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0324.sense,9,1,False
"But with regard to an ordinary person, he may never see the whole group, he sees only his co-workers, his relatives and his friends, the group of people familiar to him; add up all the people in this group and they may number 200, and that is already a lot of people.",add,36,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0050.sense,8,1,False
"Bawan, too, had once harbored such suspicions, but since getting involved in fieldwork himself, he has discovered how quickly the expenses add up for transportation, development of slides, and so much more.",add,25,2,add.v.04;add.v.05,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1011.sense,91,1,False
"The bottom line, this court rules unanimously the right of the people to have the votes counted is paramount, thus, the amended certifications to include the hand counts must be accepted by November 26.",count,17,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0019.sense,22,1,False
The process stopped before a single ballot was counted.,count,8,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0042.sense,7,1,False
"He is going to order a major hearing on Saturday to review all the legal and evidentiary issues, look at evidence, perhaps hear from witnesses and after that the judge will decide if there are any ballots to count.",count,40,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0066.sense,14,1,False
Those ballots have been counted not once on election night but twice in the recount and how many did you -- did you say there were?,count,4,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0020.sense,14,1,False
"We believe it can be over by December 12th, and if they come out with an order that says we are not going to count any ballots, that 's going to resolve by December 12th.",count,25,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0143.sense,6,1,False
"If you know the exact number, does n't that mean they 've been counted?",count,14,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0020.sense,16,1,False
We do n't know who will count them.,count,6,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0041.sense,19,1,False
"They have been counted on election night -- they 've been counted in the recounts, and it simply happens to be not -- not the case that those ballots have failed to be counted by anyone.",count,11,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0020.sense,19,1,False
"Judge Sauls is deciding whether to count those ballots and go through them and perhaps add some votes to Al Gore 's final total, which is exactly what the Democrats want.",count,6,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0066.sense,7,1,False
"And that year, the income I counted was 4,000 yuan.",count,7,1,count.v.01;count.v.04,multiply-108,Counting,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0001.sense,57,1,False
