sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
I weighed the package.,weigh,,,,,Measurement,,"Levin 1993, Register-54.1",,,
The package weighed ten pounds.,weigh,,,,,Measurement,,"Levin 1993, Register-54.1",,,
"But the longer it takes us to understand the new landscape of this war, the more costly and painful the victory will be.",take,4,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0000.sense,263,1,False
"During delivery, it takes a lot of time and energy if it is a natural birth,",take,4,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0017.sense,11,1,False
There was no time for me to see you know how what my place in the world was and what else I might be doing for myself because it just took everything to get through the day /.,take,30,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0003.sense,303,1,False
"All of this is in the works now, but I think it 's going to take quite a few years to develop it.",take,16,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0424.sense,32,1,False
"And it takes Declan, the obligatory ladies ' man of the cast, until the third episode to get past first base with any of his prey.",take,2,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2402.sense,27,1,False
And investors and traders alike say the current turmoil could take years to resolve.,take,10,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1375.sense,4,1,False
"Last year, the prisons ' sales to the Pentagon totaled $ 336 million.",total,10,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2048.sense,28,1,False
San Francisco Mayor Art Agnos estimated that damages to the city total $ 2 billion.,total,11,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1699.sense,22,1,False
"The Canadian pig herd totaled 10,674,500 at Oct. 1, down 3 % from a year earlier, said Statistics Canada, a federal agency.",total,4,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0545.sense,0,1,False
Bids totaling $ 515 million were submitted.,total,1,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/02/wsj_0256.sense,1,1,False
"Transactions in which prices were disclosed totaled $ 188.1 billion, up 15 % from $ 163.2 billion a year earlier.",total,6,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0645.sense,6,1,False
"Volume totaled 132.1 million shares, which is about average for the year.",total,1,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1055.sense,4,1,False
