sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"He then hung a rope out a third - floor window and lowered himself to safety, injuring his hands slightly in the process.",hang,2,1,hang.v.01;hang.v.02;hang.v.05;hang.v.10;hang.v.12;hang.v.13;hang.v.14;hang.v.15,put_spatial-9.2,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1011.sense,16,1,False
"The Chicago company 's beverage carrier, meant to replace cardboard trays at concession stands and fast - food outlets, resembles the plastic loops used on six - packs of beer, only the loops hang from a web of strings.",hang,36,1,hang.v.01;hang.v.02;hang.v.05;hang.v.10;hang.v.12;hang.v.13;hang.v.14;hang.v.15,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0102.sense,16,1,False
Paint sprayed onto the wall.,spray,,,,,Incremental,,"Croft et al 2021, p. 76f.",,,
"Suddenly, it is night, and a tarp - covered, skyscraper - sized structure looms over the poor nation as choppers spray spotlights across it.",spray,23,1,spray.v.01;spray.v.02;spray.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0009.sense,289,1,False
"Radiation signs plastered all over the door, nobody should have been surprised at any detecto-noises.",plaster,2,2,plaster.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/78/sel_7813.sense,0,1,False
"If you can only get L-section, you can do this with a center plate and weld or rivet each side to it.",rivet,18,2,rivet.v.02,tape-22.4,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/91/sel_9156.sense,0,1,False
"Also on the way, equipment to lift the ""Cole"" out of the water and specialists to help retrieve the bodies of those trapped and presumed dead.",trap,25,2,trap.v.02;trap.v.03;trap.v.04,pocket-9.10,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0010.sense,7,1,False
"Close the lid and seal it up, and let it sit for about 5 minutes.",seal,4,1,seal.v.02;seal.v.01,tape-22.4,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/29/sel_2965.sense,0,1,False
"Currently, the Ministry of Agriculture and Forestry and the local government of Chungcheongnam - Do had already sealed off and had restricted access to the four major roads surrounding the avian flu - infected duck farm.",seal,18,5,seal.v.02,tape-22.4,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0085.sense,5,1,False
"Sources tell ABC News that a suspect who has been in custody for several weeks told Yemeni investigators that his group failed in their attack because their small boat, overloaded with explosives, sank just off the beach.",overload,30,1,overload.v.01;overload.v.02;overload.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0030.sense,5,1,False
"I used to herd sheep with my aunts, and they showed me how to work in clay. & quot;",herd,3,1,herd.v.01;herd.v.02;herd.v.03,herd-47.5.2,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/60/sel_6092.sense,0,1,False
"add the flowers, and well, to my mind, that 's poetry.",add,0,1,add.v.01;add.v.02;add.v.03;add.v.06,mix-22.1,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,126,1,False
"""Personal Computer"" yearbooks are lined up on nearly every desk, and dog - eared copies of Nikkei Computer crowd magazine racks.",crowd,21,1,crowd.v.02;crowd.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0445.sense,22,1,False
"Mr. Fischer plows his own fields, sows his own corn and sunflowers, and feeds his own sheep.",sow,7,1,sow.v.01;sow.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/17/wsj_1760.sense,25,1,False
""" Nobody seems to care about our Pali, and we are very remote, so people just dump what they do n't want out here.",dump,18,2,dump.v.01;dump.v.03,funnel-9.3,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1050.sense,63,1,False
Glue the sign to the window.,glue,,,,,Incremental,,ontonotes,,,
"Still bleeding, he ran downstairs and scooped up the baby and took the baby to the hospital.",scoop,7,1,scoop.v.01,funnel-9.3,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0242.sense,22,1,False
Linda taped the picture to the wall.,tape,,,,,Incremental,,"Croft et al 2021, p. 76f.",,,
Leslie covered the bed with blankets.,cover,,,,,Incremental,,"Croft et al 2021, p. 76f.",,,
The prepaid plans take payment today -- usually at current tuitions or at a slight discount -- for a promise that tuition will be covered tomorrow.,cover,24,cover-v 2,cover.v.03;cover.v.04;cover.v.05;cover.v.06;cover.v.07;cover.v.08;cover.v.14;cover.v.18,NM,Concealment,pos_fill,nw/wsj/15/wsj_1569.sense,57,,False
It pretty much covers hurricane related stuff.,cover,3,cover-v 2,cover.v.03;cover.v.04;cover.v.05;cover.v.06;cover.v.07;cover.v.08;cover.v.14;cover.v.18,NM,Concealment,pos_fill,wb/sel/04/sel_0491.sense,0,,False
"Correspondent Xu Xiaobing, covering frontline news at the time, snapped the shutter while artillery fire roared overhead.",cover,4,cover-v 2,cover.v.03;cover.v.04;cover.v.05;cover.v.06;cover.v.07;cover.v.08;cover.v.14;cover.v.18,NM,Concealment,pos_fill,bc/cctv/00/cctv_0001.sense,194,,False
"The offering is rated doubleA - 2 by Moody 's and double - A by S&P, based on the quality of the underlying auto loans and a guarantee covering 9 % of the deal from Ford Motor Credit.",cover,29,cover-v 2,cover.v.03;cover.v.04;cover.v.05;cover.v.06;cover.v.07;cover.v.08;cover.v.14;cover.v.18,NM,Concealment,pos_fill,nw/wsj/13/wsj_1312.sense,41,,False
Doug cleaned the dishes from the table.,clean,,,,,Incremental,,"Croft et al 2021, p. 76f.",,,
I funneled the mixture into the bottle.,funnel,,,,,Incremental,,"Croft et al 2021, p. 76f.",,,
"At these words, the samurai, perceiving the discipline of the master, sheathed his sword and bowed.",sheathe,14,1,sheathe.v.01;sheathe.v.02,pocket-9.10,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/96/sel_9624.sense,0,1,False
"Buoyed by the continued inflows into money funds, assets of all mutual funds swelled to a record $ 953.8 billion in September, up fractionally from $ 949.3 billion in August.",swell,14,swell-v 1,swell.v.01;swell.v.03;swell.v.06,calibratable_cos-45.6-1;entity_specific_cos-45.5,Incremental,pos_fill,nw/wsj/04/wsj_0422.sense,31,,False
"His mother and father did not get on well together, and after constant arguments they finally divorced.",divorce,17,divorce-v 2,divorce.v.02,marry-36.2;separate-23.1-1,Incremental,pos_fill,mz/sinorama/10/ectb_1067.sense,27,,False
"Ironically, Caltrans this year began working on a second round of seismic reinforcements of freeways around the state, this time wrapping freeway columns in ""steel blankets"" to reinforce them.",wrap,22,wrap-v 1,wrap.v.01;wrap.v.03;wrap.v.01;wrap.v.04,spray-9.7-1,Incremental,pos_fill,nw/wsj/19/wsj_1916.sense,31,,False
"This has raised the hackles of Lung Ying - tai, the director of the Taipei Bureau of Culture: "" The new government can not try to lock up the nation.",lock,28,lock-v 2,lock.v.07;lock.v.01;lock.v.02;lock.v.01;lock.v.02,,Incremental,pos_fill,mz/sinorama/10/ectb_1036.sense,132,,False
"In addition, he says, the buy - out business is under pressure ""because of the junk bond collapse,"" meaning that returns are likely to decline as the volume of junk - bond financings shrinks.",shrink,38,shrink-v 1,shrink.v.01;shrink.v.03;shrink.v.04,,Incremental,pos_fill,nw/wsj/01/wsj_0128.sense,17,,False
Efficient land distribution through society colleting rental values sweeps those struggles and inefficiencies aside.,sweep,8,sweep-v 2,sweep.v.03;sweep.v.06;sweep.v.01,funnel-9.3-2-1;wipe_manner-10.4.1-1,Incremental,pos_fill,wb/sel/33/sel_3338.sense,0,,False
The Red Sox used to segregate the bleachers in this fashion -- you could n't get from the bleachers to the rest of the stands.,segregate,5,2,segregate.v.02;segregate.v.03,disassemble-23.3,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/94/sel_9463.sense,0,1,False
Paint splattered on the tarp beneath the ladder.,splatter,1,,,,Incremental,synthetic,,,,False
"First Ang Lee 's Crouching Tiger, Hidden Dragon won Golden Globes for best director and best foreign - language film as well as 10 Oscar nominations, and then Lin Cheng - sheng won the Silver Bear at the Berlin Film Festival for Betelnut Beauty.",hide,7,1,hide.v.01;hide.v.02;hide.v.03;hide.v.04,concealment-16,Concealment,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1077.sense,3,1,False
Top executives at the company accused of cooking the books to hide billions of dollars in debt.,hide,11,hide-v 1,hide.v.01;hide.v.02;hide.v.03;hide.v.04;hide.v.01,concealment-16-1,Concealment,pos_fill,bn/cnn/03/cnn_0396.sense,6,,False
So far U.S. soldiers have discovered nearly $ 600 million hidden around Baghdad.,hide,10,1,hide.v.01;hide.v.02;hide.v.03;hide.v.04,concealment-16,Concealment,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0306.sense,5,1,False
He tells CNN he was told to keep the parts hidden so they would be ready when the time came to rebuild Iraq 's program.,hide,10,1,hide.v.01;hide.v.02;hide.v.03;hide.v.04,concealment-16,Concealment,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0244.sense,6,1,False
"That is, the treasure is all hidden underground.",hide,7,1,hide.v.01;hide.v.02;hide.v.03;hide.v.04,concealment-16,Concealment,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0003.sense,279,1,False
"Yesterday, protesters blocked the entrance to protest what they claim is the company 's inaction against global warming.",block,3,block-v 1,block.v.01;block.v.04;block.v.06;block.v.07;block.v.09;block.v.10;block.v.12;block.v.01;block.v.02;block.v.03;block.v.02;block.v.03;block.v.01,concealment-16;fill-9.8,Concealment,pos_fill,bn/cnn/03/cnn_0366.sense,6,,False
It is unreasonable to block roads and cut off traffic even if the villagers ' homes were being damaged by the blasting for road construction and the economy was being hurt; these methods are illegal and harm innocent bystanders; they are unacceptable.,block,4,block-v 1,block.v.01;block.v.04;block.v.06;block.v.07;block.v.09;block.v.10;block.v.12;block.v.01;block.v.02;block.v.03;block.v.02;block.v.03;block.v.01,concealment-16;fill-9.8,Concealment,pos_fill,wb/c2e/00/c2e_0015.sense,7,,False
"The protesters lie down in the street, blocking traffic, and will not move until the authorities carry them away.",block,8,block-v 1,block.v.01;block.v.04;block.v.06;block.v.07;block.v.09;block.v.10;block.v.12;block.v.01;block.v.02;block.v.03;block.v.02;block.v.03;block.v.01,concealment-16;fill-9.8,Concealment,pos_fill,nw/wsj/02/wsj_0290.sense,30,,False
"Taking this case as an example, the common folk blocked the road because the local government did not resolve the problem.",block,10,block-v 1,block.v.01;block.v.04;block.v.06;block.v.07;block.v.09;block.v.10;block.v.12;block.v.01;block.v.02;block.v.03;block.v.02;block.v.03;block.v.01,concealment-16;fill-9.8,Concealment,pos_fill,wb/c2e/00/c2e_0015.sense,25,,False
"When they did, his commanders did n't have the initiative to do more than block a couple of roads.",block,15,block-v 1,block.v.01;block.v.04;block.v.06;block.v.07;block.v.09;block.v.10;block.v.12;block.v.01;block.v.02;block.v.03;block.v.02;block.v.03;block.v.01,concealment-16;fill-9.8,Concealment,pos_fill,nw/wsj/13/wsj_1307.sense,9,,False
"What I saw was their bodies shrouded, then the dog stealing the shroud, then a pair of bodies going into the ground.",shroud,6,shroud-v 2,shroud.v.03,fill-9.8,Concealment,pos_fill,wb/sel/97/sel_9732.sense,0,,False
