sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"According to the agreement, restrictions on those seeking association membership and sub-committee posts will be relaxed, but the rules will be tightened for those running for the posts of director or general secretary, excluding or removing from office anyone who is in default for more than a year on loans from these and other such financial organizations.",remove,38,1,remove.v.01;remove.v.02;remove.v.03;remove.v.04;remove.v.05;remove.v.06;remove.v.08,banish-10.2,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1046.sense,18,2,True
The judge scheduled to preside over his trial was removed from the case today /.,remove,9,1,remove.v.01;remove.v.02;remove.v.03;remove.v.04;remove.v.05;remove.v.06;remove.v.08,banish-10.2,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0000.sense,151,2,True
"To remove the threat that the ice icicle caused to the local herders, the local government has invested over five million yuan in building 129 new houses in Kalatuohai Township, which are being used to settle the herders under threat from the ice icicle.",remove,1,remove-v 1,remove.v.01;remove.v.02;remove.v.03;remove.v.04;remove.v.05;remove.v.06;remove.v.08,,Cause_Membership,pos_fill,bn/p2.5_c2e/00/p2.5_c2e_0025.sense,8,,False
The criminals were put away.,put,,,,,Cause Membership,,ontonotes,,,
"They 'll probably let us hire who we want as long as we agree to refer to the person as a director or something like that. """,hire,5,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1010.sense,50,3,True
"In return, the couple translated for the Americans, and eventually the Washington National Guard 's 1st Battalion 303rd Armored Regiment hired Balqes as an interpreter, at $ 15 per day.",hire,22,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0015.sense,43,3,True
and maybe that 's what people saw and hired me for you know cause I was really just going to keep pushing until I got free of all of the things that were bothering me /.,hire,8,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0003.sense,83,3,True
Some of the top people of The New York Times were hired from The Wall Street Journal /.,hire,11,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0006.sense,709,3,True
"If you want to see how, you could start with Taipei 's Mass Rapid Transit ( MRT ) system, which is the world 's most expensive at NT$ 440 billion; the Kuandu Nature Reserve, for which Japanese experts were hired to perform wetlands restoration to the tune of NT$ 14 billion; the West Gate District reconstruction carried out in conjunction with the building of the MRT there, which came to more than NT$ 10 billion; the Mucha Zoo, which has consumed NT$ 30 billion since it was built in the 1970s; or the building of the Taipei Financial Center, which will stand 101 stories high, serve as an Asian landmark, and cost the city as much as NT$ 10 billion.",hire,43,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1036.sense,41,3,True
"San Sun insists it will not lay off any Taiwan workers, nor will it hire foreign laborers in Taiwan, and its sales have not suffered as a result.",hire,15,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1042.sense,116,3,True
"So, al - Jazeera TV station seized this opportunity to get hold of this, this entire group of people by hiring them, er, as their reporters, editors, or anchors at high salaries.",hire,22,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0004.sense,202,3,True
"We knew only that she was a licensed nanny with documents from the French government, and hiring her to look after Chien - chien seemed better than hiring a cheaper unlicensed nanny.",hire,17,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1027.sense,13,3,True
"Tsai Jui - ting points out that even though Formosa Plastics uses a lot of foreign laborers from southeast Asia, the complex has also hired a lot of local people, and since the plant went into operation he does n't seem to see so many young people hanging out in the area 's small towns with nothing to do.",hire,25,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1021.sense,146,3,True
"And so we hired Martine, a Frenchwoman in her 50s, to be Chien - chien 's nanny.",hire,3,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1027.sense,10,3,True
He 's hired liberals conservatives libertarians independents um /.,hire,2,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,371,3,True
"He went through a shipping agent in Taiwan to hire local residents in Lungkeng to clean up the shoreline, but the oil slick had mucked up a three - kilometer stretch of strikingly beautiful blue waters, throwing a pall over the local tourism and fishing industries.",hire,9,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1074.sense,19,3,True
"After receiving his discharge he borrowed NT$ 12,000 from his father, hired a baker, and opened up a store.",hire,12,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1021.sense,86,3,True
""" If we had n't been able to hire experienced teachers, "" notes Ye, "" it would have seriously impaired the quality of our faculty. """,hire,8,1,hire.v.01;hire.v.02;hire.v.03,hire-13.5.3,Cause Membership,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1010.sense,43,3,True
