sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Carr also said that the police had applied for a search warrant from the court yesterday morning, and entered the unit in the afternoon with the warrant for a detailed investigation, in order to understand more about the incident.",say,2,1,say.v.01;say.v.02;say.v.09;say.v.08;say.v.05;say.v.10,say-37.7,Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0038.sense,9,1,False
but I thought ah Rehnquist said it best when somebody asked him recently and said it 's for me to know and you to find out /.,say,14,1,say.v.01;say.v.02;say.v.09;say.v.08;say.v.05;say.v.10,say-37.7,Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0007.sense,270,1,False
State Department 's spokesman Richard Voucher said both meetings will be devoted largely to a discussion of ways to reduce Israeli - Palestinian violence.,say,6,1,say.v.01;say.v.02;say.v.09;say.v.08;say.v.05;say.v.10,say-37.7,Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0046.sense,7,1,False
"In a speech to the Mortgage Bankers Association, Mr. Kemp broke the administration 's public silence on the Fed and complained that ""interest rates are too high.""",complain,21,1,complain.v.01,complain-37.8,Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1279.sense,1,1,False
"The President, quoted by Ari Fleischer, his spokesman, is saying he 's concerned the strike will undermine efforts by Palestinian authorities to bring an end to terrorist attacks and does not contribute to the security of Israel.",say,12,1,say.v.01;say.v.02;say.v.09;say.v.08;say.v.05;say.v.10,say-37.7,Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0394.sense,11,1,False
"""You people here think this is Russian music,"" she said with disdain, and called over to the waitress: ""Could you turn it off?""",say,12,1,say.v.01;say.v.02;say.v.09;say.v.08;say.v.05;say.v.10,say-37.7,Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1367.sense,25,1,False
"The ad copy claimed that jewelry would attract women and make them "" willing to accept your rules. """,claim,3,1,claim.v.01,say-37.7,Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1018.sense,203,1,False
"But the ice - core samples are n't definitive proof that the so - called greenhouse effect will lead to further substantial global heating, Mr. Thompson acknowledged.",acknowledge,27,1,acknowledge.v.01;acknowledge.v.06,confess-37.10,Statement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0683.sense,9,1,False
"Mr. Kaye says he has paid more than $ 70,000 in legal fees so far.",say,2,1,say.v.01;say.v.02;say.v.09;say.v.08;say.v.05;say.v.10,say-37.7,Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2418.sense,53,1,False
"If that proves true, analysts say Banco Exterior could be a prime partner -- or even a takeover target -- for either a Spanish or foreign bank seeking to increase its market share after 1992, when the European Community plans to dismantle financial barriers.",say,6,1,say.v.01;say.v.02;say.v.09;say.v.08;say.v.05;say.v.10,say-37.7,Statement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0616.sense,7,1,False
