sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Activists protested the practice of force-feeding ducks.,force-feed,,,,,Feeding,,synthetic,,,
The charity has sustained thousands of orphans with daily meals.,sustain,,,,,Feeding,,synthetic,,,
She sustained her elderly father with porridge and broth.,sustain,,,,,Feeding,,synthetic,,,
Aid agencies struggled to sustain the displaced population through the winter.,sustain,,,,,Feeding,,synthetic,,,
Rationed bread sustained the besieged townspeople for months.,sustain,,,,,Feeding,,synthetic,,,
The mother cat nursed her kittens in the corner of the barn.,nurse,,,,,Feeding,,synthetic,,,
He was nursed by a wet nurse during his early months.,nurse,,,,,Feeding,,synthetic,,,
She nursed her infant for nearly two years.,nurse,,,,,Feeding,,synthetic,,,
She bottle-fed the orphaned lambs throughout the night.,bottle-feed,,,,,Feeding,,synthetic,,,
Volunteers bottle-fed the rescued kittens at the shelter.,bottle-feed,,,,,Feeding,,synthetic,,,
He bottle-fed his daughter while his wife recovered from surgery.,bottle-feed,,,,,Feeding,,synthetic,,,
The volunteer spoon-fed pureed vegetables to the bedridden man.,spoon-feed,,,,,Feeding,,synthetic,,,
She spoon-fed her toddler some warm applesauce.,spoon-feed,,,,,Feeding,,synthetic,,,
He spoon-fed broth to his sick grandmother.,spoon-feed,,,,,Feeding,,synthetic,,,
She suckled the baby until he fell asleep at her breast.,suckle,,,,,Feeding,,synthetic,,,
The sow suckled her piglets in the warm pen.,suckle,,,,,Feeding,,synthetic,,,
"But hardly the only ones: The scams promise -- among other things -- to help save the environment, feed starving families and prevent the disappearance of children.",feed,20,1,feed.v.01;feed.v.02;feed.v.11,feeding-39.7,Feeding,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1572.sense,50,1,False
They are grateful because we are feeding and helping to train these people to take over the responsibility for their government /.,feed,6,1,feed.v.01;feed.v.02;feed.v.11,feeding-39.7,Feeding,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0003.sense,566,1,False
"Under the stars and moons of the renovated Indiana Roof ballroom, nine of the hottest chefs in town fed them Indiana duckling mousseline, lobster consomme, veal mignon and chocolate terrine with a raspberry sauce.",feed,19,1,feed.v.01;feed.v.02;feed.v.11,feeding-39.7,Feeding,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0010.sense,16,1,False
Park rangers warn visitors not to feed the bears.,feed,,,,,Feeding,,synthetic,,,
