sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"When he breaks the record for most wins, Patrick Roy will replace Detroit 's late Terry Sawchuk in the record books.",replace,12,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0015.sense,17,1,False
The Washington Post reported that unidentified senior administration officials were frustrated with Webster 's low - profile activities during the insurrection and wanted him replaced.,replace,24,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2278.sense,28,1,False
"If Gore wins, Lieberman would resign his Senate seat and almost certainly be replaced by a Republican, appointed by Connecticut 's Republican governor.",replace,14,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0024.sense,15,1,False
Le Fantome de la Liberte charges that society has substituted arbitrary willfulness for freedom.,substitute,9,1,substitute.v.01,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0014.sense,130,1,False
The newspaper Le Parisien reported angrily on the way on which these native Parisians were being driven out to be replaced by girls from sub-Saharan Africa run by gangs from Kosovo and Romania.,replace,20,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0012.sense,33,1,False
Chinese officials said armed police would replace soldiers in Tiananmen Square as part of a scaling down of Beijing 's five - month - old state of emergency.,replace,6,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0490.sense,25,1,False
American Physicians said it also replaced four Texas American representatives on Prime 's five - member board.,replace,5,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2409.sense,1,1,False
"So far, the president seems ill - disposed to substitute any of the omnibus for his own free - standing proposal to endow a ""Points of Light"" foundation with $ 25 million to inform citizens of all ages and exhort them to genuine volunteerism.",substitute,10,1,substitute.v.01,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2407.sense,42,1,False
"State monopolies will keep on stifling trade, ""free"" prices or not, until something else replaces them.",replace,18,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1146.sense,48,1,False
"What makes Yeh, having tasted the sweetness and sorrow of life in equal portions, able to switch roles with such aplomb?",switch,18,2,switch.v.02;switch.v.04,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1024.sense,6,1,False
"If the General Assembly approves the nomination, Mr. Lubbers will replace Sadako Ogata of Japan on January 1st.",replace,11,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0051.sense,2,1,False
Republicans outside the White House say that had pushed Mister Bush uh not to replace Karl Rove the chief uh political operator Deputy uh Chief of Staff but rather to bring in someone at the same level or above perhaps as minister without portfolio /.,replace,14,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0005.sense,473,1,False
"In preparation for the withdrawal, Moscow, Kabul and New Delhi signed two agreements for several hundred newly civilian Indian experts to replace some of the more visible Soviet military personnel.",replace,23,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2052.sense,31,1,False
"he will have to be replaced along with all the others, but it takes time for the FBI to check newcomers ' backgrounds, time for the Senate to approve the most important 600, so they can get to work in the top agency positions.",replace,5,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0035.sense,15,1,False
"Meanwhile, the man Mr. Krenz replaces has left an indelible mark on East German society.",replace,6,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/18/wsj_1875.sense,94,1,False
"Try as they might, the Communists could neither replace nor break him.",replace,9,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1146.sense,64,1,False
It is always the new rising powers with larger population that replace the former powers with smaller population.,replace,11,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0031.sense,3,1,False
"The age of "" large and capable "" governments has now passed, replaced by one of "" small and effective "" governments, which have established partnership relations with the people.",replace,13,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1026.sense,56,1,False
This work should be seen as an important event in the political system reform and the civil service system should be implemented by combining reform and the streamlining of agencies; a system of replacing old civil servants with new ones should be formed to allow young people to continuously enter into the contingent of civil servants.,replace,34,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0282.sense,7,1,False
They also support a tax credit for employers to offset the cost of hiring and training workers who temporarily replace employees on parental leave.,replace,19,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1270.sense,18,1,False
"Sean Patrick O'Malley, the bishop of Palm Beach, Florida, is expected to replace Cardinal Bernard Law.",replace,15,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0436.sense,1,1,False
Major regional and national chain stores are replaced by mom - and - pop operations offering poorer - quality merchandise at higher prices.,replace,7,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1436.sense,8,1,False
He replaces Jack McCaine who was fired after the Reds failed to make the post-season despite adding slugger Ken Greffy Junior to their lineup.,replace,1,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0085.sense,3,1,False
"Meanwhile, the man Vojislav Kostunica replaced, Slobodan Milosevic seems to be moving back onto the public stage.",replace,6,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0087.sense,0,1,False
"In a television interview, Kostunica declared he had replaced Milosevic as President.",replace,9,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0007.sense,3,1,False
"Then, I predict that the person who will replace Bolton wo n't be from the military or from the hard liners, especially with regard to the Iranian nuclear issue.",replace,9,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_a2e/00/p2.5_a2e_0013.sense,9,1,False
"But the beleaguered British advertising and consulting giant, which last week named a new chief executive officer to replace Maurice Saatchi, has been the subject of intense takeover speculation for weeks.",replace,19,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2331.sense,2,1,False
"The new economy is a weapon by which the US dominates the world, with "" the export of knowledge "" replacing the export of goods.",replace,21,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1042.sense,90,1,False
He 'll be replaced by Gerald Aftery.,replace,3,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0311.sense,9,1,False
While campaigning Hackett repeatedly criticized the leadership of the Republican party and argued that power brokers including Tom DeLay must be replaced /.,replace,21,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0004.sense,44,1,False
One Republican said Mister Bush should view it as replacing a top - notch pitcher struggling in the later innings of a baseball game rather than as a vote of no - confidence in a friend /.,replace,9,1,replace.v.01;replace.v.02;replace.v.03,substitute-13.6.2,Replacement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0005.sense,474,1,False
