sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
The First National Bank of America will totally compensate the three Chinese enterprises for 1.850 million US dollars.,compensate,8,2,compensate.v.02;compensate.v.05;compensate.v.06,equip-13.4.2,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0086.sense,2,1,False
There 's evidence Magedson extorts money from companies to clean up their image on his site.,extort,4,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4943.sense,0,1,False
SOKAIYA Japanese: A man with a few shares in several companies who extorts money by threatening to come to the shareholders ' meetings and cause trouble.,extort,13,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4941.sense,0,1,False
Going to court to try to extort some amount of money from the father would not be good for anybody.,extort,6,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4935.sense,0,1,False
"He might want your computer to join his army of bots, which will be used to attempt to extort money from a bank.",extort,19,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4928.sense,0,1,False
The WassermanJames DiModica venture was an on-going scheme to extort contractors.,extort,9,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4931.sense,0,1,False
"""It 's hard to deal with clients this way in a service business,"" says Ralph ""Bud"" Conner, owner of the agency, which was robbed of 180 blank tickets and $ 850 last month.",rob,30,2,rob.v.01,rob-10.6.4,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0730.sense,15,1,False
Officials from the Chinese embassy in Uganda confirmed on the 18th that a Chinese citizen doing business in Uganda was robbed by a group of gunmen on the evening of the 16th and was unfortunately shot to death.,rob,20,2,rob.v.01,rob-10.6.4,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0080.sense,0,1,False
The survey found that over a three - year period 22 % of the firms said employees or owners had been robbed on their way to or from work or while on the job.,rob,21,2,rob.v.01,rob-10.6.4,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1450.sense,20,1,False
"""Evidently, somebody has realized it 's easy money to steal these things,"" says Loran Whitelock, a research associate specializing in cycads at the Los Angeles State and County Arboretum.",steal,11,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1379.sense,7,1,False
"2- stealing a cell phone in the Mecca Markets,",steal,1,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0005.sense,61,1,False
"He takes his wash to the laundromat, where he meets a punky French girl who dupes him into providing a home for her pet piranha and then promptly steals his car and dumps it in Dieppe.",steal,29,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2402.sense,33,1,False
"10- stealing the tires of one of the neighbors,",steal,1,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0005.sense,69,1,False
"Colorado woman wants to thank and reward the person who found her $ 7,000 ring she lost at the beach.",reward,6,1,reward.v.01;reward.v.02;reward.v.03,equip-13.4.2,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0323.sense,0,1,False
"Colonel Taufiq Tarawi, a director of Palestinian intelligence was briefly detained by Israeli soldiers at a West Bank roadblock, where they confiscated an Israeli permit that grants him free movement in and out of the area.",confiscate,23,1,confiscate.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0138.sense,4,1,False
"Colonel Taffiq Terrawi, a director of Palestinian intelligence, was briefly detained by Israeli soldiers at a West Bank road block, where they confiscated an Israeli permit that grants him free movement in and out of the area.",confiscate,25,1,confiscate.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0139.sense,2,1,False
"I wonder about that myself, but I have to say that when I was 30, I was n't plying 15 year old girls with booze & copping feels.",ply,20,1,ply.v.01,equip-13.4.2,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0009.sense,145,1,False
"Following the acquisition of R.P. Scherer by a buy - out group led by Shearson Lehman Hutton earlier this year, the maker of gelatin capsules decided to divest itself of certain of its non-encapsulating businesses.",divest,28,2,divest.v.03,deprive-10.6.2,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0025.sense,1,1,False
"The heat energy plus the energy consumed by the breakup of the water molecules added to far more energy coming out of the apparatus than electrical energy going in, they reported.",consume,6,2,consume.v.03;consume.v.05,consume-66,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1550.sense,15,1,False
Foreign - funded processing export consumes domestic electricity and water resources substantially.,consume,5,2,consume.v.03;consume.v.05,consume-66,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0022.sense,45,1,False
A lot of people had to borrow money just to pay their taxes.,borrow,6,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1021.sense,39,1,False
But the percentage of your cash reserve that you can borrow tax - free is very small.,borrow,10,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1574.sense,50,1,False
"The theory: Such individuals, many with young children, are in their prime borrowing years -- and, having borrowed from the bank, they may continue to use it for other services in later years.",borrow,15,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0085.sense,16,1,False
The law does allow the RTC to borrow from the Treasury up to $ 5 billion at any time.,borrow,7,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2200.sense,14,1,False
