sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"He takes his wash to the laundromat, where he meets a punky French girl who dupes him into providing a home for her pet piranha and then promptly steals his car and dumps it in Dieppe.",steal,29,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2402.sense,33,1,False
Someone stole the bicycle from the rack.,steal,1,,,,Transfer_of_Possession,synthetic,,,,False
The books were stolen from a warehouse.,steal,3,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0407.sense,11,1,False
"Eh, in the past they pried and stole license plates from outside the barracks, but later it developed to a stage where they illegally climbed, climbed over the walls and entered the camps, camps, in order to steal the license plates.",steal,42,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0034.sense,5,1,False
Armed men robbed the convenience store at midnight.,rob,2,,,,Transfer_of_Possession,synthetic,,,,False
Seventeen percent reported their customers being robbed.,rob,6,2,rob.v.01,cheat-10.6.1,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1450.sense,21,1,False
He robbed and murdered and was convicted of his crimes in nineteen eighty - one /.,rob,1,2,rob.v.01,steal-10.5,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,408,1,False
The survey found that over a three - year period 22 % of the firms said employees or owners had been robbed on their way to or from work or while on the job.,rob,21,2,rob.v.01,rob-10.6.4,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1450.sense,20,1,False
"""It 's hard to deal with clients this way in a service business,"" says Ralph ""Bud"" Conner, owner of the agency, which was robbed of 180 blank tickets and $ 850 last month.",rob,30,2,rob.v.01,rob-10.6.4,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0730.sense,15,1,False
The soldiers robbed the farmhouse of its stores.,rob,2,,,,Transfer_of_Possession,synthetic,,,,False
"To quote the highly regarded director of a privately funded drop - in center for the homeless in New York: ""If you 're homeless, you do n't sleep for fear of being robbed or murdered.",rob,35,2,rob.v.01,rob-10.6.4,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0105.sense,18,1,False
"He might want your computer to join his army of bots, which will be used to attempt to extort money from a bank.",extort,19,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4928.sense,0,1,False
SOKAIYA Japanese: A man with a few shares in several companies who extorts money by threatening to come to the shareholders ' meetings and cause trouble.,extort,13,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4941.sense,0,1,False
There 's evidence Magedson extorts money from companies to clean up their image on his site.,extort,4,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4943.sense,0,1,False
The WassermanJames DiModica venture was an on-going scheme to extort contractors.,extort,9,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4931.sense,0,1,False
Officials extorted bribes from the contractors.,extort,1,,,,Transfer_of_Possession,synthetic,,,,False
"More than 300 planes and helicopters have been impounded at airports, and a large number of vehicles and launches has been confiscated.",confiscate,22,1,confiscate.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0764.sense,22,1,False
"Colonel Taufiq Tarawi, a director of Palestinian intelligence was briefly detained by Israeli soldiers at a West Bank roadblock, where they confiscated an Israeli permit that grants him free movement in and out of the area.",confiscate,23,1,confiscate.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0138.sense,4,1,False
Soldiers confiscated the livestock from the village.,confiscate,1,,,,Transfer_of_Possession,synthetic,,,,False
Customs confiscated the contraband at the border.,confiscate,1,,,,Transfer_of_Possession,synthetic,,,,False
"Colonel Taffiq Terrawi, a director of Palestinian intelligence, was briefly detained by Israeli soldiers at a West Bank road block, where they confiscated an Israeli permit that grants him free movement in and out of the area.",confiscate,25,1,confiscate.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0139.sense,2,1,False
The bank repossessed the car after three missed payments.,repossess,2,,,,Transfer_of_Possession,synthetic,,,,False
"We also know that the tort system is a lousy way to compensate victims anyway; some win the legal lottery, others get much less and contingency - fee lawyers take a big cut either way.",compensate,12,2,compensate.v.02;compensate.v.05;compensate.v.06,equip-13.4.2,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0130.sense,26,1,False
The insurer compensated the homeowner for the flood damage.,compensate,2,,,,Transfer_of_Possession,synthetic,,,,False
The First National Bank of America will totally compensate the three Chinese enterprises for 1.850 million US dollars.,compensate,8,2,compensate.v.02;compensate.v.05;compensate.v.06,equip-13.4.2,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0086.sense,2,1,False
The court ordered the defendants to compensate the plaintiffs.,compensate,6,,,,Transfer_of_Possession,synthetic,,,,False
"Colorado woman wants to thank and reward the person who found her $ 7,000 ring she lost at the beach.",reward,6,1,reward.v.01;reward.v.02;reward.v.03,equip-13.4.2,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0323.sense,0,1,False
