sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Truth is a torch that gleams through the fog without dispelling it.,gleam,5,1,gleam.v.01;gleam.v.02,light_emission-43.1,Emission,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/56/sel_5618.sense,0,1,False
"Cannon and gunfire rang out on that cold rainy night, while tears flowed and fireworks exploded.",ring,3,1,ring.v.01;ring.v.02;ring.v.03,sound_emission-43.2,Emission,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1007.sense,101,1,False
"I started to jiggle the wires going into a grey harness and the lights flickered, so it must be that.",flicker,14,1,,light_emission-43.1,Emission,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/52/sel_5258.sense,0,1,False
"Prior to his term, a teacher bled to death in the halls, stabbed by a student.",bleed,7,1,bleed.v.01,substance_emission-43.4,Emission,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0044.sense,52,1,False
"It flickers now and again no reason why that I know, its just irratating as its not on or off, you just catch it in the corner of you eye & quot; jmc & quot; & lt; NOnewsgroupsS...",flicker,1,1,,light_emission-43.1,Emission,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/52/sel_5253.sense,0,1,False
"It shone by day in the heavens alone, brighter than Venus in the night, and by night it shone over delta in Cassiopeia, the recumbent constellation which is the signature of his initial among the stars.",shine,20,1,shine.v.02;shine.v.08,light_emission-43.1,Emission,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/30/sel_3058.sense,0,1,False
"Still bleeding, he ran downstairs and scooped up the baby and took the baby to the hospital.",bleed,1,1,bleed.v.01,substance_emission-43.4,Emission,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0242.sense,22,1,False
He was probably unable to breathe accoding to his parents and experts who have talked to him for about twenty minutes /.,breathe,5,1,breathe.v.01;breathe.v.02,breathe-40.1.2,Emission,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0002.sense,214,1,False
"Modern CFLs, with their electronic ballasts, do not flicker.",flicker,10,1,,light_emission-43.1,Emission,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/52/sel_5257.sense,0,1,False
"Fed by this offering, the fire in the Dhuni began to burn brighter and Baba shone still brighter.",shine,16,1,shine.v.02;shine.v.08,light_emission-43.1,Emission,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/30/sel_3094.sense,0,1,False
