sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"We sincerely hope that these friends will amend this aspect quickly, and hope future works will show both superior capability in calligraphy, and convey healthy and deep thoughts, and even reveal a clear, meaningful and elegant mind.",hope,13,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0206.sense,15,1,False
"Every workday at 11 a.m., 40 - year - old Mike Sinyard dons cycling clothes, hops on a bike he keeps at his Morgan Hill, Calif., office and sets out to cover a distance most people would travel only by car.",hope,17,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/03/wsj_0367.sense,0,1,False
"The administration, hoping to de-escalate the violence, is appealing to both sides.",hope,3,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0007.sense,12,1,False
"Mr. Bendrel says he hopes to begin the talks next week, probably by shuttling between the two delegations at first.",hope,4,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0084.sense,2,1,False
"We hope that audiences will take to the road with us. """,hope,1,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1077.sense,120,1,False
Coors is hoping to become one of the first companies to distribute bottled water nationwide.,hope,2,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/09/wsj_0941.sense,2,1,False
"Donald Iverson, chairman, says he hopes the company can eventually get up to half of its revenue from commercial markets.",hope,7,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0799.sense,25,1,False
"Similarly, a Purdue University team led by heart researcher W.A. Tacker hopes to develop ways to magnetically induce cardiac muscle contractions.",hope,12,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/02/wsj_0297.sense,36,1,False
"An academician of the Chinese Academy of Science and traditional medicine consultant to the WHO, Keji Chen, etc. and expert professors attending the seminar believe that the birth of "" Tang Maikang "" is a good thing, and at the same time hope the researchers make further observations on insulin and changes in blood flow and perform in - depth research on the effective content and mechanism of "" Tang Maikang "" to ensure its invincible position in the world and in competition with the developed countries.",hope,45,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0057.sense,12,1,False
"Deby hoped that France will give Chad "" full support "".",hope,1,1,hope.v.01;hope.v.02;hope.v.03,long-32.2,Intention,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0173.sense,2,1,False
