sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Let's charter a car.,charter,2,,,,Buying,,ontonotes,,,False
"Others, like broker John Mitchell, hawked a humidor bearing Madoff's name.",hawk,,,,,Selling,,ontonotes,,,
SOKAIYA Japanese: A man with a few shares in several companies who extorts money by threatening to come to the shareholders ' meetings and cause trouble.,extort,13,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4941.sense,0,1,False
"Also for sale are Buckingham Wile Co., which distributes Cutty Sark blended whiskey in the U.S., and Whitbread 's Atlas Peak Vineyards in California 's Napa Valley.",distribute,9,1,distribute.v.01;distribute.v.04,contribute-13.2,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/18/wsj_1804.sense,4,1,False
I own twelve oxen.,own,,,,,Possession,,verbnet (own-100.1),,,
"He still owns land by Mrs Baldwin 's former home and will use the bequest to turn it into a nature reserve, as they had discussed.",own,2,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/12/sel_1244.sense,0,1,False
"The Mubrid Company is a company that owns the biggest land transport fleet in the Middle East, because the Kingdom of Saudi Arabia is considered one of the biggest exporting and importing countries in the world.",own,7,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0024.sense,6,1,False
"While Seita does n't own the French tabacs, its close alliance with them offers distribution possibilities.",own,4,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1422.sense,7,1,False
"Thus he had to specify in his present statement, in addition to the names of the companies, the percentage he owns in each company ( more than 5 % in Samba, more than 10 % in Manufacturing, more than 13 % in Safola, more than 25 % in Research,... etc. )",own,22,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0024.sense,141,1,False
"Many analysts expect Mr. Andersson, who owns 1.7 % of the company, to be named Trelleborg 's new chairman when Ernst Herslow steps down next year.",own,7,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1515.sense,26,1,False
"SHV, of the Netherlands, which last year merged its North Sea oil and gas operations with those of Calor Group PLC and which owns 40 % of Calor, was identified as a possible suitor for Burmah.",own,25,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1475.sense,2,1,False
"The trust, which owns 80 % of Manville 's stock on a fully diluted basis, is a separate legal entity that is settling claims with asbestos victims.",own,4,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1328.sense,4,1,False
So either the user must own all directories below the jail including the jail or others need read permissions to the same directories?!,own,5,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/12/sel_1209.sense,0,1,False
"I own "" James C Cracked is God!!! "":",own,1,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/12/sel_1210.sense,0,1,False
"Nelson Bunker Hunt is considering it, although his attorney says he wo n't do it if the proposal jeopardizes a tentative settlement he has reached with the Internal Revenue Service, which claims the brothers owe $ 1 billion in back taxes and is by far the biggest creditor in both cases.",owe,36,1,owe.v.01;owe.v.03,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1611.sense,5,1,False
He charged them $30 for the rental.,charge,,,,,Charge,,ontonotes (charge-v sense 1),,,
He charged me 500 pounds for the car.,charge,,,,,Charge,,"Kalm 2022, p. 152ff",,,
Will I get charged for a second cup of coffee?,charge,,,,,Charge,,ontonotes (charge-v sense 1),,,
I'll charge this to my Visa.,charge,,,,,Charge,,ontonotes (charge-v sense 1),,,
She charges $90 for an office visit.,charge,,,,,Charge,,ontonotes (charge-v sense 1),,,
He booked a flight to Chicago.,book,1,,,,Buying,,ontonotes,,,False
Seats and meals must be booked directly from Vintage Trains.,book,5,,,,Buying,,ontonotes,,,False
"And when the railways were finally taken out of service, the Taiwan Forestry Bureau ( TFB ) sold off the old sleepers, and from the proceeds not only was able to recoup the cost of dismantling the railways, but was also left with a tidy sum for its own coffers.",sell,18,5,sell.v.01,give-13.1,Selling,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1070.sense,74,2,True
"Robin sold a car to Abby for $5,000.",sell,,,,,Selling,,framenet (Commerce_sell),,,
"Currently, the fiber optic connectors being produced by TMT sell for US$ 7 a piece.",sell,10,1,sell.v.01;sell.v.02;sell.v.04;sell.v.07,give-13.1,Selling,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1054.sense,87,2,True
Both the cases and the machines to make them sold well all over Taiwan.,sell,9,1,sell.v.01;sell.v.02;sell.v.04;sell.v.07,give-13.1,Selling,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1054.sense,37,2,True
They are selling oil illegally.,sell,,,,,Selling,,ontonotes,,,
"Priceline.com, the first American company to sell airline tickets directly over the Internet, surpassed the combined market capitalization of the three largest US airlines ( United, American and Delta ) after only two years of operations.",sell,7,1,sell.v.01;sell.v.02;sell.v.04;sell.v.07,give-13.1,Selling,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1035.sense,80,2,True
Lee sold a textbook to Abby.,sell,,,,,Selling,,framenet (Commerce_sell),,,
Movies usually help to sell the video games that are based on them.,sell,,,,,Selling,,ontonotes,,,
They sold off their property before they moved.,sell,,,,,Selling,,ontonotes,,,
"But this year, our paper was sold to a land developer.",sell,,,,,Selling,,COCA via Croft et al 2021,,,
His uncle sells produce.,sell,,,,,Selling,,ontonotes,,,
She didn't want to sell shoes the rest of her life.,sell,,,,,Selling,,ontonotes,,,
Harry Potter books have been selling like hotcakes.,sell,,,,,Selling,,ontonotes,,,
"The Japanese management guru Matsushita Konosuke has said, "" Do n't sell customers things they find attractive, sell them things they find useful. """,sell,12,1,sell.v.01;sell.v.02;sell.v.04;sell.v.07,give-13.1,Selling,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1035.sense,43,2,True
"Mr. Hoelzer, however, sued Stamford, claiming that the city had abandoned the artwork and that it had waited too long to reclaim it.",reclaim,24,1,reclaim.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1686.sense,7,1,False
"First, they have to remember the passenger 's order and seat number, collect the money ( and check for counterfeits ). Then heat the meal, deliver the meal... there 's more than just one type of meal, and the preparation is n't always simple.",collect,14,2,collect.v.02,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0031.sense,27,1,False
"All told, the federal government already guarantees more than $ 900 billion of mortgages.",guarantee,7,1,guarantee.v.01;guarantee.v.03;guarantee.v.04,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2227.sense,21,1,False
"""Evidently, somebody has realized it 's easy money to steal these things,"" says Loran Whitelock, a research associate specializing in cycads at the Los Angeles State and County Arboretum.",steal,11,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1379.sense,7,1,False
"2- stealing a cell phone in the Mecca Markets,",steal,1,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0005.sense,61,1,False
"He takes his wash to the laundromat, where he meets a punky French girl who dupes him into providing a home for her pet piranha and then promptly steals his car and dumps it in Dieppe.",steal,29,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2402.sense,33,1,False
"10- stealing the tires of one of the neighbors,",steal,1,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0005.sense,69,1,False
"In order to promote the development of the Tumen River region, South Korea donated one million US dollars to establish the Tumen River development fund.",donate,14,1,donate.v.01,contribute-13.2,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0049.sense,20,1,False
"Citicorp issued $ 200 million of seven - year notes priced to yield 8.82 %, and Xerox priced $ 150 million of six - year notes to yield 8.85 %.",issue,1,1,issue.v.01;issue.v.02;issue.v.03;issue.v.05,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1213.sense,56,1,False
"Because the CD had an effective yield of 13.4 % when it was issued in 1984, and interest rates in general had declined sharply since then, part of the price Dr. Blumenfeld paid was a premium -- an additional amount on top of the CD 's base value plus accrued interest that represented the CD 's increased market value.",issue,13,1,issue.v.01;issue.v.02;issue.v.03;issue.v.05,future_having-13.3,Future Having,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1273.sense,11,1,False
"Germania, a charter airline, ordered three 737-300s, doubling its fleet.",order,5,,,,Buying,,ontonotes,,,False
I just ordered pizza from panhandle pizza.,order,2,,,,Buying,,ontonotes,,,False
You can order flowers online 24 hours a day.,order,2,,,,Buying,,ontonotes,,,False
"He says: "" If I had used my allowance every year from the time I was small to invest in a fund, at the rate of NT$ 30,000 per year, after 20 years, there would be quite a lot of money right now. """,use,7,3,use.v.03,consume-66,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1028.sense,21,1,False
British police are puzzling over an item of stolen property which has just been recovered.,recover,14,1,recover.v.01;recover.v.04,obtain-13.5.2,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0027.sense,2,1,False
"Conventional insurance lines such as transportation insurance, property insurance, automobile insurance, etc. are specially offered to foreign funded enterprises such as the Zhengda Company and the Huaxing Aluminum Firm, etc. and new types of insurance such as employer liability insurance, investment insurance, and profit - loss insurance, etc. are also offered at the appropriate time, satisfying the investment needs of foreign businessmen, bringing the insurance rate of the foreign business invested enterprises to more than 90 percent.",offer,17,1,offer.v.01;offer.v.02;offer.v.04;offer.v.06;offer.v.07;offer.v.11;offer.v.12,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0009.sense,6,1,False
"The cafeteria offered donated croissants and brie for breakfast, and for dinner, pasta salad and chocolate mousse torts along with the salmon.",offer,2,1,offer.v.01;offer.v.02;offer.v.04;offer.v.06;offer.v.07;offer.v.11;offer.v.12,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1435.sense,13,1,False
"Additionally, the company said it filed with the Securities and Exchange Commission for the proposed offering of 10 million shares of common stock, expected to be offered in November.",offer,28,1,offer.v.01;offer.v.02;offer.v.04;offer.v.06;offer.v.07;offer.v.11;offer.v.12,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2340.sense,6,1,False
"If we want to support students, we might adopt the idea used in other countries of offering more scholarships based on something called ""scholarship,"" rather than on the government 's idea of ""service.""",offer,17,1,offer.v.01;offer.v.02;offer.v.04;offer.v.06;offer.v.07;offer.v.11;offer.v.12,future_having-13.3,Future Having,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2407.sense,34,1,False
"Tenders for the bills, available in minimum $ 10,000 denominations, must be received by 1 p.m. EST Monday at the Treasury or at Federal Reserve banks or branches.",receive,14,1,receive.v.01;receive.v.02;receive.v.03;receive.v.04;receive.v.08;receive.v.09;receive.v.11;receive.v.12,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1198.sense,2,1,False
"Within a matter of weeks, less - conservative magazines reported that members of the ruling LDP had received much larger donations from pachinko organizations.",receive,18,1,receive.v.01;receive.v.02;receive.v.03;receive.v.04;receive.v.08;receive.v.09;receive.v.11;receive.v.12,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1387.sense,29,1,False
"Most of my audio equipment, I purchased from a department store near my apartment.",purchase,,,,,Buying,,framenet,,,
I purchased the calculator for easier calculation of my debts.,purchase,,,,,Buying,,framenet,,,
Will they allow you to purchase by check?,purchase,,,,,Buying,,framenet,,,
"We also know that the tort system is a lousy way to compensate victims anyway; some win the legal lottery, others get much less and contingency - fee lawyers take a big cut either way.",compensate,12,2,compensate.v.02;compensate.v.05;compensate.v.06,equip-13.4.2,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0130.sense,26,1,False
He robbed and murdered and was convicted of his crimes in nineteen eighty - one /.,rob,1,2,rob.v.01,steal-10.5,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,408,1,False
"To quote the highly regarded director of a privately funded drop - in center for the homeless in New York: ""If you 're homeless, you do n't sleep for fear of being robbed or murdered.",rob,35,2,rob.v.01,rob-10.6.4,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0105.sense,18,1,False
A witness says Williams robbed and executed a Seven Eleven employee then made fun of the man as he died /.,rob,4,2,rob.v.01,cheat-10.6.1,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,421,1,False
The law does allow the RTC to borrow from the Treasury up to $ 5 billion at any time.,borrow,7,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2200.sense,14,1,False
"The theory: Such individuals, many with young children, are in their prime borrowing years -- and, having borrowed from the bank, they may continue to use it for other services in later years.",borrow,15,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0085.sense,16,1,False
But the percentage of your cash reserve that you can borrow tax - free is very small.,borrow,10,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1574.sense,50,1,False
A lot of people had to borrow money just to pay their taxes.,borrow,6,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1021.sense,39,1,False
I just bought the cutest little pumpkin yesterday.,buy,,,,,Buying,,COCA via Croft et al 2021,,,
The family bought a new car.,buy,,,,,Buying,,ontonotes,,,
You bought me three pairs already!,buy,,,,,Buying,,framenet,,,
"According to his official biography, he bought his first bison in 1976.",buy,,,,,Buying,,ontonotes,,,
Should I fire him because he bought his degree from the internet instead of attending a regular university?,buy,,,,,Buying,,ontonotes,,,
I bought an angle grinder for 25 bucks.,buy,,,,,Buying,,COCA via Croft et al 2021,,,
"The heat energy plus the energy consumed by the breakup of the water molecules added to far more energy coming out of the apparatus than electrical energy going in, they reported.",consume,6,2,consume.v.03;consume.v.05,consume-66,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1550.sense,15,1,False
