sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"that and no more than a minute later, as i attempted to slither between two of those big open stake trucks they use to haul live cattle, there was yet another mighty blast of lightning close by.",use,23,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,166,1,False
President Bush and Secretary Rice have been working the phones with uh their counterparts /.,work,7,6,work.v.16;work.v.17,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0007.sense,34,1,False
The oil company claims that it had permission from the U.S. Environmental Protection Agency prior to the spill to use dispersant during such an incident at the discretion of the U.S. Coast Guard.,use,19,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1347.sense,14,1,False
"Therefore, I practically do n't buy any makeups and never use blush or eyeshadow, apart from buying some lightening makeup base for use as sun screen.",use,11,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0001.sense,20,1,False
"There was braised pork in soy sauce; there were heavily patched pajamas, and this radio that martyr Mao Anying often used during his lifetime...",use,22,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0024.sense,8,1,False
"Also such location devices, some ships have smoke floats they can toss out so the man overboard will be able to use smoke signals as a way of trying to find or locate, let the rescuer locate them.",use,22,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0360.sense,16,1,False
"Officials in East Berlin, responding to complaints from opposition groups, admitted police used excessive force in dispersing protesters this month.",use,14,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1216.sense,5,1,False
""" Now mainland Chinese travel agencies have started copying the way we use the carts, "" says Chang, laughing.",use,12,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1009.sense,142,1,False
Merrill Lynch & Co. and Shearson Lehman Hutton Inc. say they use voice - activated systems to record and verify orders between salesmen and traders.,use,11,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1058.sense,17,1,False
"Finally he used a three - dimensional model to create a regularly graded, finely differentiated color reference system covering 20,000 colors, each with clear "" color coordinates. """,use,2,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1003.sense,134,1,False
"Concerned about shrinking landfills and the safety of chemicals used in super-absorbent disposables, parents are returning to the cloth diaper.",use,9,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0120.sense,38,1,False
"You used the washbasin to wash your feet, used the washbasin to hold your meal, used the washbasin to wash your face, and sometimes used the same washbasin to boil water.",use,17,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0001.sense,189,1,False
"It is estimated that before the high tide on August 3rd of the lunar calendar, the vast majority of the city 's water damaged dike can hopefully, using earth building methods, receive emergency repairs.",use,29,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0221.sense,7,1,False
The evidence is accumulating that Iraq may be planning to use chemical weapons.,use,10,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0255.sense,6,1,False
Security officials also linked documents found in the vehicle believed to be used by the attackers to the region.,use,12,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0028.sense,9,1,False
"U.S. officials report the suspect is providing explicit details how the attack was planned for more than a year then executed with deadly precision, how one safe house and the suicide boat used in the attack were acquired months before the attack, that two other suspects, an explosives expert believed to be Iraqi, and another perhaps a Saudi, supervised the operation then left Aden before the bombing.",use,33,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0025.sense,5,1,False
The human tradition of eating snakes and using snakes for medicinal purposes goes back a long way.,use,7,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1066.sense,26,1,False
The man who opened the door for American warships to use the port of Aden made no apologies today.,use,10,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0016.sense,4,1,False
Egypt did not use poison gas against Yemen in the 60's because of Israel.,use,3,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0000.sense,22,1,False
"When stamps have risen in value to a certain degree, even if you ask someone to, he wo n't use stamps that are worth more than their face value as postage.",use,21,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0043.sense,72,1,False
"A friend even suggests that her during her much earlier ' Rythm Nation ' period, in which she dons a black uniform and uses strange, synchopated hand movements in her video dance routine, that that too, is a kind of twilight language, intended on sending a specific message, in order to have a desired effect.",use,24,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0009.sense,233,1,False
Our grandmothers ' generation uses it to wash their hair and faces.,use,4,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0051.sense,1,1,False
"Currently, this type of medicine has been produced in quantity and is widely used in clinicals.",use,14,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0224.sense,6,1,False
"288, for those of us that actually use it, is wonderful - instead of Powhatan and Western Chesterfield being bottlenecked by lack of roads,",use,8,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0003.sense,83,1,False
"Fourthly, to improve cotton supply methods, and to allow prices to fluctuate 6 %, and for exporting products using Xinjiang cotton to replace imported cotton, a zero tax rate will be implemented.",use,21,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0142.sense,22,1,False
"When he travels to the mainland he takes his Macau Resident 's Permit, but when he comes back to Taiwan he uses his ROC passport.",use,22,1,use.v.01;use.v.04;use.v.05,use-105.1,Manipulation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1001.sense,101,1,False
I used the shovel.,use,,,,,Manipulation,,"Croft et al 2021, p. 92f",,,
He drove the car.,drive,,,,,Manipulation,,"Croft et al 2021, p. 92f",,,
I used the shovel well.,use,,,,,Manipulation,,"Croft et al 2021, p. 92f",,,
I used the shovel for digging.,use,,,,,Manipulation,,"Croft et al 2021, p. 92f",,,
I used the cupboard to store food.,use,,,,,Manipulation,,"Croft et al 2021, p. 92f",,,
Don't use a natural bristle brush with latex paint.,use,,,,,Manipulation,,framenet (Using),,,
"For cold conditions, we recommend that you use a heat gun or a hair dryer to make the adhesive work better.",use,,,,,Manipulation,,framenet (Using),,,
Mirabella shared the mischievous vision of childlike exuberance and used the chair as a pseudo jungle gym.,use,,,,,Manipulation,,framenet (Using),,,
I went and used that ball yesterday and I bowled 5 games.,use,,,,,Manipulation,,framenet (Using),,,
"In the 1950s, the titanium metal industry was established primarily in response to the emerging aerospace industry which used it in the manufacture of airframe.",use,,,,,Manipulation,,framenet (Using),,,
"It has been used successfully in physician offices, schools, and in sensory function laboratories for over 35 years.",use,,,,,Manipulation,,framenet (Using),,,
She worked her daughter.,work,1,,,,Manipulation,synthetic,,,,False
He worked the documents.,work,1,,,,Manipulation,synthetic,,,,False
The workers worked the injured man.,work,2,,,,Manipulation,synthetic,,,,False
The crew worked the tools.,work,2,,,,Manipulation,synthetic,,,,False
The team worked the cargo.,work,2,,,,Manipulation,synthetic,,,,False
She drove the old books.,drive,1,,,,Manipulation,synthetic,,,,False
He drove the tools.,drive,1,,,,Manipulation,synthetic,,,,False
The workers drove the witness.,drive,2,,,,Manipulation,synthetic,,,,False
The crew drove the cargo.,drive,2,,,,Manipulation,synthetic,,,,False
The team drove the injured man.,drive,2,,,,Manipulation,synthetic,,,,False
The nurse worked the package.,work,2,,,,Manipulation,synthetic,,,,False
The nurse drove the paintings.,drive,2,,,,Manipulation,synthetic,,,,False
She used the wrench to loosen the bolt.,use,1,,,,Manipulation,synthetic,,,,False
