sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"""If it causes management to take their eye off the ball, inventory shrinkage is going to be affected,"" says Lewis Shealy, vice president for loss prevention at Marshall Field 's, the department store chain.",cause,3,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/17/wsj_1790.sense,28,1,False
"According to investigations, in the next five years, Zhejiang will vigorously implement the ' dragon 's head ' program for exporting commodities, start up its foreign trade development funds, cause the growth pattern of foreign exports to change from an extensive, quantitative model to an intensive, results - oriented model, and form new growth advantages for foreign trade exports.",cause,33,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0022.sense,7,1,False
"After the legislature confirmed him as the Communist Party leader, Krenz said demonstrations to demand democratic freedoms could cause a ""worsening of the situation, or confrontation.""",cause,19,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1216.sense,1,1,False
"Hence, the trade situation last year has caused extreme concern among people from economic circles, who even predicted that in 1998, foreign trade deficit would revive.",cause,8,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0139.sense,20,1,False
"The officials said that reports from the scene, including one from an Army officer working in Aden Harbor, suggested that a small rubber craft that was helping the Cole dock came alongside the destroyer and caused the blast.",cause,37,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0019.sense,8,1,False
"The daughter - in - law, played by Chang Yu - yen, is mistreated by her mother - in - law, and, with outsiders butting in and causing trouble, she gets abused from beginning to end.",cause,31,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1006.sense,75,1,False
"The violent temblor, which lasted about 15 seconds and registered 6.9 on the Richter scale, also caused the collapse of a 30 - foot section of the San Francisco - Oakland Bay Bridge and shook Candlestick Park.",cause,18,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2102.sense,1,1,False
"""To the professionals in the trade it did n't cause much surprise.",cause,10,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2045.sense,40,1,False
"But practices that go mostly unnoticed in New Orleans are causing a stir because 70 miles down the road in a conservative bayou town, a home to more than 100 churches and a coven of witches.",cause,10,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0028.sense,6,1,False
"One analyst, Peter Cardillo of Josephthal & Co., New York, said the gold market already had some good price - supporting technical factors that would have caused prices to rise, with or without the stock market.",cause,29,1,cause.v.01;cause.v.02,engender-27.1,Cause and Effect,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2265.sense,22,1,False
