sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"When American saxophonist David Murray recorded his acclaimed afrocentric jazz album, Fo Juke Review in Dakar, he recruited Amidu Berry and DJ Awadi from PBS to show what an edge West African music can really have.",recruit,19,1,recruit.v.01;recruit.v.02,orphan-29.7,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0049.sense,15,1,False
"The New Party itself, which is on the edge of collapse, has nominated the renowned author Li Ao as its candidate, though Li is not a party member.",nominate,14,1,nominate.v.01;nominate.v.02;nominate.v.03;nominate.v.04,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1014.sense,32,1,False
Lien is seen as Lee Teng - hui 's designated successor.,designate,9,1,designate.v.01;designate.v.03,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1014.sense,99,1,False
"He said there had been a number of successive retirements amongst older team members, and some leading team members were away playing football abroad, so the national team needed to recruit more new team members.",recruit,32,1,recruit.v.01;recruit.v.02,orphan-29.7,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/03/chtb_0307.sense,2,1,False
"Customarily, it would appoint career civil servants from within the agency, but Mr. Goldberg said he plans to ""scour the world"" for the chief information officer and the comptroller.",appoint,4,1,appoint.v.01;appoint.v.02,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2012.sense,12,1,False
He orders Shiite ministers to resign in order to topple the government and threatens to appoint a new government as if he were the one ruler of Lebanon.,appoint,15,1,appoint.v.01;appoint.v.02,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0051.sense,9,1,False
"However, said Hsu, since the government has not necessarily built up a consensus in support of its stance against nuclear power, another option might be to have the premier resign, disband the legislature, and elect a new legislature so that the public can express its will regarding the issue.",elect,39,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1061.sense,34,1,False
"In November, 1987, at the 13th Plenary Session of the 1st Central Committee of the Chinese Communist Party, he was elected to be a member of the Central Politburo.",elect,23,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0208.sense,14,1,False
"Ashcroft lost to the first dead man ever elected to the Senate, former Governor Mel Carnahan, who perished in a plane crash and whose wife will be appointed to his seat.",appoint,29,1,appoint.v.01;appoint.v.02,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0024.sense,11,1,False
"In order to strengthen exchange with publishing circles from various countries and to promote international copyright trade, this fair has also established a copyright trade project, appointing specialized staff to provide various kinds of smooth conditions for copyright trade.",appoint,28,1,appoint.v.01;appoint.v.02,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0247.sense,4,1,False
"Tom, making it abundantly clear that the Clinton / Gore scandals of the past eight years will be a major theme in the closing days of this campaign, Bush attacks the Vice President for being a failed leader and promises if he 's elected Americans will once again be able to respect their government.",elect,45,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0016.sense,34,1,False
"Manhattan National Corp. said Michael A. Conway, president and chief executive officer, was elected chief executive of the holding company 's two principal insurance subsidiaries.",elect,15,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1537.sense,0,1,False
And it can be compensated for by a government he appoints with the power of the people.,appoint,10,1,appoint.v.01;appoint.v.02,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_a2e/00/p2.5_a2e_0006.sense,17,1,False
"A panel appointed by Secretary of Defense William Cohen after the suicide bombing on the US destroyer Cole, reportedly found security lapses for ships and aircraft moving throughout the region.",appoint,2,1,appoint.v.01;appoint.v.02,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/02/voa_0208.sense,1,1,False
This symposium was convened by the Nanjing Military District which was appointed by the Main Political Department of the PLA.,appoint,11,1,appoint.v.01;appoint.v.02,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0190.sense,6,1,False
"Hours after the announcement, representatives of the Orange County Register were in a bar across the street recruiting.",recruit,18,1,recruit.v.01;recruit.v.02,orphan-29.7,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0114.sense,30,1,False
