sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
but I was told by folks who know better than me that the cost of upgrading or adding to the existing tracks ( bringing coal to the NN port ) and running pokey old Amtrak would take a lot of lot of lot money.,take,36,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0006.sense,50,1,False
"Sales totaled 1.916 trillion yen, climbing 17 % from 1.637 trillion yen in the year - earlier period.",total,1,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0164.sense,3,1,False
wrote: A new main relay should cost a bit less than that.,cost,7,1,cost.v.01;cost.v.02,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/04/sel_0411.sense,0,1,False
"Large cross-border deals numbered 51 and totaled $ 17.1 billion in the second quarter, the firm added.",total,6,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0401.sense,7,1,False
"Transactions in which prices were disclosed totaled $ 188.1 billion, up 15 % from $ 163.2 billion a year earlier.",total,6,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0645.sense,6,1,False
"Well, ah, if there is an accident, from the time it occurs until the time all traffic is cleared, it probably takes about half an hour to an hour during peak periods.",take,25,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0005.sense,139,1,False
"Even though the currency is pegged to the U.S. dollar, with a fixed exchange rate of HK$ 7.8 to the American currency, the U.S. and Hong Kong economies do n't always move in lock step, making it difficult to predict where interest rates in the colony will go.",peg,5,1,peg.v.04,price-54.4,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0700.sense,31,1,False
The ignitor for the gas range that costs 25 % of what the range cost.,cost,14,1,cost.v.01;cost.v.02,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0001.sense,89,1,False
Bids totaling $ 515 million were submitted.,total,1,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/02/wsj_0256.sense,1,1,False
"Volume totaled 132.1 million shares, which is about average for the year.",total,1,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1055.sense,4,1,False
"""It takes three months to turn copper concentrate into cathodes,"" he said.",take,2,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1203.sense,30,1,False
"The Canadian pig herd totaled 10,674,500 at Oct. 1, down 3 % from a year earlier, said Statistics Canada, a federal agency.",total,4,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0545.sense,0,1,False
San Francisco Mayor Art Agnos estimated that damages to the city total $ 2 billion.,total,11,1,total.v.01;total.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1699.sense,22,1,False
Entertainment shows tend to cost twice that.,cost,4,1,cost.v.01;cost.v.02,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0633.sense,39,1,False
"Somewhere in between there must be a golden mean, perhaps measured by M - Whatever, but perhaps measured by purchasing power parity.",measure,11,1,measure.v.01;measure.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0553.sense,39,1,False
"They 've been able to measure the minuscule movements of the artery wall as the beating heart raises and lowers the pressure of the flowing blood, a first for such tiny blood vessels, they report in Nature, a scientific journal.",measure,5,1,measure.v.01;measure.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1218.sense,40,1,False
"Dictaphone Corp. says there 's a big business demand for its voice - activated taping systems, whether the sophisticated Veritrac 9000 system, which costs from $ 10,000 to $ 120,000 and can record 240 conversations simultaneously, or simple handheld units selling for $ 395.",cost,25,1,cost.v.01;cost.v.02,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1058.sense,14,1,False
"Previously, regulators insisted that franchisers pre-register such changes with the state -- a costly process taking at least six weeks.",take,16,3,take.v.02;take.v.14,cost-54.2,Measurement,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1270.sense,37,1,False
The results of a recent international survey measuring the performance of junior high school students in natural sciences and math show that Taiwan kids finished first in the former and third ( behind only Singapore and Korea ) in the latter.,measure,7,1,measure.v.01;measure.v.02,register-54.1,Measurement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1042.sense,72,1,False
