sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Following the acquisition of R.P. Scherer by a buy - out group led by Shearson Lehman Hutton earlier this year, the maker of gelatin capsules decided to divest itself of certain of its non-encapsulating businesses.",divest,28,2,divest.v.03,deprive-10.6.2,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0025.sense,1,1,False
"Mr. Hoelzer, however, sued Stamford, claiming that the city had abandoned the artwork and that it had waited too long to reclaim it.",reclaim,24,1,reclaim.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1686.sense,7,1,False
"2- stealing a cell phone in the Mecca Markets,",steal,1,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0005.sense,61,1,False
"Eh, in the past they pried and stole license plates from outside the barracks, but later it developed to a stage where they illegally climbed, climbed over the walls and entered the camps, camps, in order to steal the license plates.",steal,42,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0034.sense,5,1,False
"Some time ago, my car was stolen, and I reported it.",steal,7,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0005.sense,49,1,False
"Some even wear army uniforms to pass themselves off as soldiers, and enter and steal from the camps.",steal,15,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_c2e/00/p2.5_c2e_0034.sense,7,1,False
"After three Sagos were stolen from his home in Garden Grove, ""I put a big iron stake in the ground and tied the tree to the stake with a chain,"" he says proudly.",steal,4,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1379.sense,15,1,False
The books were stolen from a warehouse.,steal,3,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0407.sense,11,1,False
"He takes his wash to the laundromat, where he meets a punky French girl who dupes him into providing a home for her pet piranha and then promptly steals his car and dumps it in Dieppe.",steal,29,1,steal.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2402.sense,33,1,False
"A bachelor fellow named Ward, A pretty young woman, adored, He took her to dine, And he plied her with wine, And when he took her home, she was floored.",ply,21,1,ply.v.01,equip-13.4.2,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/80/sel_8008.sense,0,1,False
"I got to know the staff, and they plied me with red wine ( free ) to help me sleep!!",ply,9,1,ply.v.01,equip-13.4.2,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/80/sel_8005.sense,0,1,False
"I wonder about that myself, but I have to say that when I was 30, I was n't plying 15 year old girls with booze & copping feels.",ply,20,1,ply.v.01,equip-13.4.2,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0009.sense,145,1,False
"Colonel Taufiq Tarawi, a director of Palestinian intelligence was briefly detained by Israeli soldiers at a West Bank roadblock, where they confiscated an Israeli permit that grants him free movement in and out of the area.",confiscate,23,1,confiscate.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0138.sense,4,1,False
"More than 300 planes and helicopters have been impounded at airports, and a large number of vehicles and launches has been confiscated.",confiscate,22,1,confiscate.v.01,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0764.sense,22,1,False
"""It 's hard to deal with clients this way in a service business,"" says Ralph ""Bud"" Conner, owner of the agency, which was robbed of 180 blank tickets and $ 850 last month.",rob,30,2,rob.v.01,rob-10.6.4,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0730.sense,15,1,False
The survey found that over a three - year period 22 % of the firms said employees or owners had been robbed on their way to or from work or while on the job.,rob,21,2,rob.v.01,rob-10.6.4,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1450.sense,20,1,False
He robbed and murdered and was convicted of his crimes in nineteen eighty - one /.,rob,1,2,rob.v.01,steal-10.5,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0001.sense,408,1,False
Officials from the Chinese embassy in Uganda confirmed on the 18th that a Chinese citizen doing business in Uganda was robbed by a group of gunmen on the evening of the 16th and was unfortunately shot to death.,rob,20,2,rob.v.01,rob-10.6.4,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0080.sense,0,1,False
Seventeen percent reported their customers being robbed.,rob,6,2,rob.v.01,cheat-10.6.1,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1450.sense,21,1,False
There 's evidence Magedson extorts money from companies to clean up their image on his site.,extort,4,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4943.sense,0,1,False
SOKAIYA Japanese: A man with a few shares in several companies who extorts money by threatening to come to the shareholders ' meetings and cause trouble.,extort,13,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4941.sense,0,1,False
The WassermanJames DiModica venture was an on-going scheme to extort contractors.,extort,9,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4931.sense,0,1,False
Going to court to try to extort some amount of money from the father would not be good for anybody.,extort,6,1,extort.v.01;extort.v.02;extort.v.03,steal-10.5,Transfer_of_Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/49/sel_4935.sense,0,1,False
"Colorado woman wants to thank and reward the person who found her $ 7,000 ring she lost at the beach.",reward,6,1,reward.v.01;reward.v.02;reward.v.03,equip-13.4.2,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0323.sense,0,1,False
"We also know that the tort system is a lousy way to compensate victims anyway; some win the legal lottery, others get much less and contingency - fee lawyers take a big cut either way.",compensate,12,2,compensate.v.02;compensate.v.05;compensate.v.06,equip-13.4.2,Transfer_of_Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0130.sense,26,1,False
"The citizen would be forced to own a weapon to protect himself, at the time when the security agencies failed to protect him...",own,6,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0005.sense,44,1,False
"Morton Downey Jr., who self - destructed as a talk - show host and frequently verbally abused his guests, has been signed to co-host a half - hour nightly program on the Consumer News and Business Channel, the cable channel partly owned by the General Electric Co. 's National Broadcasting Co.",own,44,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1313.sense,1,1,False
"Samsung already owns Korea First Advertising Co., that country 's largest agency.",own,2,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2331.sense,37,1,False
She owns a house.,own,,,,,Possession,,"Kalm 2022, p. 107ff",,,
"Under the agreement, HOFI will own 87.2 % of the combined company.",own,6,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2329.sense,4,1,False
They must be in the top 2 or 3 of every string quartet work I own that includes their recording.,own,15,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/12/sel_1237.sense,0,1,False
I own an Automatic 1.8 GXE 2000 Sentra.,own,1,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/12/sel_1233.sense,0,1,False
"After more than ten years ' construction, the Beilun port in Ningbo owns 16 docks ranging from 25000 tons to 250,000 tons, making it the largest deepwater berth group in China.",own,13,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0074.sense,2,1,False
"It 's now official, former star Mario Lemieux is coming out of retirement to play for the National Ice Hockey League team that he owns, the Pittsburgh Penguins.",own,25,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0150.sense,0,1,False
"The charges are the culmination of weeks of rumors concerning CDL that have depressed the company 's share price and to a lesser extent the shares of all companies owned by CDL 's controlling Quek family, brokers in Singapore say.",own,29,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/18/wsj_1875.sense,128,1,False
"While Seita does n't own the French tabacs, its close alliance with them offers distribution possibilities.",own,4,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1422.sense,7,1,False
"We can, and should still fight for good development < but getting mitigation for something that in many cases is inevitable because Harvard and BC own certain lands and WILL develop them is not in itself repulsive, unethical, or undesirable as far as I am concerned.",own,26,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/12/sel_1202.sense,0,1,False
"SHV, of the Netherlands, which last year merged its North Sea oil and gas operations with those of Calor Group PLC and which owns 40 % of Calor, was identified as a possible suitor for Burmah.",own,25,1,own.v.01,own-100.1,Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1475.sense,2,1,False
