sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"It claimed that it would show it to us soon, especially the representative of the municipality of Riyadh who apparently was the one who held and controlled the documents of the proceedings.",control,27,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0015.sense,74,1,False
"When I saw these six cachets, my first reaction is that it is absolutely hopeless to rely on the government itself to control institutional thickening.",control,23,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0051.sense,14,1,False
"General Zinni said all her ports, from the Suez Canal to the Persian Gulf, had their own problems, either credible terrorists threats, unstable governments, or harbors jammed with small boats, plus, the government of Yemen wanted better relations with the U.S. and had begun taking steps to control local terrorist activity, but improved relations, Zinni said, did not blind the U.S. to the risks.",control,54,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0016.sense,10,1,False
"If China 's personal income tax can not achieve the effect of helping the poor to become rich, neither can it control the excessive incomes of the wealthy, so what is it we expect this personal income tax to do?",control,22,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0009.sense,18,1,False
A time - honored strategy to control the masses.,control,6,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0010.sense,471,1,False
"The most likely white knight would be Societe Generale de Belgique S.A., which already owns 18 % of AG and which itself is controlled by Cie. Financiere de Suez, the acquisitive French financial conglomerate.",control,24,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1404.sense,3,1,False
"Together, they control nearly 40 % of Turner Broadcasting Systems Inc.; Tele - Communications has a 21.8 % stake, while Time Warner has a 17.8 % stake.",control,3,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1190.sense,20,1,False
"The subject of the movie ""Lean on Me,"" Mr. Clark controlled his school with a bullhorn and a baseball bat.",control,13,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1315.sense,8,1,False
Conasupo controls prices on agricultural goods and operates retail outlets where basic consumer items are sold at state - subsidized prices.,control,1,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1254.sense,5,1,False
Official authorities revealed that this year the Chinese government determined that the economic growth rate was 8 % and price levels will be controlled within 3 %.,control,23,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/01/chtb_0112.sense,3,1,False
"Not least, they operated without the need to support their prejudices or delusions in authentic high - level debate, flourishing in their members - only domains of the Pentagon, the NSC Staff, and the State Department, enjoying exclusive channels of communication to the White House controlled by Cheney, and unchallenged under a President of uniquely closed mind.",control,50,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0016.sense,155,1,False
Palestinian police said that militant Jewish settlers in Hebron had fired at the convoy in an Israeli - controlled part of the town.,control,18,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0094.sense,8,1,False
"""They are n't controlling their destiny like they used to.""",control,4,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1302.sense,51,1,False
He has been able in the past to control large portions of this.,control,8,1,control.v.01;control.v.02;control.v.03;control.v.04;control.v.08,enforce-63,Enforcement,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/nbc/00/nbc_0007.sense,3,1,False
