sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"By contrast, he 's won kudos for his espousal of William Schuman 's ""Violin Concerto,"" which he recently recorded for Angel / EMI along with Leonard Bernstein 's engaging ""Serenade for Violin Solo, Strings and Percussion.""",record,22,1,record.v.01;record.v.02;record.v.04;record.v.05,transcribe-25.4,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1388.sense,45,1,False
"And the new syndicated ""reality"" show ""Hard Copy"" records viewers ' opinions for possible airing on the next day 's show.",record,12,1,record.v.01;record.v.02;record.v.04;record.v.05,scribble-25.2,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2100.sense,3,1,False
"With Teng 's encouragement, Bawan started interviewing old folks on his own and recording his tribe 's eating habits, manner of dress, housing, geographic distribution, arts, folk legends, daily life, and other traditions.",record,14,1,record.v.01;record.v.02;record.v.04;record.v.05,transcribe-25.4,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1011.sense,88,1,False
"This song is from their latest play, The Last Train for Serbia, which was recorded on the day protestors stormed the federal parliament in Belgrade and the main television stations.",record,16,1,record.v.01;record.v.02;record.v.04;record.v.05,transcribe-25.4,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0039.sense,9,1,False
Thus it is that he has been able to record the Thao tribe 's religious festivals over a long period.,record,9,1,record.v.01;record.v.02;record.v.04;record.v.05,transcribe-25.4,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1011.sense,70,1,False
"With our video camera, they record their journey.",record,6,1,record.v.01;record.v.02;record.v.04;record.v.05,scribble-25.2,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0411.sense,37,1,False
The journalist recorded the interview on tape.,record,2,,,,Image_Creation,synthetic,,,,False
The outstanding example of this was the motorist on the Bay Bridge who had the presence of mind to take out a video camera at the absolutely crucial moment and record the car in front as it fell into the gap in the roadway.,record,30,1,record.v.01;record.v.02;record.v.04;record.v.05,scribble-25.2,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1643.sense,57,1,False
"Wrote my representatives & garnered a collection of condescending form ""You just do n't understand the situation"" letters in return, signed a couple of petitions marched in a march.......",sign,23,3,sign.v.01,image_impression-25.1,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0010.sense,182,1,False
He signed the register at the front desk.,sign,1,,,,Image_Creation,synthetic,,,,False
"It was signed by a P. Smith from a fictitious address in Birmingham, 312, Santos Road.",sign,2,3,sign.v.01,image_impression-25.1,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0027.sense,39,1,False
Someone had apparently taped some Court TV um stuff /.,tape,3,2,tape.v.02,transcribe-25.4,Image Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,226,1,False
"Taped just as the market closed yesterday, it offers Ms. Farrell advising, ""We view the market here as going through a relatively normal cycle....",tape,0,2,tape.v.02,transcribe-25.4,Image Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2201.sense,27,1,False
"11 With the work of an engraver in stone, like the engravings of a signet, shalt thou engrave the two stones with the names of the children of Israel: thou shalt make them to be set in ouches of gold.",engrave,19,1,engrave.v.01;engrave.v.03;engrave.v.04,image_impression-25.1,Image Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/47/sel_4723.sense,0,1,False
The surveyor engraved the measurements on a brass plate.,engrave,2,,,,Image_Creation,synthetic,,,,False
