sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Pat discovered a great little restaurant in Soho.,discover,,,,,Discovery,,framenet (Becoming_aware),,,
I discovered how she did it.,discover,,,,,Discovery,,verbnet (discover-84),,,
That year it was discovered that consumers preferred the older model.,discover,,,,,Discovery,,framenet (Becoming_aware),,,
I discovered the solution.,discover,,,,,Discovery,,verbnet (discover-84),,,
"By opening the book to page 10, you will find the Van Eerdens' number.",find,,,,,Discovery,,framenet (Becoming_aware),,,
"Anyway, there 's no harm in giving it a try yourself, and you may find your own answer.",find,16,1,find.v.01;find.v.02;find.v.03;find.v.06;find.v.07;find.v.08;find.v.09;find.v.12;find.v.13;find.v.14;find.v.15;find.v.16,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1056.sense,38,3,True
"What 's more, if you find that major changes in your sector are usually coming from other people 's customers, you should realize that they probably are n't your customers because they do n't need your products or can get something better.",find,6,1,find.v.01;find.v.02;find.v.03;find.v.06;find.v.07;find.v.08;find.v.09;find.v.12;find.v.13;find.v.14;find.v.15;find.v.16,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1035.sense,128,3,True
There is no small irony in the fact that some of the most - jingoistic advertising comes courtesy of -- you guessed it -- outsiders.,guess,21,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/17/wsj_1705.sense,10,1,False
"Then yesterday he resigned, triggering the vote in about 2 months, and guess who under current Israeli law would be ineligible to run for Prime Minister?",guess,14,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0084.sense,4,1,False
"Historians will only guess at the rancor building in these two deeply ambitious, deeply disappointed figures at the president they had, George W. Bush, whom they no doubt saw as manifestly, maddeningly inferior.",guess,3,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0016.sense,83,1,False
"Coming up, a new gallop poll shows a big lead for both John McCain and Rudy Giuliani in presidential matchups with guess who Hillary Rodham Clinton /.",guess,22,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0004.sense,414,1,False
"The comedy of their predicament grows out of their unwillingness to let go of the "" old "" wisdom and "" old "" ways that they have treasured for so long, out of their flaunting of this "" old "" knowledge, and out of their use of their "" old "" assumptions to guess their way through the "" new "" world.",guess,55,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1005.sense,85,1,False
"Though he had no news of me whatsoever, he guessed correctly that I would n't wait in the rear area with the other military families, and would n't go back to my parents ' home either.",guess,10,2,guess.v.02;guess.v.03;guess.v.04,discover-84,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1063.sense,33,1,False
"Because Israel and any problems related to it, in spite of what you might read or hear in the world media, is not the central issue, and has never been the central issue in the upheaval in the region.",read,15,1,read.v.01;read.v.11,learn-14,Discovery,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0000.sense,15,1,False
