sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Ask passengers what they think of the air they 're breathing aboard a plane, and you may get answers similar to these.",ask,0,1,ask.v.01;ask.v.03;ask.v.05,inquire-37.1.2,Communicate,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0158.sense,3,1,False
and they should be told that we can not make an open - ended commitment to you /.,tell,4,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0005.sense,328,1,False
"Well, when someone does n't read the newspapers and does n't know anything about the wider world, and just accepts whatever close aides tell him, then he might easily believe 10 impossible things before breakfast.",tell,25,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/20/sel_2058.sense,0,1,False
"At the same time, some congressional liberals will accuse Sens. Boren and Cohen of wimping out, and they will warn that the lawmakers ' concessions raise the specter of more internationally embarrassing covert operations like the mining of Nicaraguan harbors and the Iran arms sales.",warn,21,1,warn.v.01;warn.v.02;warn.v.03;warn.v.04,advise-37.9,Communicate,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0590.sense,28,1,False
I frankly tell you that it took over my heart and came to rest in it.,tell,2,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0038.sense,5,1,False
"Lee Kuan Yew told me that he found that his country spoke many languages, so he decided that the first step is for people to communicate in one language, so he made English the country 's official language.",tell,3,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_a2e/00/p2.5_a2e_0002.sense,7,1,False
"Mark Rengav, a spokesman for the Israeli embassy in Washington told VOA, the security of the Israeli state is key to reaching a settlement with the Palestinians.",tell,11,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0180.sense,5,1,False
He wanted to reach out to Democrats.,reach,3,2,reach.v.03;reach.v.04,initiate_communication-37.4.2,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/mnb/00/mnb_0022.sense,23,1,False
"Stan Richards of Richards Group Inc., Dallas, tells of the Texan who saw the agency 's tear - jerking commercial for First Gibraltar Bank F.S.B. -- complete with the state 's anthem -- and promptly invested $ 100,000 in the thrift 's CDs.",tell,9,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/17/wsj_1705.sense,26,1,False
"And while most recent university graduates are able to apply professional know - how upon entering the work force, one is not necessarily taught management in the workplace.",teach,24,1,teach.v.01;teach.v.02,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1016.sense,31,1,False
"So there, afterward, I remember there was am Mm. A guy in the engineering team, and he brought Quotations from Chairman Mao and said to me, He said, now take this, now take these Quotations from Chairman Mao and teach yourselves, and in the future you 'll take up arms and teach yourselves.",teach,46,1,teach.v.01;teach.v.02,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0000.sense,212,1,False
Alright tell me about this unusual book a collection of memories and interviews a great memoir that also has a DVD /.,tell,1,1,tell.v.01;tell.v.02;tell.v.03;tell.v.04;tell.v.06,transfer_mesg-37.1.1,Communicate,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0004.sense,247,1,False
