sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Recently, there has been a big controversy about which romanization system to use for writing Chinese characters in English.",write,15,2,write.v.07;write.v.09,scribble-25.2,Image Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1036.sense,130,1,False
"The little one has always remembered what I once said about a TV program, which documented people going to Tibet.",document,16,1,document.v.01,transcribe-25.4,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0045.sense,3,1,False
"By contrast, he 's won kudos for his espousal of William Schuman 's ""Violin Concerto,"" which he recently recorded for Angel / EMI along with Leonard Bernstein 's engaging ""Serenade for Violin Solo, Strings and Percussion.""",record,22,1,record.v.01;record.v.02;record.v.04;record.v.05,transcribe-25.4,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1388.sense,45,1,False
"To meet the stamp collecting demand from the great numbers of philatelists, the postal administration printed large numbers of stamp sets and sheetlets, based on the number of people who ordered stamps at that time.",print,16,1,print.v.01;print.v.04,scribble-25.2,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0043.sense,20,1,False
"Shearson says it has taped some of its institutional trading desks, such as commodities and futures, for about four years.",tape,4,2,tape.v.02,transcribe-25.4,Image Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1058.sense,18,1,False
"When American saxophonist David Murray recorded his acclaimed afrocentric jazz album, Fo Juke Review in Dakar, he recruited Amidu Berry and DJ Awadi from PBS to show what an edge West African music can really have.",record,5,1,record.v.01;record.v.02;record.v.04;record.v.05,scribble-25.2,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0049.sense,15,1,False
"And the new syndicated ""reality"" show ""Hard Copy"" records viewers ' opinions for possible airing on the next day 's show.",record,12,1,record.v.01;record.v.02;record.v.04;record.v.05,scribble-25.2,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2100.sense,3,1,False
"With our video camera, they record their journey.",record,6,1,record.v.01;record.v.02;record.v.04;record.v.05,scribble-25.2,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/04/cnn_0411.sense,37,1,False
"Taped just as the market closed yesterday, it offers Ms. Farrell advising, ""We view the market here as going through a relatively normal cycle....",tape,0,2,tape.v.02,transcribe-25.4,Image Creation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2201.sense,27,1,False
"Cosmetics companies roll out new makeup colors several times a year, and since most products can be easily copied by competitors, they 're loath to test them with consumers.",copy,19,2,copy.v.02;copy.v.04,transcribe-25.4,Image Creation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0589.sense,16,1,False
