sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"So are you saying that the authorities in uh looked into this guy 's story early on and they kind of pooh - poohed it and then EquuSearch came in a couple weeks later and said wait a sec, wait a sec, let 's give this guy a shot here and they followed up on it /?",wait,36,1,wait.v.01;wait.v.02;wait.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,41,1,False
They 'll be home in time for Christmas.,be,2,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0362.sense,37,1,False
On both sides of the road there was a village and the village crowd had been watching the action.,be,7,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,267,1,False
"At 555 W. 57th St. in Manhattan, one floor below the offices of ""60 Minutes,"" the most successful prime - time news program ever, actors wait in the reception area to audition for ""Saturday Night With Connie Chung.""",wait,30,1,wait.v.01;wait.v.02;wait.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/06/wsj_0633.sense,44,1,False
The World 's Nenad Chebeck is in Belgrade.,be,5,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0016.sense,5,1,False
Can you give us a sense of where he might be the north the south the east the west /?,be,10,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0005.sense,177,1,False
"In one, birds are the dominant carnivores; in another the seas abound with ""little penises.""",abound,13,1,abound.v.01;abound.v.02,swarm-47.5.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1158.sense,30,1,False
We were waiting for the Iraqi refugees to show off.,wait,2,1,wait.v.01;wait.v.02;wait.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0305.sense,5,1,False
""" He 's not clear enough, "" says Ting, who opines that Chen thinks that he can wait until he 's elected before he decides how much money to spend.",wait,19,1,wait.v.01;wait.v.02;wait.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1013.sense,117,1,False
"Three members of Solace, including superstar fiddler Winfred Horan are Irish Americans, the remaining two are Irish transplants living in New York City.",remain,15,2,remain.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0037.sense,6,1,False
"The image, with its two ends towering, a sunken middle section, and the lower right part protruding, looks like a rooster craning and crowing with its neck stretched and chest thrown out; on the side of the "" rooster 's "" belly is the long and narrow "" Taiwan Island "", which is separated by "" straits ""; under the claw of the "" rooster "" is the round "" Hainan Island "".",be,73,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0262.sense,4,1,False
I 'm a likely suspect because I have a criminal background and I was n't supposed to be there working /.,be,17,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0002.sense,143,1,False
He rarely twitches or flexes his muscles or in any way deviates from the posture he has assumed early on.,flex,4,1,flex.v.01;flex.v.02;flex.v.04,crane-40.3.2,Existence,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/51/sel_5169.sense,0,1,False
This happened in the rural area.,happen,1,1,happen.v.01;happen.v.02;happen.v.04,occur-48.3,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0003.sense,321,1,False
I mean Madeleine Albright was in Saudi Arabia yesterday where she met with crown prince Abdullah and the new Syrian President Bashar Al - Assad.,be,4,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0029.sense,30,1,False
And in the weeks and months ahead scientists are convinced they will identify this airman and return him home to his family wherever they might be /.,be,25,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0000.sense,95,1,False
You know I I 'm right here /.,be,4,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0006.sense,558,1,False
-- A young woman who has been out of town shows up at the Marina Middle School to learn that her apartment is on the condemned list.,be,6,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1435.sense,7,1,False
The World 's Frank Contraris is in Mexico City.,be,5,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0074.sense,6,1,False
And I would be in the audience and see him directing on site.,be,3,4,be.v.03,exist-47.1,Existence,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0000.sense,370,1,False
