sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"To transmit charts to branch offices, they use a fax machine.",transmit,1,1,transmit.v.01;transmit.v.04,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0445.sense,34,1,False
"PFP spokesman Sun Ta - chien alleged that ten persons have been targeted for special attention, and said that information on their activities is delivered to the president in a report nicknamed the "" National Security Daily. """,deliver,25,5,deliver.v.02,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1033.sense,27,1,False
"The aim, says Mr. de Galle, is to win market share from imported cigarettes, and to persuade smokers who are switching to blonde cigarettes to keep buying French.",import,14,1,import.v.01,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1422.sense,22,1,False
Abrams Report at MSNBC dot com is where you send your emails /.,send,9,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,496,1,False
"Jill I sent that same link to my sister Ann, the family pianist.",send,2,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/17/sel_1797.sense,0,1,False
Several other Japanese companies and regional governments have sent aid to San Francisco.,send,8,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/08/wsj_0814.sense,69,1,False
"They say, Okay, we have lost this round, Do you mind if we keep your helicopters in the air just to be able to transport things? and he says, Yeah, that 's all right.",transport,27,1,transport.v.01;transport.v.02;transport.v.04;transport.v.05,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0339.sense,27,1,False
"Those officials say there was full disclosure of the risks in a ""fact sheet"" sent to all CD investors with their confirmation of sale.",send,16,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1273.sense,25,1,False
"A believer in the possibility of immortality, the emperor once dispatched a trusted aide on a voyage across the seas to search for magic herbs that would provide eternal youth.",dispatch,11,1,dispatch.v.01,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1047.sense,31,1,False
"The announcement clearly pointed out that goods violating intellectual property rights, including exclusive rights of trademarks, copyrights and patent rights, were not allowed to be imported or exported; when Customs discovers the import and export of goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights, it has the right to ask the people importing and exporting the goods to provide legal proof of use of related intellectual property rights and make additional reports to Customs about the state of the intellectual property rights of goods.",export,69,1,export.v.01;export.v.03,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0289.sense,2,1,False
"HDTV already has some military applications, such as creating realistic flight simulations and transmitting information to combat commanders.",transmit,14,1,transmit.v.01;transmit.v.04,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1474.sense,34,1,False
Our issues this Sunday North Korea 's Kim Jong - Il defies the world testing long range missiles which one day could deliver nuclear warheads /.,deliver,22,5,deliver.v.02,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0007.sense,16,1,False
"On July 22, 1940, a campaign preparation order to attack the Zhengtai Railway, jointly signed by Zhu De, Peng Dehuai, and Zuo Quan, was sent to Yan'an and all units of the Eighth Route Army.",send,30,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0001.sense,38,1,False
"By late this afternoon, as movers transported the belongings to the home in Chappaqua, he had no longer the power to grant pardons, and at a rally in New York, it was the state 's new senator who got the spotlight.",transport,7,1,transport.v.01;transport.v.02;transport.v.04;transport.v.05,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0064.sense,20,1,False
"The space shuttle Atlantis landed at a desert air strip at Edwards Air Force Base, Calif., ending a five - day mission that dispatched the Jupiter - bound Galileo space probe.",dispatch,25,1,dispatch.v.01,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1353.sense,14,1,False
The Navy has sent Congress a revised repair estimate of $ 240 million.,send,3,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0118.sense,1,1,False
"She, um, she wanted to send the recruitment announcement to a friend 's house.",send,7,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0000.sense,330,1,False
At the same time it resold to Japan and exported to countries like Korea and India.,export,9,1,export.v.01;export.v.03,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0038.sense,11,1,False
"A man from the Bush administration came before the House Agriculture Committee yesterday to talk about the U.S. 's intention to send some $ 100 million in food aid to Poland, with more to come from the EC.",send,21,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0134.sense,0,1,False
"On Dec 13, 7:24 am, jcbda wrote: See Below I have been getting this reply whenever I send a gmail to my daughter... she is also a gmail user.",send,20,1,send.v.02;send.v.03;send.v.04;send.v.06;send.v.08,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/17/sel_1769.sense,0,1,False
They bulleted a car and a three - vehicle convoy transporting Mrs. Robinson and her staff as she toured one of the major flash points in the Israeli - Palestinian conflict.,transport,10,1,transport.v.01;transport.v.02;transport.v.04;transport.v.05,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0096.sense,2,1,False
That sometimes signals that they are laying plans to export corn.,export,9,1,export.v.01;export.v.03,send-11.1,Sending,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1687.sense,6,1,False
"Nearly all of the crude oil that Canada exports to the U.S. is transported on Interprovincial 's system, whose main line runs from Edmonton to major U.S. and Canadian cities in the Great Lakes region, including Chicago, Buffalo, Toronto and Montreal.",transport,13,1,transport.v.01;transport.v.02;transport.v.04;transport.v.05,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2363.sense,10,1,False
