sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
The children teased the new teacher.,tease,2,,,,Aggression,,ontonotes,,,False
The children teased the boy because of his stammer.,tease,2,,,,Aggression,,ontonotes,,,False
The workers teased him when he wore a jacket and tie.,tease,2,,,,Aggression,,ontonotes,,,False
"Most of the people here wo n't let you do that; they 'll goad you until you get angry again, and repeat the cycle.",goad,14,1,goad.v.01;goad.v.02;goad.v.03;goad.v.04,bully-59.5,Aggression,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/56/sel_5690.sense,0,1,False
"Or, as Mark is known to do, he will goad you with an absuridty such as, I Punce.",goad,11,1,goad.v.01;goad.v.02;goad.v.03;goad.v.04,bully-59.5,Aggression,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/56/sel_5680.sense,0,1,False
The only reason there 's a problem is because you goad him.,goad,10,1,goad.v.01;goad.v.02;goad.v.03;goad.v.04,bully-59.5,Aggression,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/56/sel_5681.sense,0,1,False
"Sometimes I like to mention myself in the third person, to underscore the attitude of greatness Mostly, though, the self-mockery is too much of a personal joke, so I stick to trying to goad you.",goad,37,1,goad.v.01;goad.v.02;goad.v.03;goad.v.04,bully-59.5,Aggression,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/56/sel_5692.sense,0,1,False
The team struck back with vengeance.,strike,,,,,Aggression,,ontonotes,,,
Chang Yu - yen ( right ) plays a much - abused daughter - in - law in the series The Astonishing Daughter - in - Law.,abuse,11,1,abuse.v.01;abuse.v.02;abuse.v.03;abuse.v.04,judgment-33.1,Aggression,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1006.sense,196,2,True
"The assistant director, who was Australian, looked aghast, as if Clara was a witch who was abusing a poor child. """,abuse,19,1,abuse.v.01;abuse.v.02;abuse.v.03;abuse.v.04,judgment-33.1,Aggression,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1077.sense,13,2,True
"The daughter - in - law, played by Chang Yu - yen, is mistreated by her mother - in - law, and, with outsiders butting in and causing trouble, she gets abused from beginning to end.",abuse,36,1,abuse.v.01;abuse.v.02;abuse.v.03;abuse.v.04,judgment-33.1,Aggression,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1006.sense,75,2,True
