sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"A leading expert on international finance, Johns Hopkins University economist, Steve Hanky says Yugoslavia 's new President Vojislav Kostunica only has a few weeks to reassure financial stability in the dominant republic of Serbia by stabilizing the inflation - prone Yugoslav dinar.",reassure,27,1,reassure.v.01;reassure.v.02,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0040.sense,0,1,False
But does it bother me /?,bother,3,2,bother.v.02;bother.v.03;bother.v.04;bother.v.05;bother.v.06,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0003.sense,156,1,False
"Not all that has been written of course, but what concerns us in guarded Egypt ( I do not know where this guarding is?! ), because I want to understand the Egyptian personality, and why it is silent in spite of all its suffering from injustice, suppression, starvation, and humiliation, and, of course, all this was accompanied by stops at our ancient and modern history.",concern,11,2,concern.v.02,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0039.sense,15,1,False
Then it does n't make sense that someone would rag on him for buying a $ 550 mountain bike.,rag,9,1,rag.v.01;rag.v.02;rag.v.04;rag.v.05,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/86/sel_8637.sense,0,1,False
The news has n't exactly moved others in Mr. McDonough 's profession to become architectural Johnny Appleseeds.,move,5,3,move.v.09;move.v.10;move.v.11,amuse-31.1,Emotion (stim. subj.),WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1455.sense,25,1,False
"Comments one Taiwanese businessman, "" You worry that your kid is going to become a communist. """,worry,7,1,worry.v.01;worry.v.02;worry.v.03;worry.v.04,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1010.sense,34,1,False
Nobody short of Bellatrix would do snot for him. he also wanted to demoralize Harry.,demoralize,13,2,,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/40/sel_4037.sense,0,1,False
He added that he was excited by the challenge of attempting a comeback and looks forward to the chance to get back on the ice with the players.,excite,5,1,excite.v.01;excite.v.02;excite.v.03;excite.v.04;excite.v.05;excite.v.06,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0150.sense,4,1,False
"After all, this is the easiest way to demoralize an enemy.",demoralize,9,2,,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/40/sel_4027.sense,0,1,False
"Only speak to him in public -- and do n't let public charmingness lull you into thinking he 's over it -- if you confront him about his behavior, he may decide to really teach you a lesson, and he may be willing to wait for his chance.",lull,13,1,lull.v.01;lull.v.03,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/69/sel_6926.sense,0,1,False
"We shamed our history, our culture, our very humanity.",shame,1,1,,amuse-31.1,Emotion (stim. subj.),VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/95/sel_9555.sense,0,1,False
