sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Five years probation for killing her 4 - year - old by scalding it to death in the bathtub.,scald,12,1,scald.v.02;scald.v.03;scald.v.04,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0247.sense,21,2,True
and so nursing home owners know that in a lot of cases it 's less expensive to break the rules and to hurt people than it is to provide the level of care that /-,hurt,22,1,hurt.v.01;hurt.v.02;hurt.v.06;hurt.v.07,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0000.sense,224,1,False
"Basically, most people 's idea of an operation is nothing but that you give the patient an anesthetic, ah, cut him open, take out the bad bits, sew him up, and it 's over.",cut,22,1,cut.v.01;cut.v.04;cut.v.16;cut.v.24;cut.v.25;cut.v.26;cut.v.28;cut.v.29;cut.v.30;cut.v.32;cut.v.41,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0049.sense,1,5,True
"I was waiting for them to set me on fire, because UPGA was burning many people alive.",burn,14,1,burn.v.01;burn.v.05;burn.v.07;burn.v.08;burn.v.11,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,292,2,True
because here they burn people in benzene:,burn,3,1,burn.v.01;burn.v.05;burn.v.07;burn.v.08;burn.v.11,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,297,2,True
An Israeli soldier was slightly hurt.,hurt,5,1,hurt.v.01;hurt.v.02;hurt.v.06;hurt.v.07,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0055.sense,2,1,False
and we would promptly be burned at the stake.,burn,5,1,burn.v.01;burn.v.05;burn.v.07;burn.v.08;burn.v.11,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0010.sense,474,2,True
""" People over 50 or under 16 can easily hurt themselves lifting heavy weights, so I tell people not to be foolhardy, "" she says.",hurt,9,1,hurt.v.01;hurt.v.02;hurt.v.06;hurt.v.07,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1055.sense,91,1,False
The pilot also was able to make a safe landing and neither of those pilots were hurt.,hurt,16,1,hurt.v.01;hurt.v.02;hurt.v.06;hurt.v.07,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0278.sense,25,1,False
In the fields the bodies burning As the war machine keeps turning,burn,5,1,burn.v.01;burn.v.05;burn.v.07;burn.v.08;burn.v.11,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0010.sense,73,2,True
Ashes where the bodies burning,burn,4,1,burn.v.01;burn.v.05;burn.v.07;burn.v.08;burn.v.11,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0010.sense,84,2,True
"Most of the 34 sailors hurt, are being reunited with family in Norfolk, Virginia, before moving on to a naval hospital for further treatment.",hurt,5,1,hurt.v.01;hurt.v.02;hurt.v.06;hurt.v.07,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0036.sense,2,1,False
No one was hurt in the shooting but eyewitnesses reported that the UN Human Rights Chief was visibly upset following the incident.,hurt,3,1,hurt.v.01;hurt.v.02;hurt.v.06;hurt.v.07,hurt-40.8.3,Hurt,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0096.sense,3,1,False
