sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"This modification, apparently, would permit the French merchant to deliver this cocoa, if necessary, against existing short positions.",deliver,11,5,deliver.v.02,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/10/wsj_1026.sense,53,1,False
"He then hung a rope out a third - floor window and lowered himself to safety, injuring his hands slightly in the process.",lower,12,1,lower.v.01,put_direction-9.4,Pick_Up_and_Drop_Off,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1011.sense,16,2,True
"And she adds, "" It 's more natural just to exercise when and where you can in daily life - take a walk in the park, climb the stairs.... """,climb,28,1,climb.v.01;climb.v.03;climb.v.05;climb.v.06,run-51.3.2,Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1055.sense,95,1,False
"He appeared late one night in the bedroom of the new defense secretary, Dick Cheney.",appear,1,2,appear.v.02;appear.v.03;appear.v.05,appear-48.1.1,Location,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2112.sense,55,1,False
Amanda trucked the package from Philadelphia to her mother's house.,truck,,,,,Vehicular_Motion,,"Croft et al 2021, p. 72",,,
Palestinian leaders accused Israel of choosing a path of war by launching the strikes and called for international intervention.,launch,11,2,launch.v.01;launch.v.03;launch.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0110.sense,9,1,False
"Some Palestinians are used to shooting in the air during their celebrations, especially weddings, as an expression of their happiness, in spite of the repeated warnings the Ministry of Interior has launched to chase those who take part in this practice.",launch,34,2,launch.v.01;launch.v.03;launch.v.05,throw-17.1,Throwing,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/a2e/00/a2e_0000.sense,16,1,False
Jackie chased the thief.,chase,,,,,Pursuit,,"Croft et al 2021, p. 71f",,,
"The workers respectively found traces of polonium in a car used to transport Kovtun, on a document he submitted to the German Immigration Bureau, and on the sofa in his ex-wife 's home.",transport,12,1,transport.v.01;transport.v.02;transport.v.04;transport.v.05,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_c2e/00/p2.5_c2e_0065.sense,6,1,False
TransCanada transports all gas that moves eastward from Alberta.,transport,1,1,transport.v.01;transport.v.02;transport.v.04;transport.v.05,send-11.1,Sending,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0529.sense,4,1,False
