sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Ali Khalifa Al - Sabah, Kuwait 's oil minister, recently estimated OPEC capacity at 25 million barrels a day.",estimate,12,1,estimate.v.01;estimate.v.02,estimate-34.2,Evaluation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1428.sense,13,1,False
"Last year, venture capitalists spent an estimated $ 600 million to finance start - up companies in medical and biotechnology businesses, according to the National Venture Capital Association, a trade group.",estimate,7,1,estimate.v.01;estimate.v.02,estimate-34.2,Evaluation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/09/wsj_0975.sense,21,1,False
The Commerce Department estimates that Japanese government and industry spending on HDTV research is already over $ 1 billion.,estimate,3,1,estimate.v.01;estimate.v.02,estimate-34.2,Evaluation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1474.sense,20,1,False
"In a separate development, a private meeting is scheduled this morning between House Appropriations Committee Chairman Jamie Whitten ( D., Miss. ) and Sen. Dale Bumpers ( D., Ark. ) in an effort to end a dispute which for two weeks has delayed action on an estimated $ 44 billion agriculture bill.",estimate,51,1,estimate.v.01;estimate.v.02,estimate-34.2,Evaluation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/18/wsj_1800.sense,16,1,False
"Mr. Einhorn of Goldman Sachs estimates the stock market will deliver a 12 % to 15 % total return from appreciation and dividends over the next 12 months -- vs. a ""cash rate of return"" of perhaps 7 % or 8 % if dividend growth is weak.",estimate,5,1,estimate.v.01;estimate.v.02,estimate-34.2,Evaluation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0090.sense,48,1,False
"About $ 70 billion is estimated to be tied up in the short - term money market, which acts both as a hedge against inflation for consumers and an accelerator of inflation and deficits for the government.",estimate,5,1,estimate.v.01;estimate.v.02,estimate-34.2,Evaluation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0415.sense,25,1,False
"Estimating that the state may lose $ 15 million a year, officials announced the filing of 15 criminal actions and ""hundreds"" of civil penalties.",estimate,0,1,estimate.v.01;estimate.v.02,estimate-34.2,Evaluation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2033.sense,27,1,False
"Consumer spending in Britain rose 0.1 % in the third quarter from the second quarter and was up 3.8 % from a year ago, the Central Statistical Office estimated Friday.",estimate,29,1,estimate.v.01;estimate.v.02,estimate-34.2,Evaluation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1384.sense,0,1,False
"This year, it is estimated that totally achieved sales output in the industries at and above the township level in the whole province will be 23 billion yuan, increasing by 16 % over last year.",estimate,5,1,estimate.v.01;estimate.v.02,estimate-34.2,Evaluation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/00/chtb_0080.sense,26,1,False
Estimated volume was a moderate 3.5 million ounces.,estimate,0,1,estimate.v.01;estimate.v.02,estimate-34.2,Evaluation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/04/wsj_0488.sense,27,1,False
