sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Influential members of the House Ways and Means Committee introduced legislation that would restrict how the new savings - and - loan bailout agency can raise capital, creating another potential obstacle to the government 's sale of sick thrifts.",restrict,13,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2200.sense,0,1,False
-- Mayor Art Agnos stands in the glare of television lights trying to explain for the 20th time why the city is severely restricting access to badly damaged structures.,restrict,23,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/14/wsj_1435.sense,3,1,False
"I think that both Governor Bush and I should recognize an obligation during this time when the votes are still being -- are still to be counted, to try to restrain the passions of our partisan supporters.",restrain,31,2,restrain.v.01;restrain.v.04;restrain.v.05,limit-76,Limitation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0114.sense,4,1,False
"A recent agreement between the recording industry and electronics manufacturers requires that any digital audio tape, or DAT, recorder sold in the U.S. have a built - in device that restricts its ability to make second copies from DAT tape copies of digital compact disks.",restrict,32,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/05/wsj_0563.sense,10,1,False
"Among other things, they would also freeze Taliban assets abroad and restrict foreign travel by Taliban officials.",restrict,12,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0149.sense,2,1,False
"If a veto is unworkable because it would leave part of the executive branch unfunded, the president could sign the appropriations bills into law and assert a power of excision, declaring the rider restricting his Article II powers to be unconstitutional and severable.",restrict,35,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0112.sense,37,1,False
"And, Deltec said, buying has been severely reduced because savings and loans have been restricted in their junk purchases by recently passed congressional legislation.",restrict,16,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1375.sense,25,1,False
"The host, Costa Rican President Oscar Arias, did not invite Chile, Cuba, Panama or Haiti to the summit, which was to be restricted to democracies.",restrict,27,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1657.sense,10,1,False
Members of Congress have proposed restricting dual trading in bills to reauthorize CFTC operations.,restrict,5,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2110.sense,16,1,False
"Among the souped - up indexing strategies: Indexed portfolios can be built around thousands of stocks, or just a few dozen, rather than being restricted to the S&P 500 companies.",restrict,27,1,restrict.v.01;restrict.v.02;restrict.v.03;restrict.v.04,limit-76,Limitation,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1600.sense,15,1,False
