sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
She'll have to learn that she can't have everything she wants.,learn,,,,,Learning,,ontonotes,,,
I don't know how actors manage to learn all those lines.,learn,,,,,Learning,,ontonotes,,,
Rhoda learned from an old book.,learn,,,,,Learning,,"Levin 1993, learn-14",,,
I learned to play chess from my brother.,learn,,,,,Learning,,ontonotes,,,
"The junk market 's ""yield hogs are learning a real painful lesson,"" he says.",learn,8,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1375.sense,32,1,False
"There was a famous British psychologist named Ellis in the last century, who encouraged people to learn a special, reasonable and healthy way of thinking by reading professional books, organizing group discussions and doing specific training in thinking, in order to deal with emotional problems caused by stresses.",learn,17,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0042.sense,8,1,False
Law says that from a young age all Hong Kongers learned that they were living in a borrowed place on borrowed time.,learn,10,2,learn.v.02;learn.v.06,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1077.sense,51,1,False
Rhoda learned French from an old book.,learn,,,,,Learning,,"Levin 1993, learn-14",,,
"But when something is inevitable, you learn to live with it,"" he said.",learn,7,1,learn.v.01;learn.v.03;learn.v.04,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2363.sense,15,1,False
The students reviewed the chapter late into the night.,review,2,,,,Learning,synthetic,,,,False
"But legal professionals who have studied in Taiwan, where legal concepts are closer to those that hold in Macau, can play an important role in this localization process.",study,5,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1001.sense,75,1,False
"Rosa Tam, who heads the recruitment and selection division of the directorate 's human resources department, introduces many of her colleagues with the remark that he or she "" studied in Taiwan too. """,study,31,2,study.v.02;study.v.04;study.v.05,learn-14,Learning,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1001.sense,17,1,False
