sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Maryland Club also distributes tea, which fits well with P&G 's Tender Leaf brand, and hot cocoa products.",distribute,3,1,distribute.v.01;distribute.v.04,contribute-13.2,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2073.sense,6,1,False
"He says: "" If I had used my allowance every year from the time I was small to invest in a fund, at the rate of NT$ 30,000 per year, after 20 years, there would be quite a lot of money right now. """,use,7,3,use.v.03,consume-66,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1028.sense,21,1,False
"First, they have to remember the passenger 's order and seat number, collect the money ( and check for counterfeits ). Then heat the meal, deliver the meal... there 's more than just one type of meal, and the preparation is n't always simple.",collect,14,2,collect.v.02,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0031.sense,27,1,False
A lot of people had to borrow money just to pay their taxes.,borrow,6,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1021.sense,39,1,False
British police are puzzling over an item of stolen property which has just been recovered.,recover,14,1,recover.v.01;recover.v.04,obtain-13.5.2,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0027.sense,2,1,False
They also donated tents and other necessities.,donate,2,1,donate.v.01,contribute-13.2,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1062.sense,28,1,False
Foreign - funded processing export consumes domestic electricity and water resources substantially.,consume,5,2,consume.v.03;consume.v.05,consume-66,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0022.sense,45,1,False
"Because the people are Muslims and do not accept interest from their bank accounts, this interest goes to the banks.",accept,8,1,accept.v.02;accept.v.03;accept.v.05;accept.v.06;accept.v.09;accept.v.10;accept.v.11,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0013.sense,1,1,False
The initiative seems to have been crafted to include all the hot issues that set off the wealthy Hollywood weepers who donate money.,donate,21,1,donate.v.01,contribute-13.2,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2231.sense,20,1,False
But the percentage of your cash reserve that you can borrow tax - free is very small.,borrow,10,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/15/wsj_1574.sense,50,1,False
The law does allow the RTC to borrow from the Treasury up to $ 5 billion at any time.,borrow,7,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/22/wsj_2200.sense,14,1,False
"Also for sale are Buckingham Wile Co., which distributes Cutty Sark blended whiskey in the U.S., and Whitbread 's Atlas Peak Vineyards in California 's Napa Valley.",distribute,9,1,distribute.v.01;distribute.v.04,contribute-13.2,Dynamic Possession,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/18/wsj_1804.sense,4,1,False
"The theory: Such individuals, many with young children, are in their prime borrowing years -- and, having borrowed from the bank, they may continue to use it for other services in later years.",borrow,15,1,borrow.v.01,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/00/wsj_0085.sense,16,1,False
"In the case of foreign manufacturers, the recycling fee would haqve a similar effect as an import duty and could be collected in the same way, but without being called a tariff.",collect,22,2,collect.v.02,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0001.sense,57,1,False
"Within a matter of weeks, less - conservative magazines reported that members of the ruling LDP had received much larger donations from pachinko organizations.",receive,18,1,receive.v.01;receive.v.02;receive.v.03;receive.v.04;receive.v.08;receive.v.09;receive.v.11;receive.v.12,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1387.sense,29,1,False
"They are also taking oil off the grounded tanker, but so far they 've only managed to retrieve 20,000 gallons.",retrieve,18,1,retrieve.v.01;retrieve.v.03;retrieve.v.04,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0065.sense,13,1,False
"Tenders for the bills, available in minimum $ 10,000 denominations, must be received by 1 p.m. EST Monday at the Treasury or at Federal Reserve banks or branches.",receive,14,1,receive.v.01;receive.v.02;receive.v.03;receive.v.04;receive.v.08;receive.v.09;receive.v.11;receive.v.12,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1198.sense,2,1,False
Former Iranian hostage Terry Anderson and the families of seven other former hostages will soon begin receiving compensation for their suffering.,receive,16,1,receive.v.01;receive.v.02;receive.v.03;receive.v.04;receive.v.08;receive.v.09;receive.v.11;receive.v.12,obtain-13.5.2,Dynamic Possession,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0021.sense,0,1,False
