sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"While he was doing that, the canoes lined the upper third of the drop on the right, then ferried across to the left side.",ferry,20,1,ferry.v.01;ferry.v.02;ferry.v.03,drive-11.5,Vehicular_Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/50/sel_5086.sense,0,1,False
"She paddles in the back, I fish or paddle in the front.",paddle,1,1,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7585.sense,0,1,False
It has been some time since I paddled a surf-ski but will give one a go shortly.,paddle,7,1,,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7575.sense,0,1,False
"These sources said that 50 armed men dressed in Iraqi police uniforms and riding in ten 4 wheel drive cars surrounded the building of the Iraqi Red Crescent, then stormed it and led the men away, leaving the women.",ride,13,1,ride.v.01;ride.v.02;ride.v.03;ride.v.10,nonvehicle-51.4.2,Vehicular_Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_a2e/00/p2.5_a2e_0014.sense,5,1,False
I paddled the Grand in one.,paddle,1,1,,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7550.sense,0,1,False
It has been some time since I paddled a surf-ski but will give one a go shortly.,paddle,7,1,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7575.sense,0,1,False
We cruise toward another set of pilings.,cruise,1,1,cruise.v.01;cruise.v.02;cruise.v.03,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1323.sense,14,1,False
I would n't ferry his new computer home for him until he walked across the street to buy a can of chain lube.,ferry,3,1,ferry.v.01;ferry.v.02;ferry.v.03,vehicle-51.4.1,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/50/sel_5085.sense,0,1,False
What 's worse it happened on this dark street corner one morning while riding his bike to school /.,ride,13,1,ride.v.01;ride.v.02;ride.v.03;ride.v.10,nonvehicle-51.4.2,Vehicular_Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0002.sense,222,1,False
I ferried a C-172 with a coworker up to an engine shop a few years ago as one of a flight of two.,ferry,1,1,ferry.v.01;ferry.v.02;ferry.v.03,drive-11.5,Vehicular_Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/50/sel_5080.sense,0,1,False
"There was one wave that I paddled really hard for but at the end stopped because I did n't think I had it, and then, a voice in my head said & quot; Just stand up, just stand up! & quot;",paddle,6,1,,drive-11.5,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7581.sense,0,1,False
Methinks that the headline news piece here is that Pelosi wants a military aircraft or Air Force Two with which to ferry her around.,ferry,21,1,ferry.v.01;ferry.v.02;ferry.v.03,drive-11.5,Vehicular_Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/51/sel_5103.sense,0,1,False
"After dark, cruise Victoria Harbor at night to enjoy the enchanting evening view.",cruise,3,2,cruise.v.04,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0000.sense,39,1,False
"He would subsequently paddle home at the end of his day, and then carry the boat on his head back to his house.",paddle,3,1,,nonvehicle-51.4.2,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/75/sel_7567.sense,0,1,False
de la Guardia of the International Committee of the Red Cross said relief teams were still being denied authorisation to ferry in relief to the camp.,ferry,20,1,ferry.v.01;ferry.v.02;ferry.v.03,drive-11.5,Vehicular_Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/50/sel_5078.sense,0,1,False
"Charon ferried souls across the Styx and if they could n't pay them, they were wandering on the banks of the Styx.",ferry,1,1,ferry.v.01;ferry.v.02;ferry.v.03,drive-11.5,Vehicular_Motion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/50/sel_5076.sense,0,1,False
I ferried a C-172 with a coworker up to an engine shop a few years ago as one of a flight of two.,ferry,1,1,ferry.v.01;ferry.v.02;ferry.v.03,vehicle-51.4.1,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/50/sel_5080.sense,0,1,False
"Officials believe that one also had been used to ferry undocumented people into the country from south of the border, according to ICE.",ferry,9,1,ferry.v.01;ferry.v.02;ferry.v.03,vehicle-51.4.1,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/50/sel_5081.sense,0,1,False
de la Guardia of the International Committee of the Red Cross said relief teams were still being denied authorisation to ferry in relief to the camp.,ferry,20,1,ferry.v.01;ferry.v.02;ferry.v.03,vehicle-51.4.1,Vehicular_Motion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/50/sel_5078.sense,0,1,False
