sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"She needs a strong man of the times, a revolutionary and politician, who works wholeheartedly for the benefit and happiness of the entire nation and all of the people, she neither needs nor accepts those who only flaunt the banner of seeking benefit and happiness for the entire nation and all of the people, but in reality are vulgar villains and political liars who seek benefit and happiness only for themselves, for their family clan, and for their own small clique and small social stratum.",need,34,1,need.v.01;need.v.02;need.v.03,want-32.1,Desire,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0017.sense,10,1,False
"Xiamen needs modernization, but wants to avoid "" modern malaise. """,need,1,1,need.v.01;need.v.02;need.v.03,want-32.1,Desire,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0053.sense,5,1,False
"In fact, Ms. Volokh was n't just a rich lady who needed a hobby.",need,12,1,need.v.01;need.v.02;need.v.03,want-32.1,Desire,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/13/wsj_1367.sense,49,1,False
Where 's Homer Simpson when you need him?,need,6,1,need.v.01;need.v.02;need.v.03,want-32.1,Desire,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0003.sense,12,1,False
"So, there is a kind of states ' rights issue there, but they need, or at least they once thought they needed the Supreme Court to endorse it.",need,15,1,need.v.01;need.v.02;need.v.03,want-32.1,Desire,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/01/voa_0131.sense,16,1,False
"By pressuring taxi and bus drivers who needed licenses, he gained a ready cache of information.",need,7,1,need.v.01;need.v.02;need.v.03,want-32.1,Desire,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/20/wsj_2013.sense,54,1,False
But the handlers mistakenly stuck with silicon chips; they needed kryptonite.,need,10,1,need.v.01;need.v.02;need.v.03,want-32.1,Desire,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/12/wsj_1272.sense,16,1,False
What you need is a hot bowl of soup.,need,,,,,Desire,,synthetic,,,
They want real progress /.,want,1,want-v 1,want.v.01;want.v.04;want.v.03,appoint-29.1;order-60;want-32.1;want-32.1-1-1,Desire,pos_fill,bc/msnbc/00/msnbc_0006.sense,216,,False
"It also denied sending fighting troops into Somalia, and vowed to inform the world if it wanted to attack the Sharia Courts.",want,17,want-v 1,want.v.01;want.v.04;want.v.03,appoint-29.1;order-60;want-32.1;want-32.1-1-1,Desire,pos_fill,bn/p2.5_a2e/00/p2.5_a2e_0031.sense,9,,False
I want you all to be quiet!,want,,,,,Desire,,synthetic,,,
Never mind that her husband prefers Crest.,prefer,5,prefer-v 1,prefer.v.01;prefer.v.02;prefer.v.03,,Desire,pos_fill,nw/wsj/18/wsj_1856.sense,4,,False
Saudi public opinion has not been occupied lately by a social case as much as it has been by the case of the separation of a couple for inequality in lineage after they had two children and desired to continue their conjugal life.,desire,37,desire-v 1,desire.v.01;desire.v.02,want-32.1;want-32.1-1-1,Desire,pos_fill,wb/a2e/00/a2e_0004.sense,54,,False
"In addition to the fear that some might have - from the security aspect - who are burdened with ideas rejecting the other, and maybe the desire to eliminate him and ca n't frankly and openly express their ideas to the extent that they desire.",desire,45,desire-v 1,desire.v.01;desire.v.02,want-32.1;want-32.1-1-1,Desire,pos_fill,wb/p2.5_a2e/00/p2.5_a2e_0032.sense,10,,False
I wish spring training started tomorrow.,wish,1,wish-v 1,wish.v.01,long-32.2-1,Desire,pos_fill,bn/voa/00/voa_0085.sense,6,,False
Wish we could solve them overnight /.,wish,0,wish-v 1,wish.v.01,long-32.2-1,Desire,pos_fill,bc/msnbc/00/msnbc_0007.sense,178,,False
I wish there was independent Islamic legislation in which no one interferes.,wish,1,wish-v 1,wish.v.01,long-32.2-1,Desire,pos_fill,wb/a2e/00/a2e_0005.sense,176,,False
"How I wish success to the Al - Majd channels, as they are truly the most pure and credible media channels on the face of the Earth.",wish,2,wish-v 3,wish.v.03;wish.v.06;wish.v.01,NM,Desire,pos_fill,wb/a2e/00/a2e_0029.sense,68,,False
"Second, it explains why voters hold Congress in disdain but generally love their own congressional representatives: Any individual legislator 's constituents appreciate the specific benefits that the legislator wins for them but not the overall cost associated with every other legislator doing likewise for his own constituency.",love,12,love-v 1,love.v.01;love.v.02;love.v.03,,Desire,pos_fill,nw/wsj/16/wsj_1695.sense,20,,False
Jeff - I just have to say that I love the Rigorous Intuition Live365 channel.,love,9,love-v 1,love.v.01;love.v.02;love.v.03,,Desire,pos_fill,wb/eng/00/eng_0009.sense,357,,False
"The film Curse of the Golden Flower tells the tale of a Tang Dynasty emperor ( played by Chow Yun - Fat ) who years before, in order to attain the position of emperor, married the King of Liang 's daughter ( played by Gong Li ), a woman he does n't love.",love,55,love-v 1,love.v.01;love.v.02;love.v.03,,Desire,pos_fill,nw/p2.5_c2e/00/p2.5_c2e_0010.sense,0,,False
People think I 'm fifteen because I love candy and I love colors /.,love,7,love-v 1,love.v.01;love.v.02;love.v.03,,Desire,pos_fill,bc/cnn/00/cnn_0001.sense,701,,False
