sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
Efficient land distribution through society colleting rental values sweeps those struggles and inefficiencies aside.,sweep,8,sweep-v 2,sweep.v.03;sweep.v.06;sweep.v.01,funnel-9.3-2-1;wipe_manner-10.4.1-1,Incremental,pos_fill,wb/sel/33/sel_3338.sense,0,,False
"Then he unleashed his own, unstoppable, attack.",unleash,2,unleash-v 1,unleash.v.01;unleash.v.02;unleash.v.03,disassemble-23.3,Incremental,pos_fill,nw/wsj/12/wsj_1272.sense,2,,False
"Radiation signs plastered all over the door, nobody should have been surprised at any detecto-noises.",plaster,2,2,plaster.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/78/sel_7813.sense,0,1,False
The tarp hung over the stacked crates.,hang,2,,,,Incremental,synthetic,,,,False
"The Chicago company 's beverage carrier, meant to replace cardboard trays at concession stands and fast - food outlets, resembles the plastic loops used on six - packs of beer, only the loops hang from a web of strings.",hang,36,1,hang.v.01;hang.v.02;hang.v.05;hang.v.10;hang.v.12;hang.v.13;hang.v.14;hang.v.15,put_spatial-9.2,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/01/wsj_0102.sense,16,1,False
"When talking about the relationship between the Bosnia - Herzegovina Serbs and Yugoslavia, Krajisnik said that "" the policy of western countries is to split the Serbs, and they have been waiting for this day for a long time "", but "" our aim is to unite all the Serbs "".",unite,49,unite-v 1,unite.v.01;unite.v.02;unite.v.03;unite.v.04;unite.v.05;unite.v.06,amalgamate-22.2-2-1,Incremental,pos_fill,nw/xinhua/02/chtb_0225.sense,5,,False
"Sources tell ABC News that a suspect who has been in custody for several weeks told Yemeni investigators that his group failed in their attack because their small boat, overloaded with explosives, sank just off the beach.",overload,30,1,overload.v.01;overload.v.02;overload.v.03,spray-9.7,Incremental,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/abc/00/abc_0030.sense,5,1,False
Frost laced the edges of the windows.,lace,1,,,,Incremental,synthetic,,,,False
"I 've got a design going where I 'm using mirror-bright stainless, and was planning to rivet these 3 parts together - one.093 or so, one.125, and another.093, in sort of a stack.",rivet,17,rivet-v 2,rivet.v.02,tape-22.4,Incremental,pos_fill,wb/sel/91/sel_9158.sense,0,,False
"Still bleeding, he ran downstairs and scooped up the baby and took the baby to the hospital.",scoop,7,1,scoop.v.01,funnel-9.3,Incremental,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0242.sense,22,1,False
"The answer is an environmentally conscious, culture - loving person who has a soft spot in their heart for good causes - someone who reads several books a month, recycles, takes mass transit, donates blood, does volunteer work, plants flowers on their balcony and cleans their building 's exterior walls.",plant,44,plant-v 1,plant.v.01;plant.v.06,put-9.1-1;spray-9.7-2,Incremental,pos_fill,mz/sinorama/10/ectb_1036.sense,4,,False
Dust coated the old books on the shelf.,coat,1,,,,Incremental,synthetic,,,,False
