sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
The Earth may have gotten a big reheating when a giant impact gouged the Moon out of its surface.,gouge,12,1,gouge.v.01;gouge.v.03,carve-21.2,Contact,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/57/sel_5729.sense,0,1,False
"An elderly uncle who refused to flee was kidnapped and found hanging from a tree, his eyes gouged out and genitals cut off, Koul said.",gouge,18,1,gouge.v.01;gouge.v.03,carve-21.2,Contact,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/57/sel_5723.sense,0,1,False
"hehehe I 've never hurt myself that bad, but a girl that went to school with me got mad at her boyfriend and punched her dresser.",punch,24,1,punch.v.01,swat-18.2,Contact,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/27/sel_2701.sense,0,1,False
"I really would like to be able to be in a room with him tied up & kick & punch him but I know even if I could, I would n't & that is just so frustrating.",punch,19,1,punch.v.01,swat-18.2,Contact,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/26/sel_2673.sense,0,1,False
"It is well designed for forcing your opponent to punch your elbow ( owwie owwie ) and then riposte with a backfist or hammerfist ( aka "" Chopper "" ).",punch,9,1,punch.v.01,swat-18.2,Contact,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/26/sel_2691.sense,0,1,False
Now punch a tiny hole in the pipe and the leak you have is the base current.,punch,1,2,punch.v.02;punch.v.03,carve-21.2,Contact,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/26/sel_2697.sense,0,1,False
But you know you look at this guy you know punching the the one guy grabbing the AP producer you know /.,punch,10,1,punch.v.01,swat-18.2,Contact,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0001.sense,28,1,False
"Viewers can call a 900 number for additional advice, which will be tailored to their needs based on the numbers they punch ( ""Press one if you 're pregnant,"" etc. ).",punch,22,1,punch.v.01,swat-18.2,Contact,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/21/wsj_2100.sense,38,1,False
"Officer A then punched me hard in the face and he said "" These black monkeys do n't want to go back to their country... """,punch,3,1,punch.v.01,swat-18.2,Contact,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/26/sel_2693.sense,0,1,False
"Go out for a quick run somewhere, or punch a boxing bag.",punch,9,1,punch.v.01,swat-18.2,Contact,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/26/sel_2663.sense,0,1,False
