sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election.",elect,4,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0009.sense,3,1,False
"For instance, in exchange for the assembly agreeing to give up its authority to elect the president, the body was given power of approval over personnel appointments to the Judicial Yuan, Examination Yuan, and Control Yuan.",elect,15,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1023.sense,25,1,False
"Elected to Congress in 1978, the 48 - year - old Mr. Courter is part of a generation of young conservatives who were once very much in the lead of the rightward shift under Mr. Reagan.",elect,0,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1615.sense,43,1,False
"In December of 1990, Slobodan Milosevic is elected President in Serbia 's first free elections in 50 years.",elect,8,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0129.sense,2,1,False
"In September, 1982, at the 12th National Congress of the Chinese Communist Party, he was elected to be a member of the Central Committee.",elect,18,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/xinhua/02/chtb_0208.sense,13,1,False
"Turkey 's legislature elected Prime Minister Ozal as the country 's first civilian president since 1960, opening the way for a change of government under a new premier he will select.",elect,3,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/03/wsj_0347.sense,18,1,False
Republicans won fifty - two seats uh electing Newt Gingrich Speaker of the House /.,elect,7,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0005.sense,550,1,False
"However, said Hsu, since the government has not necessarily built up a consensus in support of its stance against nuclear power, another option might be to have the premier resign, disband the legislature, and elect a new legislature so that the public can express its will regarding the issue.",elect,39,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1061.sense,34,1,False
"Elected to Congress as a ""Watergate baby"" in 1974, he ran for governor three years later.",elect,0,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/16/wsj_1615.sense,59,1,False
"James Robinson, 57 years old, was elected president and chief executive officer of this maker of magnetic recording heads for disk drives.",elect,8,1,elect.v.01,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/23/wsj_2371.sense,0,1,False
"The money was designated, said Soong, to take care of the descendants of former president Chiang Ching - kuo, and for "" party tasks "" specially designated by the chairman.",designate,3,2,designate.v.02;designate.v.04;designate.v.05,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1004.sense,33,1,False
Lien is seen as Lee Teng - hui 's designated successor.,designate,9,1,designate.v.01;designate.v.03,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1014.sense,99,1,False
"Therefore, an organization in Chicago has designated the last week of April in every year as "" TV Turnoff Week, "" urging Americans not to watch or watch less TV during this week.",designate,7,1,designate.v.01;designate.v.03,appoint-29.1,Cause Participation,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0054.sense,9,1,False
