sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"In most cases, this means you 're actually eating the fruit of the plants, rather than getting down on your hands and knees to graze on the green stuff.",graze,26,1,graze.v.01;graze.v.03;graze.v.05,dine-39.5,Ingestion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/58/sel_5812.sense,0,1,False
To help it stay warm and have enough of a digestive system to nourish itself on the low-protein and low-cal sea greenery it grazes on for its survival.,graze,23,1,graze.v.01;graze.v.03;graze.v.05,dine-39.5,Ingestion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/58/sel_5813.sense,0,1,False
"4-2-1 Was it not enough for you to graze on the best pasture, that you had to trample the rest of your pasture with your feet?",graze,8,1,graze.v.01;graze.v.03;graze.v.05,dine-39.5,Ingestion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/58/sel_5806.sense,0,1,False
wrote: What 's the relationship between the area of grass the goat can reach to graze on and the floor area of the water tower?,graze,16,1,graze.v.01;graze.v.03;graze.v.05,dine-39.5,Ingestion,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/sel/58/sel_5820.sense,0,1,False
They must have been smoking hashish because their eyes were mad,smoke,4,1,smoke.v.01,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/eng/00/eng_0017.sense,223,1,False
He could n't stop smoking /.,smoke,4,1,smoke.v.01,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0004.sense,649,1,False
He smoked after the heart surgery /.,smoke,1,1,smoke.v.01,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0004.sense,648,1,False
"Mt. Ali ( Alishan ) and Sun Moon Lake are the places in Taiwan they would most like to visit, and they also are looking forward to eating authentic Taiwan cuisine and drinking genuine "" pearl milk tea. """,eat,28,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1044.sense,26,1,False
"Later the Jade Emperor made him the Kitchen God and put him above the stove so he could watch other people eat but not eat himself, and told him that was his punishment.",eat,21,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0047.sense,36,1,False
"I always felt, um, she can give you, give you more on your plate, put more things on your plate for you to eat.",eat,27,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0000.sense,240,1,False
"You see, it 's as if I were in a restaurant and I clearly ordered half a catty of steamed meat buns, but they squeezed a catty into my mouth, and then said, "" Anyway, you have eaten your lunch and dinner all at once, so you just saved yourself some trouble. """,eat,42,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/p2.5_c2e/00/p2.5_c2e_0034.sense,17,1,False
"Since then the popular custom of eating hundred - pacers has gradually declined, and by 1999 the number of hundred - pacers which the Department of Health 's Center for Disease Control ( CDC ) applied to have caught to make antiserum had also fallen to 30.",eat,6,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1066.sense,43,1,False
Cynthia ate herself sick.,eat,,,,,Ingestion,,"Croft et al 2021, p. 62f",,,
"When Zhang Sheng grew up, he liked to eat, was lazy, and he often went gambling, so the old husband and wife decided to marry him off and let their daughter - in - law manage him.",eat,9,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0047.sense,22,1,False
Cynthia ate at the peach.,eat,,,,,Ingestion,,"Croft et al 2021, p. 62f",,,
They've been eating for hours!,eat,,,,,Ingestion,,framenet,,,
"Confronted, Martine calmly informed us that Chien - chien could n't spend her entire time in France eating the lunchboxes we prepared.",eat,18,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1027.sense,31,1,False
"Thousands of bees have invaded their campus, making it difficult to eat lunch outside and get to class.",eat,12,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/00/cnn_0017.sense,1,1,False
"Second, it was whether they obeyed their custodians and what they ate and things like that.",eat,12,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/phoenix/00/phoenix_0003.sense,188,1,False
Dad discussed conditions with Qingqing: dad will let you play if you eat well.,eat,13,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0010.sense,34,1,False
Cynthia ate.,eat,,,,,Ingestion,,"Croft et al 2021, p. 62f",,,
Many people were still eating just before the plane landed.,eat,4,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0031.sense,29,1,False
The U.S. Department of Agriculture estimates that this year Americans will eat about 40 % more fresh apples per capita than the Japanese.,eat,11,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1128.sense,51,1,False
"Some get angry if the slaughtered animal which they have been honored with contains certain parts such as the neck, for example, or that you eat the tongue of the slaughtered animal.",eat,27,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_a2e/00/p2.5_a2e_0007.sense,4,1,False
"He still had Cola Cao Juan Juan Xin for breakfast and left after finishing eating,",eat,14,1,eat.v.01;eat.v.02;eat.v.03,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/p2.5_c2e/00/p2.5_c2e_0013.sense,2,1,False
He drank out of the goblet.,drink,,,,,Ingestion,,"Croft et al 2021, p. 62f",,,
The fact that infants under the age of one can drink milk on empty stomach and absorb nutrients proves that milk contains a variety of nutrients that can be fully used by the human body.,drink,10,1,drink.v.01;drink.v.02,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/wb/c2e/00/c2e_0007.sense,7,1,False
"""I realized I could n't waste this water when there are people in Watsonville who do n't have fresh water to drink.""",drink,22,1,drink.v.01;drink.v.02,eat-39.1,Ingestion,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/07/wsj_0766.sense,91,1,False
Cynthia gobbled the pizza up.,gobble,,,,,Ingestion,,"Croft et al 2021, p. 62f",,,
