sentence,verb_lemma,verb_token_idx,on_sense,wn_synsets,vn_class,situation,match_path,source_file,sentence_idx,situation_count,needs_review
"Modern males not only are competing over looks, they also are competing over dressing themselves up and making themselves over.",compete,5,1,compete.v.01,battle-36.4,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1018.sense,4,1,False
People seem to think we 're fighting against Iraqis /.,fight,6,1,fight.v.01;fight.v.02,battle-36.4,Reciprocal,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0005.sense,89,1,False
Th- the jurors were meeting /.,meet,4,2,meet.v.02;meet.v.08;meet.v.09,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,209,1,False
He wanted to date her again and she was n't interested.,date,3,1,date.v.01;date.v.04,marry-36.2,Reciprocal,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0242.sense,12,1,False
"With regard to Greece 's long - bubbling bank - looting scandal, Mr. Papandreou 's principal accuser remains George Koskotas, former owner of the Bank of Crete and self - confessed embezzler, now residing in a jail cell in Salem, Mass., from where he is fighting extradition proceedings that would return him to Greece.",fight,50,1,fight.v.01;fight.v.02,battle-36.4,Reciprocal,VN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/24/wsj_2431.sense,9,1,False
"The big focus is American Airlines, the board of the company meeting today, possibly discussing the future of CEO Don Carty.",meet,12,2,meet.v.02;meet.v.08;meet.v.09,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/03/cnn_0307.sense,3,1,False
"It says it is going to set up a commission of enquiry into violence on the west banks of Gaza, and wants its High Commissioner, Mary Robinson, to visit the region.",visit,31,1,visit.v.01;visit.v.02;visit.v.03;visit.v.04;visit.v.07,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/pri/00/pri_0031.sense,2,1,False
"Tsai Ing - wen, who met twice with Lee during his brief stay, added that Lee has considerable political stature in Asia and around the world, and his concern about cross-strait relations and the direction of policy in this regard is helpful to Taiwan.",meet,6,2,meet.v.02;meet.v.08;meet.v.09,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/mz/sinorama/10/ectb_1034.sense,14,1,False
but hundreds of counter-demonstrators showed up and battled police on and off for more than three hours /.,battle,7,1,battle.v.01,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cnn/00/cnn_0008.sense,357,1,False
Now the women you 're about to meet lost their children to vicious predators /.,meet,7,1,meet.v.01;meet.v.07,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/msnbc/00/msnbc_0000.sense,519,1,False
Greenspan will meet with the Federal Reserve Board policymakers today for the last time this year.,meet,2,2,meet.v.02;meet.v.08;meet.v.09,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/01/cnn_0146.sense,1,1,False
"Ok, Bush did not only meet with the Prime Minister, but he also met with Abd al - Aziz al - Hakim, one of the senior Shiite leaders in Iraq, as you know.",meet,6,2,meet.v.02;meet.v.08;meet.v.09,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/p2.5_a2e/00/p2.5_a2e_0024.sense,17,1,False
"Any acquisition of Farmers needs the approval of insurance commissioners in the nine states where Farmers operates, and Mr. Bebear 's trip will take him to Idaho, Arizona and New York after his stay here; he will meet with insurance regulators, legislators, industry excutives and the press.",meet,40,2,meet.v.02;meet.v.08;meet.v.09,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/11/wsj_1178.sense,6,1,False
Palestinian officials say the two leaders may try to meet on Thursday instead.,meet,9,2,meet.v.02;meet.v.08;meet.v.09,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/cnn/02/cnn_0227.sense,2,1,False
"On April 16 of last year when Blair was visiting the US, they had some exchange between them.",visit,9,1,visit.v.01;visit.v.02;visit.v.03;visit.v.04;visit.v.07,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bc/cctv/00/cctv_0004.sense,121,1,False
President Clinton has met with the highest - ranking North Korean official ever to visit the United States.,visit,14,1,visit.v.01;visit.v.02;visit.v.03;visit.v.04;visit.v.07,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/voa/00/voa_0025.sense,0,1,False
"""So what if you miss 50 tanks somewhere?"" asks Rep. Norman Dicks ( D., Wash. ), a member of the House group that visited the talks in Vienna.",visit,28,1,visit.v.01;visit.v.02;visit.v.03;visit.v.04;visit.v.07,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/nw/wsj/02/wsj_0242.sense,26,1,False
Moussa announced that his consultations will be repeated as well with the head of the government and the speaker of parliament before meeting President of the Republic Emile Lahoud tomorrow.,meet,22,2,meet.v.02;meet.v.08;meet.v.09,meet-36.3,Reciprocal,WN,../../Linguistic data/ontonotes-release-5.0/data/files/data/english/annotations/bn/p2.5_a2e/00/p2.5_a2e_0040.sense,11,1,False
